	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.1214	8.2396	6.1055	3.2267	0.	0.	9.4846	6.1055	-0.1236	9.6082	8.4421
Bending (Inside)	-4.1984	20.364	4.233	0.	0.	0.	20.364	4.233	-4.1984	24.562	21.617
Bending (Outside)	-1.1667	-19.761	-4.233	0.	0.	0.	-1.1667	-4.233	-19.761	18.594	17.267
Membrane+Bending (Inside)	-3.0771	28.603	10.339	3.2267	0.	0.	28.928	10.339	-3.4024	32.331	28.104
Membrane+Bending (Center)	-1.5612	8.5409	6.1055	3.2267	0.	0.	9.4836	6.1055	-2.5039	11.987	10.706
Membrane+Bending (Outside)	-4.5304e-002	-11.521	1.8725	3.2267	0.	0.	1.8725	0.79973	-12.366	14.239	13.734
Peak (Inside)	0.	2.3222	-0.60266	-3.7559	0.	0.	5.0924	-0.60266	-2.7701	7.8625	7.0339
Peak (Center)	3.9268	-1.5368	-3.31e-002	0.69936	0.	0.	4.0149	-3.31e-002	-1.6249	5.6399	5.0363
Peak (Outside)	-2.9104e-017	1.2046	-0.11183	-3.2078	0.	0.	3.8661	-0.11183	-2.6616	6.5277	5.6981
Total (Inside)	-3.0771	30.925	9.7358	-0.52913	0.	0.	30.934	9.7358	-3.0853	34.019	29.757
Total (Center)	2.3657	7.004	6.0724	3.9261	0.	0.	9.2448	6.0724	0.12492	9.1198	8.019
Total (Outside)	-4.5304e-002	-10.317	1.7606	1.8953e-002	0.	0.	1.7606	-4.5269e-002	-10.317	12.078	11.284

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	9.4846	20.364	28.928	5.0924	30.934
8.3333e-002	42.483	37.57	0.	9.4846	19.528	28.102	4.015	29.795
0.16667	42.567	37.57	0.	9.4846	18.692	27.276	3.0654	28.833
0.25	42.65	37.57	0.	9.4846	17.856	26.45	2.248	28.034
0.33333	42.733	37.57	0.	9.4846	17.02	25.625	2.3465	27.38
0.41667	42.817	37.57	0.	9.4846	16.184	24.801	3.2969	26.853
0.5	42.9	37.57	0.	9.4846	15.348	23.978	4.161	26.433
0.58333	42.983	37.57	0.	9.4846	14.512	23.155	4.9283	26.096
0.66667	43.067	37.57	0.	9.4846	13.676	22.334	4.8408	24.666
0.75	43.15	37.57	0.	9.4846	12.84	21.513	4.9087	23.312
0.83333	43.233	37.57	0.	9.4846	12.004	20.694	5.0618	22.04
0.91667	43.317	37.57	0.	9.4846	11.168	19.876	5.2685	20.852
1.	43.4	37.57	0.	9.4846	10.332	19.059	5.5078	19.751
1.0833	43.483	37.57	0.	9.4846	9.4965	18.244	5.7662	18.741
1.1667	43.567	37.57	0.	9.4846	8.6605	17.431	5.7402	17.765
1.25	43.65	37.57	0.	9.4846	7.8246	16.62	5.5414	16.786
1.3333	43.733	37.57	0.	9.4846	6.9887	15.811	5.371	15.829
1.4167	43.817	37.57	0.	9.4846	6.1527	15.005	5.2277	14.898
1.5	43.9	37.57	0.	9.4846	5.3168	14.201	5.1098	13.993
1.5833	43.983	37.57	0.	9.4846	4.4809	13.402	5.0155	13.118
1.6667	44.067	37.57	0.	9.4846	3.645	12.607	4.9432	12.276
1.75	44.15	37.57	0.	9.4846	2.809	11.816	4.7466	11.489
1.8333	44.233	37.57	0.	9.4846	1.9731	11.031	4.4794	10.729
1.9167	44.317	37.57	0.	9.4846	1.1372	10.253	4.2358	9.9804
2.	44.4	37.57	0.	9.4846	0.30124	9.4836	4.0149	9.2448
2.0833	44.483	37.57	0.	9.4846	-0.17638	8.7235	3.8163	8.5238
2.1667	44.567	37.57	0.	9.4846	-0.35275	7.9754	3.6396	7.8201
2.25	44.65	37.57	0.	9.4846	-0.52913	7.2418	3.4845	7.137
2.3333	44.733	37.57	0.	9.4846	-0.7055	6.5261	3.2863	6.4892
2.4167	44.817	37.57	0.	9.4846	-0.88188	5.8323	3.0845	5.8572
2.5	44.9	37.57	0.	9.4846	-1.0583	5.1655	2.901	5.2389
2.5833	44.983	37.57	0.	9.4846	-1.2346	4.8709	2.7406	4.8665
2.6667	45.067	37.57	0.	9.4846	-1.411	4.6945	2.6095	4.6964
2.75	45.15	37.57	0.	9.4846	-1.5874	4.5181	2.5139	4.5266
2.8333	45.233	37.57	0.	9.4846	-1.7638	4.3417	2.4598	4.3573
2.9167	45.317	37.57	0.	9.4846	-1.9401	4.1654	2.4418	4.183
3.	45.4	37.57	0.	9.4846	-1.9246	3.989	2.4582	4.0077
3.0833	45.483	37.57	0.	9.4846	-1.8614	3.8126	2.5078	3.8324
3.1667	45.567	37.57	0.	9.4846	-1.7983	3.6362	2.5887	3.6578
3.25	45.65	37.57	0.	9.4846	-1.7351	3.4599	2.6927	3.4827
3.3333	45.733	37.57	0.	9.4846	-1.672	3.2835	2.8163	3.3076
3.4167	45.817	37.57	0.	9.4846	-1.6088	3.1071	2.9555	3.1324
3.5	45.9	37.57	0.	9.4846	-1.5456	2.9307	3.0688	2.9345
3.5833	45.983	37.57	0.	9.4846	-1.4825	2.7544	3.1886	2.7366
3.6667	46.067	37.57	0.	9.4846	-1.4193	2.578	3.3138	2.5396
3.75	46.15	37.57	0.	9.4846	-1.3561	2.4016	3.4443	2.3435
3.8333	46.233	37.57	0.	9.4846	-1.293	2.2252	3.5799	2.1483
3.9167	46.317	37.57	0.	9.4846	-1.2298	2.0489	3.7206	1.954
4.	46.4	37.57	0.	9.4846	-1.1667	1.8725	3.8661	1.7606
