	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	2.3713	8.2049	6.562	-3.3809	0.	0.	9.7533	6.562	0.82287	8.9305	7.8382
Bending (Inside)	-6.1943	21.878	4.5448	0.	0.	0.	21.878	4.5448	-6.1943	28.072	24.534
Bending (Outside)	-2.4637	-21.416	-4.5448	0.	0.	0.	-2.4637	-4.5448	-21.416	18.952	18.002
Membrane+Bending (Inside)	-3.8231	30.083	11.107	-3.3809	0.	0.	30.417	11.107	-4.1569	34.574	30.01
Membrane+Bending (Center)	-1.9578	8.4359	6.562	-3.3809	0.	0.	9.4389	6.562	-2.9607	12.4	11.241
Membrane+Bending (Outside)	-9.2458e-002	-13.211	2.0172	-3.3809	0.	0.	2.0172	0.72759	-14.031	16.048	15.444
Peak (Inside)	0.	7.0493	-0.40508	6.3181	0.	0.	10.759	-0.40508	-3.7101	14.469	13.133
Peak (Center)	5.4258	-2.4064	-0.33916	-0.28723	0.	0.	5.4364	-0.33916	-2.4169	7.8533	7.048
Peak (Outside)	-2.0373e-016	2.1889	0.27161	3.0857	0.	0.	4.3685	0.27161	-2.1796	6.5481	5.7302
Total (Inside)	-3.8231	37.132	10.702	2.9372	0.	0.	37.342	10.702	-4.0326	41.374	36.322
Total (Center)	3.4681	6.0295	6.2228	-3.6681	0.	0.	8.6341	6.2228	0.86355	7.7705	6.889
Total (Outside)	-9.2458e-002	-11.022	2.2888	-0.29519	0.	0.	2.2888	-8.4491e-002	-11.03	13.319	12.305

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.03	36.38	0.	9.7533	21.878	30.417	10.759	37.342
8.3393e-002	42.088	36.32	0.	9.7533	20.976	29.524	8.3412	35.091
0.16679	42.146	36.26	0.	9.7533	20.074	28.633	6.1524	33.255
0.25018	42.204	36.2	0.	9.7533	19.172	27.742	4.4317	31.839
0.33357	42.262	36.14	0.	9.7533	18.27	26.851	6.608	30.83
0.41696	42.32	36.08	0.	9.7533	17.368	25.962	8.6601	30.196
0.50036	42.378	36.02	0.	9.7533	16.466	25.073	10.526	29.882
0.58375	42.435	35.96	0.	9.7533	15.564	24.185	10.576	28.508
0.66714	42.493	35.9	0.	9.7533	14.662	23.299	9.7731	26.483
0.75053	42.551	35.84	0.	9.7533	13.76	22.413	9.1804	24.593
0.83393	42.609	35.78	0.	9.7533	12.858	21.528	8.7722	22.833
0.91732	42.667	35.72	0.	9.7533	11.956	20.645	8.5206	21.203
1.0007	42.725	35.66	0.	9.7533	11.054	19.764	8.3983	19.708
1.0841	42.783	35.6	0.	9.7533	10.152	18.884	8.3824	18.354
1.1675	42.841	35.54	0.	9.7533	9.2505	18.007	8.1863	17.275
1.2509	42.899	35.48	0.	9.7533	8.3486	17.131	7.8175	16.336
1.3343	42.957	35.42	0.	9.7533	7.4466	16.258	7.4843	15.404
1.4177	43.015	35.36	0.	9.7533	6.5447	15.389	7.1853	14.478
1.5011	43.073	35.3	0.	9.7533	5.6427	14.522	6.9197	13.561
1.5845	43.13	35.24	0.	9.7533	4.7408	13.66	6.6865	12.655
1.6679	43.188	35.18	0.	9.7533	3.8388	12.802	6.4848	11.763
1.7512	43.246	35.12	0.	9.7533	2.9369	11.95	6.3139	10.891
1.8346	43.304	35.06	0.	9.7533	2.0349	11.105	6.0591	10.111
