	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98992	8.2403	21.126	5.7208e-004	0.	0.	21.126	8.2403	-0.98992	22.115	19.24
Bending (Inside)	-1.0083	-2.5444	-1.411	0.	0.	0.	-1.0083	-1.411	-2.5444	1.5361	1.3796
Bending (Outside)	0.99019	2.4691	1.411	0.	0.	0.	2.4691	1.411	0.99019	1.4789	1.3198
Membrane+Bending (Inside)	-1.9982	5.6959	19.715	5.7208e-004	0.	0.	19.715	5.6959	-1.9982	21.713	19.068
Membrane+Bending (Center)	-0.99897	8.2027	21.126	5.7208e-004	0.	0.	21.126	8.2027	-0.99897	22.125	19.251
Membrane+Bending (Outside)	2.7678e-004	10.709	22.537	5.7208e-004	0.	0.	22.537	10.709	2.7675e-004	22.536	19.525
Peak (Inside)	0.	-4.0252e-002	1.9346e-003	-9.2585e-004	0.	0.	1.9346e-003	2.1284e-005	-4.0274e-002	4.2208e-002	4.1285e-002
Peak (Center)	1.3475e-002	1.768e-002	3.0108e-003	1.6854e-004	0.	0.	1.7687e-002	1.3469e-002	3.0108e-003	1.4676e-002	1.3087e-002
Peak (Outside)	-4.2689e-017	-3.1976e-002	-9.6039e-003	-5.6015e-004	0.	0.	9.8098e-006	-9.6039e-003	-3.1985e-002	3.1995e-002	2.8435e-002
Total (Inside)	-1.9982	5.6557	19.716	-3.5377e-004	0.	0.	19.716	5.6557	-1.9982	21.715	19.076
Total (Center)	-0.98549	8.2203	21.129	7.4062e-004	0.	0.	21.129	8.2203	-0.9855	22.114	19.241
Total (Outside)	2.7678e-004	10.677	22.527	1.1926e-005	0.	0.	22.527	10.677	2.7678e-004	22.527	19.517

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.22	0.	19.24	1.3796	19.068	4.1285e-002	19.076
8.3333e-002	42.483	126.22	0.	19.24	1.3233	19.074	3.694e-002	19.08
0.16667	42.567	126.22	0.	19.24	1.2671	19.079	3.2624e-002	19.084
0.25	42.65	126.22	0.	19.24	1.2109	19.086	2.8354e-002	19.087
0.33333	42.733	126.22	0.	19.24	1.1546	19.092	2.4194e-002	19.091
0.41667	42.817	126.22	0.	19.24	1.0984	19.098	2.0248e-002	19.095
0.5	42.9	126.22	0.	19.24	1.0422	19.105	1.6716e-002	19.1
0.58333	42.983	126.22	0.	19.24	0.98596	19.111	1.4055e-002	19.104
0.66667	43.067	126.22	0.	19.24	0.92973	19.118	1.2787e-002	19.11
0.75	43.15	126.22	0.	19.24	0.87351	19.125	1.1925e-002	19.116
0.83333	43.233	126.22	0.	19.24	0.81729	19.133	1.1565e-002	19.122
0.91667	43.317	126.22	0.	19.24	0.76107	19.14	1.1758e-002	19.128
1.	43.4	126.22	0.	19.24	0.70485	19.148	1.2483e-002	19.135
1.0833	43.483	126.22	0.	19.24	0.64863	19.155	1.3661e-002	19.142
1.1667	43.567	126.22	0.	19.24	0.59242	19.163	1.4101e-002	19.149
1.25	43.65	126.22	0.	19.24	0.53621	19.171	1.4135e-002	19.158
1.3333	43.733	126.22	0.	19.24	0.48001	19.179	1.4228e-002	19.166
1.4167	43.817	126.22	0.	19.24	0.42381	19.188	1.4378e-002	19.175
1.5	43.9	126.22	0.	19.24	0.36762	19.196	1.4584e-002	19.183
1.5833	43.983	126.22	0.	19.24	0.31146	19.205	1.4845e-002	19.192
1.6667	44.067	126.22	0.	19.24	0.25532	19.214	1.503e-002	19.201
1.75	44.15	126.22	0.	19.24	0.19923	19.223	1.4542e-002	19.211
1.8333	44.233	126.22	0.	19.24	0.14326	19.232	1.4056e-002	19.221
