	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98922	8.2403	21.11	1.0155e-003	0.	0.	21.11	8.2403	-0.98922	22.1	19.225
Bending (Inside)	-1.0045	-2.5436	-1.4392	0.	0.	0.	-1.0045	-1.4392	-2.5436	1.539	1.3742
Bending (Outside)	0.98936	2.4683	1.4392	0.	0.	0.	2.4683	1.4392	0.98936	1.479	1.3131
Membrane+Bending (Inside)	-1.9938	5.6968	19.671	1.0155e-003	0.	0.	19.671	5.6968	-1.9938	21.665	19.024
Membrane+Bending (Center)	-0.99682	8.2027	21.11	1.0155e-003	0.	0.	21.11	8.2027	-0.99682	22.107	19.235
Membrane+Bending (Outside)	1.3827e-004	10.709	22.55	1.0155e-003	0.	0.	22.55	10.709	1.3817e-004	22.55	19.537
Peak (Inside)	0.	-3.681e-002	-3.4683e-002	-1.1784e-003	0.	0.	3.7687e-005	-3.4683e-002	-3.6847e-002	3.6885e-002	3.5852e-002
Peak (Center)	1.1532e-002	1.7651e-002	1.2791e-002	4.2726e-004	0.	0.	1.7681e-002	1.2791e-002	1.1503e-002	6.1781e-003	5.6453e-003
Peak (Outside)	5.7298e-017	-3.1863e-002	-2.4184e-002	-1.0068e-003	0.	0.	3.178e-005	-2.4184e-002	-3.1895e-002	3.1927e-002	2.8855e-002
Total (Inside)	-1.9938	5.6599	19.637	-1.6288e-004	0.	0.	19.637	5.6599	-1.9938	21.63	18.997
Total (Center)	-0.98528	8.2204	21.123	1.4428e-003	0.	0.	21.123	8.2204	-0.98528	22.109	19.236
Total (Outside)	1.3827e-004	10.677	22.526	8.751e-006	0.	0.	22.526	10.677	1.3827e-004	22.525	19.516

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	125.72	0.	19.225	1.3742	19.024	3.5852e-002	18.997
8.3333e-002	42.483	125.72	0.	19.225	1.3183	19.031	3.2353e-002	19.007
0.16667	42.567	125.72	0.	19.225	1.2623	19.038	2.8918e-002	19.018
0.25	42.65	125.72	0.	19.225	1.2063	19.045	2.5549e-002	19.028
0.33333	42.733	125.72	0.	19.225	1.1503	19.053	2.2251e-002	19.038
0.41667	42.817	125.72	0.	19.225	1.0944	19.06	1.9033e-002	19.049
0.5	42.9	125.72	0.	19.225	1.0384	19.068	1.5914e-002	19.059
0.58333	42.983	125.72	0.	19.225	0.9824	19.076	1.3221e-002	19.069
0.66667	43.067	125.72	0.	19.225	0.92643	19.084	1.1281e-002	19.078
0.75	43.15	125.72	0.	19.225	0.87045	19.092	9.3504e-003	19.088
0.83333	43.233	125.72	0.	19.225	0.81448	19.101	7.4295e-003	19.097
0.91667	43.317	125.72	0.	19.225	0.75851	19.109	5.5187e-003	19.107
1.	43.4	125.72	0.	19.225	0.70253	19.118	3.621e-003	19.116
1.0833	43.483	125.72	0.	19.225	0.64657	19.127	1.7559e-003	19.126
1.1667	43.567	125.72	0.	19.225	0.5906	19.136	6.0113e-004	19.136
1.25	43.65	125.72	0.	19.225	0.53464	19.145	7.8782e-004	19.145
1.3333	43.733	125.72	0.	19.225	0.47869	19.154	1.6397e-003	19.155
1.4167	43.817	125.72	0.	19.225	0.42274	19.164	2.5629e-003	19.165
1.5	43.9	125.72	0.	19.225	0.3668	19.174	3.5025e-003	19.174
1.5833	43.983	125.72	0.	19.225	0.31088	19.183	4.4494e-003	19.184
1.6667	44.067	125.72	0.	19.225	0.25499	19.193	5.4012e-003	19.195
1.75	44.15	125.72	0.	19.225	0.19914	19.204	5.5585e-003	19.205
1.8333	44.233	125.72	0.	19.225	0.14341	19.214	5.5861e-003	19.215
