	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.9898	8.2403	21.136	-1.1878e-005	0.	0.	21.136	8.2403	-0.9898	22.125	19.249
Bending (Inside)	-1.0054	-2.5444	-1.3885	0.	0.	0.	-1.0054	-1.3885	-2.5444	1.539	1.3877
Bending (Outside)	0.99	2.4691	1.3885	0.	0.	0.	2.4691	1.3885	0.99	1.4791	1.3255
Membrane+Bending (Inside)	-1.9952	5.696	19.747	-1.1878e-005	0.	0.	19.747	5.696	-1.9952	21.742	19.096
Membrane+Bending (Center)	-0.9975	8.2027	21.136	-1.1878e-005	0.	0.	21.136	8.2027	-0.9975	22.133	19.259
Membrane+Bending (Outside)	1.9487e-004	10.709	22.524	-1.1878e-005	0.	0.	22.524	10.709	1.9487e-004	22.524	19.514
Peak (Inside)	0.	-3.6696e-002	6.5988e-002	2.9937e-003	0.	0.	6.5988e-002	2.4263e-004	-3.6938e-002	0.10293	9.0274e-002
Peak (Center)	1.1896e-002	1.7719e-002	-4.9593e-003	3.7487e-005	0.	0.	1.772e-002	1.1896e-002	-4.9593e-003	2.2679e-002	2.04e-002
Peak (Outside)	3.7829e-017	-3.1925e-002	3.2473e-003	2.1395e-005	0.	0.	3.2473e-003	1.4338e-008	-3.1925e-002	3.5172e-002	3.3666e-002
Total (Inside)	-1.9952	5.6593	19.813	2.9818e-003	0.	0.	19.813	5.6593	-1.9952	21.808	19.164
Total (Center)	-0.9856	8.2204	21.131	2.5609e-005	0.	0.	21.131	8.2204	-0.9856	22.116	19.243
Total (Outside)	1.9487e-004	10.677	22.527	9.5171e-006	0.	0.	22.527	10.677	1.9487e-004	22.527	19.518

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.72	0.	19.249	1.3877	19.096	9.0274e-002	19.164
8.3333e-002	42.483	126.72	0.	19.249	1.3311	19.101	7.5089e-002	19.156
0.16667	42.567	126.72	0.	19.249	1.2746	19.106	6.005e-002	19.147
0.25	42.65	126.72	0.	19.249	1.2181	19.111	4.5302e-002	19.139
0.33333	42.733	126.72	0.	19.249	1.1616	19.117	3.126e-002	19.131
0.41667	42.817	126.72	0.	19.249	1.1051	19.122	1.9512e-002	19.124
0.5	42.9	126.72	0.	19.249	1.0485	19.128	1.6214e-002	19.116
0.58333	42.983	126.72	0.	19.249	0.99203	19.134	1.7728e-002	19.118
0.66667	43.067	126.72	0.	19.249	0.93552	19.14	1.8278e-002	19.122
0.75	43.15	126.72	0.	19.249	0.879	19.146	1.9278e-002	19.127
0.83333	43.233	126.72	0.	19.249	0.82249	19.152	2.0664e-002	19.132
0.91667	43.317	126.72	0.	19.249	0.76598	19.159	2.2365e-002	19.137
1.	43.4	126.72	0.	19.249	0.70947	19.165	2.4313e-002	19.142
1.0833	43.483	126.72	0.	19.249	0.65296	19.172	2.5373e-002	19.148
1.1667	43.567	126.72	0.	19.249	0.59646	19.179	2.5324e-002	19.156
1.25	43.65	126.72	0.	19.249	0.53996	19.186	2.5322e-002	19.163
1.3333	43.733	126.72	0.	19.249	0.48346	19.194	2.5368e-002	19.171
1.4167	43.817	126.72	0.	19.249	0.42697	19.201	2.5461e-002	19.179
1.5	43.9	126.72	0.	19.249	0.37049	19.209	2.5601e-002	19.187
1.5833	43.983	126.72	0.	19.249	0.31402	19.217	2.5787e-002	19.195
1.6667	44.067	126.72	0.	19.249	0.25757	19.225	2.4799e-002	19.204
1.75	44.15	126.72	0.	19.249	0.20117	19.233	2.3692e-002	19.214
1.8333	44.233	126.72	0.	19.249	0.14487	19.241	2.259e-002	19.223
