	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.1214	8.2396	6.1055	3.2267	0.	0.	9.4846	6.1055	-0.1236	9.6082	8.4421
Bending (Inside)	-4.1984	20.364	4.233	0.	0.	0.	20.364	4.233	-4.1984	24.562	21.617
Bending (Outside)	-1.1667	-19.761	-4.233	0.	0.	0.	-1.1667	-4.233	-19.761	18.594	17.267
Membrane+Bending (Inside)	-3.0771	28.603	10.339	3.2267	0.	0.	28.928	10.339	-3.4024	32.331	28.104
Membrane+Bending (Center)	-1.5612	8.5409	6.1055	3.2267	0.	0.	9.4836	6.1055	-2.5039	11.987	10.706
Membrane+Bending (Outside)	-4.5304e-002	-11.521	1.8725	3.2267	0.	0.	1.8725	0.79973	-12.366	14.239	13.734
Peak (Inside)	0.	2.3222	-0.60266	-3.7559	0.	0.	5.0924	-0.60266	-2.7701	7.8625	7.0339
Peak (Center)	3.9268	-1.5368	-3.31e-002	0.69936	0.	0.	4.0149	-3.31e-002	-1.6249	5.6399	5.0363
Peak (Outside)	-2.9104e-017	1.2046	-0.11183	-3.2078	0.	0.	3.8661	-0.11183	-2.6616	6.5277	5.6981
Total (Inside)	-3.0771	30.925	9.7358	-0.52913	0.	0.	30.934	9.7358	-3.0853	34.019	29.757
Total (Center)	2.3657	7.004	6.0724	3.9261	0.	0.	9.2448	6.0724	0.12492	9.1198	8.019
Total (Outside)	-4.5304e-002	-10.317	1.7606	1.8953e-002	0.	0.	1.7606	-4.5269e-002	-10.317	12.078	11.284

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	8.4421	21.617	28.104	7.0339	29.757
8.3333e-002	42.483	37.57	0.	8.4421	20.813	27.327	4.9527	28.113
0.16667	42.567	37.57	0.	8.4421	20.01	26.551	3.2302	26.781
0.25	42.65	37.57	0.	8.4421	19.207	25.777	2.1177	25.735
0.33333	42.733	37.57	0.	8.4421	18.404	25.005	2.1082	24.947
0.41667	42.817	37.57	0.	8.4421	17.602	24.236	2.9151	24.384
0.5	42.9	37.57	0.	8.4421	16.8	23.469	3.8992	24.013
0.58333	42.983	37.57	0.	8.4421	15.999	22.705	4.8378	23.794
0.66667	43.067	37.57	0.	8.4421	15.198	21.944	4.9031	22.226
0.75	43.15	37.57	0.	8.4421	14.398	21.186	5.1761	20.739
0.83333	43.233	37.57	0.	8.4421	13.598	20.431	5.5681	19.362
0.91667	43.317	37.57	0.	8.4421	12.799	19.681	6.0298	18.1
1.	43.4	37.57	0.	8.4421	12.002	18.936	6.5257	16.96
1.0833	43.483	37.57	0.	8.4421	11.205	18.196	7.0326	15.948
1.1667	43.567	37.57	0.	8.4421	10.41	17.462	7.0953	15.031
1.25	43.65	37.57	0.	8.4421	9.6172	16.734	6.8908	14.136
1.3333	43.733	37.57	0.	8.4421	8.8267	16.014	6.7221	13.271
1.4167	43.817	37.57	0.	8.4421	8.0393	15.302	6.5867	12.438
1.5	43.9	37.57	0.	8.4421	7.2562	14.601	6.482	11.644
1.5833	43.983	37.57	0.	8.4421	6.4787	13.911	6.4051	10.892
1.6667	44.067	37.57	0.	8.4421	5.7093	13.233	6.353	10.191
1.75	44.15	37.57	0.	8.4421	4.9518	12.572	6.0924	9.5934
1.8333	44.233	37.57	0.	8.4421	4.2124	11.928	5.7107	9.0488
1.9167	44.317	37.57	0.	8.4421	3.5027	11.304	5.3589	8.5225
2.	44.4	37.57	0.	8.4421	2.8451	10.706	5.0363	8.019
2.0833	44.483	37.57	0.	8.4421	2.285	10.136	4.7427	7.5437
2.1667	44.567	37.57	0.	8.4421	1.9101	9.6003	4.4781	7.1034
2.25	44.65	37.57	0.	8.4421	1.8375	9.1046	4.2422	6.7062
2.3333	44.733	37.57	0.	8.4421	2.0988	8.6557	3.9314	6.3813
2.4167	44.817	37.57	0.	8.4421	2.5951	8.2613	3.6152	6.1019
2.5	44.9	37.57	0.	8.4421	3.2194	7.9295	3.3299	5.8653
2.5833	44.983	37.57	0.	8.4421	3.911	7.6685	3.0831	5.6774
2.6667	45.067	37.57	0.	8.4421	4.6398	7.4858	2.884	5.544
2.75	45.15	37.57	0.	8.4421	5.3907	7.387	2.742	5.4699
2.8333	45.233	37.57	0.	8.4421	6.1557	7.3756	2.6656	5.4577
2.9167	45.317	37.57	0.	8.4421	6.9302	7.452	2.654	5.528
3.	45.4	37.57	0.	8.4421	7.7112	7.6135	2.6992	5.6639
3.0833	45.483	37.57	0.	8.4421	8.4969	7.8549	2.7988	5.8581
3.1667	45.567	37.57	0.	8.4421	9.2862	8.1691	2.9499	6.1029
3.25	45.65	37.57	0.	8.4421	10.078	8.5481	3.1415	6.3955
3.3333	45.733	37.57	0.	8.4421	10.872	8.9837	3.3678	6.7285
3.4167	45.817	37.57	0.	8.4421	11.668	9.468	3.6222	7.096
3.5	45.9	37.57	0.	8.4421	12.465	9.9941	3.8897	7.6028
3.5833	45.983	37.57	0.	8.4421	13.264	10.556	4.1718	8.1576
3.6667	46.067	37.57	0.	8.4421	14.063	11.147	4.4623	8.7421
3.75	46.15	37.57	0.	8.4421	14.863	11.764	4.7606	9.3508
3.8333	46.233	37.57	0.	8.4421	15.664	12.403	5.0663	9.9794
3.9167	46.317	37.57	0.	8.4421	16.465	13.061	5.3789	10.625
4.	46.4	37.57	0.	8.4421	17.267	13.734	5.6981	11.284
