	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	2.3713	8.2049	6.562	-3.3809	0.	0.	9.7533	6.562	0.82287	8.9305	7.8382
Bending (Inside)	-6.1943	21.878	4.5448	0.	0.	0.	21.878	4.5448	-6.1943	28.072	24.534
Bending (Outside)	-2.4637	-21.416	-4.5448	0.	0.	0.	-2.4637	-4.5448	-21.416	18.952	18.002
Membrane+Bending (Inside)	-3.8231	30.083	11.107	-3.3809	0.	0.	30.417	11.107	-4.1569	34.574	30.01
Membrane+Bending (Center)	-1.9578	8.4359	6.562	-3.3809	0.	0.	9.4389	6.562	-2.9607	12.4	11.241
Membrane+Bending (Outside)	-9.2458e-002	-13.211	2.0172	-3.3809	0.	0.	2.0172	0.72759	-14.031	16.048	15.444
Peak (Inside)	0.	7.0493	-0.40508	6.3181	0.	0.	10.759	-0.40508	-3.7101	14.469	13.133
Peak (Center)	5.4258	-2.4064	-0.33916	-0.28723	0.	0.	5.4364	-0.33916	-2.4169	7.8533	7.048
Peak (Outside)	-2.0373e-016	2.1889	0.27161	3.0857	0.	0.	4.3685	0.27161	-2.1796	6.5481	5.7302
Total (Inside)	-3.8231	37.132	10.702	2.9372	0.	0.	37.342	10.702	-4.0326	41.374	36.322
Total (Center)	3.4681	6.0295	6.2228	-3.6681	0.	0.	8.6341	6.2228	0.86355	7.7705	6.889
Total (Outside)	-9.2458e-002	-11.022	2.2888	-0.29519	0.	0.	2.2888	-8.4491e-002	-11.03	13.319	12.305

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.03	36.38	0.	7.8382	24.534	30.01	13.133	36.322
8.3393e-002	42.088	36.32	0.	7.8382	23.663	29.166	8.8453	32.726
0.16679	42.146	36.26	0.	7.8382	22.793	28.323	5.4291	29.847
0.25018	42.204	36.2	0.	7.8382	21.924	27.483	4.0103	27.689
0.33357	42.262	36.14	0.	7.8382	21.055	26.646	5.4309	26.228
0.41696	42.32	36.08	0.	7.8382	20.188	25.811	7.9043	25.407
0.50036	42.378	36.02	0.	7.8382	19.32	24.979	10.439	25.134
0.58375	42.435	35.96	0.	7.8382	18.454	24.15	10.884	23.877
0.66714	42.493	35.9	0.	7.8382	17.589	23.324	10.336	21.931
0.75053	42.551	35.84	0.	7.8382	16.725	22.503	10.041	20.116
0.83393	42.609	35.78	0.	7.8382	15.863	21.686	9.9633	18.431
0.91732	42.667	35.72	0.	7.8382	15.002	20.873	10.065	16.882
1.0007	42.725	35.66	0.	7.8382	14.144	20.067	10.306	15.477
1.0841	42.783	35.6	0.	7.8382	13.288	19.266	10.653	14.234
1.1675	42.841	35.54	0.	7.8382	12.435	18.472	10.573	13.332
1.2509	42.899	35.48	0.	7.8382	11.585	17.687	10.132	12.598
1.3343	42.957	35.42	0.	7.8382	10.74	16.91	9.7336	11.861
1.4177	43.015	35.36	0.	7.8382	9.9002	16.143	9.3778	11.126
1.5011	43.073	35.3	0.	7.8382	9.0677	15.389	9.0638	10.397
1.5845	43.13	35.24	0.	7.8382	8.2444	14.648	8.7908	9.6803
1.6679	43.188	35.18	0.	7.8382	7.4335	13.923	8.5581	8.984
1.7512	43.246	35.12	0.	7.8382	6.6395	13.216	8.3651	8.3184
1.8346	43.304	35.06	0.	7.8382	5.8692	12.531	8.0007	7.7911
1.918	43.362	35.	0.	7.8382	5.1334	11.871	7.517	7.3272
2.0014	43.42	34.94	0.	7.8382	4.449	11.241	7.048	6.889
2.0848	43.478	34.88	0.	7.8382	3.8438	10.646	6.5967	6.4817
2.1682	43.536	34.82	0.	7.8382	3.3608	10.092	6.1671	6.1115
2.2516	43.594	34.76	0.	7.8382	3.0585	9.5864	5.7642	5.7855
2.335	43.652	34.7	0.	7.8382	2.992	9.1374	5.3937	5.5115
2.4184	43.71	34.64	0.	7.8382	3.1763	8.7535	5.0272	5.3626
2.5018	43.767	34.58	0.	7.8382	3.5728	8.4436	4.6907	5.2718
2.5852	43.825	34.52	0.	7.8382	4.1206	8.216	4.3936	5.2372
2.6686	43.883	34.46	0.	7.8382	4.7679	8.0779	4.1449	5.2594
2.752	43.941	34.4	0.	7.8382	5.4795	8.0336	3.9544	5.3373
2.8354	43.999	34.34	0.	7.8382	6.2335	8.0849	3.8312	5.4681
2.9187	44.057	34.28	0.	7.8382	7.0161	8.2298	3.7745	5.673
3.0021	44.115	34.22	0.	7.8382	7.8189	8.4637	3.7666	5.9524
3.0855	44.173	34.16	0.	7.8382	8.6361	8.7793	3.8102	6.2691
3.1689	44.231	34.1	0.	7.8382	9.4641	9.1683	3.904	6.6168
3.2523	44.289	34.04	0.	7.8382	10.3	9.6218	4.0444	6.9899
3.3357	44.347	33.98	0.	7.8382	11.143	10.131	4.2271	7.3835
3.4191	44.405	33.92	0.	7.8382	11.99	10.688	4.447	7.7937
3.5025	44.462	33.86	0.	7.8382	12.842	11.286	4.658	8.3558
3.5859	44.52	33.8	0.	7.8382	13.696	11.918	4.856	8.9766
3.6693	44.578	33.74	0.	7.8382	14.554	12.58	5.047	9.6173
3.7527	44.636	33.68	0.	7.8382	15.413	13.267	5.2303	10.274
3.8361	44.694	33.62	0.	7.8382	16.275	13.975	5.4055	10.942
3.9195	44.752	33.56	0.	7.8382	17.138	14.702	5.5722	11.62
4.0028	44.81	33.5	0.	7.8382	18.002	15.444	5.7302	12.305
