	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.9866	8.2404	21.366	-1.6881e-002	0.	0.	21.366	8.2404	-0.98663	22.353	19.456
Bending (Inside)	-1.006	-2.2474	-1.3409	0.	0.	0.	-1.006	-1.3409	-2.2474	1.2414	1.1124
Bending (Outside)	0.98662	2.1809	1.3409	0.	0.	0.	2.1809	1.3409	0.98662	1.1943	1.0624
Membrane+Bending (Inside)	-1.9927	5.9929	20.025	-1.6881e-002	0.	0.	20.025	5.993	-1.9927	22.018	19.306
Membrane+Bending (Center)	-0.99631	8.2071	21.366	-1.6881e-002	0.	0.	21.366	8.2072	-0.99635	22.362	19.467
Membrane+Bending (Outside)	2.0994e-005	10.421	22.707	-1.6881e-002	0.	0.	22.707	10.421	-6.3505e-006	22.707	19.687
Peak (Inside)	0.	-3.2234e-002	-2.5375e-002	1.6536e-002	0.	0.	6.9738e-003	-2.5375e-002	-3.9208e-002	4.6182e-002	4.1052e-002
Peak (Center)	1.4546e-002	1.7005e-002	1.2507e-002	-8.413e-003	0.	0.	2.4278e-002	1.2507e-002	7.2731e-003	1.7005e-002	1.5085e-002
Peak (Outside)	-7.0344e-018	-3.557e-002	-2.4345e-002	1.6572e-002	0.	0.	6.524e-003	-2.4345e-002	-4.2094e-002	4.8618e-002	4.2612e-002
Total (Inside)	-1.9927	5.9607	20.	-3.4528e-004	0.	0.	20.	5.9607	-1.9927	21.992	19.288
Total (Center)	-0.98177	8.2241	21.379	-2.5294e-002	0.	0.	21.379	8.2242	-0.98184	22.36	19.465
Total (Outside)	2.0994e-005	10.386	22.683	-3.0931e-004	0.	0.	22.683	10.386	2.0985e-005	22.683	19.667

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	81.72	0.	19.456	1.1124	19.306	4.1052e-002	19.288
8.3333e-002	42.483	81.72	0.	19.456	1.0671	19.312	3.7694e-002	19.294
0.16667	42.567	81.72	0.	19.456	1.0218	19.317	3.4388e-002	19.301
0.25	42.65	81.72	0.	19.456	0.97652	19.323	3.1147e-002	19.307
0.33333	42.733	81.72	0.	19.456	0.93123	19.329	2.7989e-002	19.314
0.41667	42.817	81.72	0.	19.456	0.88593	19.335	2.494e-002	19.321
0.5	42.9	81.72	0.	19.456	0.84063	19.341	2.2038e-002	19.328
0.58333	42.983	81.72	0.	19.456	0.79533	19.347	1.9344e-002	19.335
0.66667	43.067	81.72	0.	19.456	0.75004	19.353	1.7221e-002	19.342
0.75	43.15	81.72	0.	19.456	0.70474	19.36	1.5292e-002	19.349
0.83333	43.233	81.72	0.	19.456	0.65945	19.366	1.3607e-002	19.356
0.91667	43.317	81.72	0.	19.456	0.61416	19.373	1.226e-002	19.364
1.	43.4	81.72	0.	19.456	0.56887	19.379	1.1365e-002	19.371
1.0833	43.483	81.72	0.	19.456	0.52359	19.386	1.1025e-002	19.379
1.1667	43.567	81.72	0.	19.456	0.4783	19.393	1.1092e-002	19.386
1.25	43.65	81.72	0.	19.456	0.43303	19.4	1.1206e-002	19.394
1.3333	43.733	81.72	0.	19.456	0.38776	19.407	1.1536e-002	19.402
1.4167	43.817	81.72	0.	19.456	0.34249	19.414	1.2061e-002	19.409
1.5	43.9	81.72	0.	19.456	0.29724	19.421	1.2752e-002	19.417
1.5833	43.983	81.72	0.	19.456	0.25202	19.429	1.3581e-002	19.425
1.6667	44.067	81.72	0.	19.456	0.20682	19.436	1.4522e-002	19.433
1.75	44.15	81.72	0.	19.456	0.16169	19.444	1.4997e-002	19.441
1.8333	44.233	81.72	0.	19.456	0.11669	19.451	1.5011e-002	19.449
1.9167	44.317	81.72	0.	19.456	7.2067e-002	19.459	1.5041e-002	19.457
2.	44.4	81.72	0.	19.456	2.9609e-002	19.467	1.5085e-002	19.465
