	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.28697	-0.86943	-3.6096	-0.25332	0.	0.	-0.19222	-0.96418	-3.6096	3.4174	3.1042
Bending (Inside)	-0.683	-6.102	-7.0246	0.	0.	0.	-0.683	-6.102	-7.0246	6.3416	5.9343
Bending (Outside)	0.62259	5.6379	7.0246	0.	0.	0.	7.0246	5.6379	0.62259	6.402	5.8336
Membrane+Bending (Inside)	-0.96998	-6.9714	-10.634	-0.25332	0.	0.	-0.9593	-6.9821	-10.634	9.6749	8.4621
Membrane+Bending (Center)	-0.31718	-1.1015	-3.6096	-0.25332	0.	0.	-0.24248	-1.1762	-3.6096	3.3671	3.0109
Membrane+Bending (Outside)	0.33561	4.7685	3.415	-0.25332	0.	0.	4.7829	3.415	0.32118	4.4617	3.9592
Peak (Inside)	0.	0.52156	3.2757	0.76618	0.	0.	3.2757	1.0701	-0.54857	3.8243	3.3249
Peak (Center)	-5.3537e-002	-0.25005	0.37393	-2.864e-003	0.	0.	0.37393	-5.3495e-002	-0.25009	0.62402	0.55261
Peak (Outside)	-5.8208e-017	1.1844	-0.5647	-1.0313	0.	0.	1.7814	-0.5647	-0.597	2.3784	2.3624
Total (Inside)	-0.96998	-6.4498	-7.3584	0.51287	0.	0.	-0.92239	-6.4974	-7.3584	6.4361	6.0517
Total (Center)	-0.37072	-1.3515	-3.2357	-0.25618	0.	0.	-0.30784	-1.4144	-3.2357	2.9278	2.5606
Total (Outside)	0.33561	5.9528	2.8503	-1.2846	0.	0.	6.2327	2.8503	5.5792e-002	6.1769	5.3574

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.	2.1511e-013	0.	3.1042	5.9343	8.4621	3.3249	6.0517
8.4086e-002	15.084	2.1511e-013	0.	3.1042	5.6895	8.2232	2.3689	6.5336
0.16817	15.168	2.1511e-013	0.	3.1042	5.4446	7.9846	1.5585	7.0407
0.25226	15.252	2.1511e-013	0.	3.1042	5.1998	7.7465	1.0675	7.5496
0.33634	15.336	2.1511e-013	0.	3.1042	4.955	7.5088	1.1889	8.0449
0.42043	15.42	2.1511e-013	0.	3.1042	4.7103	7.2715	1.4848	8.249
0.50451	15.505	2.1511e-013	0.	3.1042	4.4655	7.0348	1.4458	7.9973
0.5886	15.589	2.1511e-013	0.	3.1042	4.2208	6.7987	1.3985	7.7381
0.67269	15.673	2.1511e-013	0.	3.1042	3.9762	6.5633	1.3428	7.4711
0.75677	15.757	2.1511e-013	0.	3.1042	3.7315	6.3285	1.2783	7.1963
0.84086	15.841	2.1511e-013	0.	3.1042	3.4869	6.0946	1.1466	6.8664
0.92494	15.925	2.1511e-013	0.	3.1042	3.2424	5.8616	0.99648	6.5209
1.009	16.009	2.1511e-013	0.	3.1042	2.998	5.6296	0.84301	6.1714
1.0931	16.093	2.1511e-013	0.	3.1042	2.7537	5.3988	0.68703	5.8179
1.1772	16.177	2.1511e-013	0.	3.1042	2.5095	5.1692	0.54667	5.4784
1.2613	16.261	2.1511e-013	0.	3.1042	2.2654	4.9411	0.4428	5.1736
1.3454	16.345	2.1511e-013	0.	3.1042	2.0216	4.7148	0.33591	4.8557
1.4295	16.429	2.1511e-013	0.	3.1042	1.7782	4.4904	0.24428	4.5268
1.5135	16.514	2.1511e-013	0.	3.1042	1.5352	4.2682	0.21426	4.1889
1.5976	16.598	2.1511e-013	0.	3.1042	1.293	4.0488	0.25122	3.8846
1.6817	16.682	2.1511e-013	0.	3.1042	1.0521	3.8323	0.29572	3.6149
1.7658	16.766	2.1511e-013	0.	3.1042	0.81367	3.6196	0.35334	3.3459
1.8499	16.85	2.1511e-013	0.	3.1042	0.58071	3.4112	0.41929	3.0779
1.934	16.934	2.1511e-013	0.	3.1042	0.36394	3.2079	0.49074	2.8116
2.0181	17.018	2.1511e-013	0.	3.1042	0.21849	3.0109	0.55261	2.5606
2.1021	17.102	2.1511e-013	0.	3.1042	0.28823	2.8214	0.57953	2.3498
2.1862	17.186	2.1511e-013	0.	3.1042	0.48834	2.641	0.60799	2.1457
2.2703	17.27	2.1511e-013	0.	3.1042	0.71688	2.4718	0.63778	1.9506
2.3544	17.354	2.1511e-013	0.	3.1042	0.95364	2.3162	0.66872	1.7675
2.4385	17.438	2.1511e-013	0.	3.1042	1.1937	2.1771	0.68228	1.6175
2.5226	17.523	2.1511e-013	0.	3.1042	1.4355	2.0579	0.67425	1.5107
2.6067	17.607	2.1511e-013	0.	3.1042	1.6782	1.9621	0.66758	1.4313
2.6907	17.691	2.1511e-013	0.	3.1042	1.9215	1.8934	0.66235	1.3837
2.7748	17.775	2.1511e-013	0.	3.1042	2.1651	1.8548	0.65869	1.371
2.8589	17.859	2.1511e-013	0.	3.1042	2.4091	1.8481	0.63165	1.4204
2.943	17.943	2.1511e-013	0.	3.1042	2.6532	1.8737	0.59587	1.5147
3.0271	18.027	2.1511e-013	0.	3.1042	2.8975	1.9304	0.56739	1.6335
3.1112	18.111	2.1511e-013	0.	3.1042	3.1419	2.0154	0.54729	1.7717
3.1953	18.195	2.1511e-013	0.	3.1042	3.3864	2.1254	0.53645	1.9252
3.2793	18.279	2.1511e-013	0.	3.1042	3.6309	2.2567	0.51798	2.1346
3.3634	18.363	2.1511e-013	0.	3.1042	3.8755	2.4059	0.52567	2.3599
3.4475	18.448	2.1511e-013	0.	3.1042	4.1202	2.5698	0.56346	2.5898
3.5316	18.532	2.1511e-013	0.	3.1042	4.3649	2.7458	0.62566	2.8233
3.6157	18.616	2.1511e-013	0.	3.1042	4.6096	2.9318	0.70562	3.0597
3.6998	18.7	2.1511e-013	0.	3.1042	4.8544	3.1259	0.94351	3.5014
3.7839	18.784	2.1511e-013	0.	3.1042	5.0992	3.3267	1.259	3.9673
3.8679	18.868	2.1511e-013	0.	3.1042	5.344	3.5331	1.6067	4.4315
3.952	18.952	2.1511e-013	0.	3.1042	5.5888	3.7442	1.9757	4.8946
4.0361	19.036	2.1511e-013	0.	3.1042	5.8336	3.9592	2.3624	5.3574
