Node Number	Maximum Principal Stress (MPa)
1	6.2301
2	6.2344
3	18.944
4	18.738
5	18.475
6	18.186
7	17.878
8	17.558
9	17.226
10	16.885
11	16.536
12	16.182
13	15.823
14	15.461
15	15.096
16	14.73
17	14.363
18	13.997
19	13.633
20	13.271
21	12.913
22	12.56
23	12.211
24	11.869
25	11.534
26	11.206
27	10.886
28	10.575
29	10.272
30	9.9774
31	9.6926
32	9.4165
33	9.1494
34	8.8906
35	8.6398
36	8.3963
37	8.1589
38	7.9268
39	7.6987
40	7.4729
41	7.2483
42	7.0231
43	6.7955
44	6.5642
45	6.3273
46	6.0831
47	5.8301
48	5.5668
49	5.2924
50	5.0063
51	4.7093
52	4.4032
53	4.0931
54	4.2123
55	4.5885
56	4.9683
57	5.402
58	22.101
59	19.189
60	19.486
61	19.805
62	20.13
63	20.451
64	20.762
65	21.057
66	21.333
67	21.589
68	21.824
69	22.037
70	22.226
71	22.39
72	22.531
73	22.645
74	22.733
75	22.793
76	22.825
77	22.828
78	22.801
79	22.743
80	22.653
81	22.517
82	22.331
83	5.0532
84	21.859
85	21.582
86	21.268
87	20.917
88	20.527
89	20.1
90	19.634
91	19.13
92	18.587
93	18.006
94	17.387
95	16.73
96	16.037
97	15.308
98	14.542
99	13.744
100	12.909
101	12.046
102	11.15
103	10.223
104	9.2623
105	8.2736
106	7.2611
107	6.2262
108	5.1984
109	4.202
110	3.3107
111	2.607
112	2.1856
113	2.1465
114	2.5728
115	3.6175
116	20.627
117	20.272
118	19.891
119	19.485
120	19.05
121	18.588
122	18.098
123	17.58
124	17.031
125	16.455
126	15.848
127	15.212
128	14.548
129	13.856
130	13.134
131	12.388
132	11.614
133	10.817
134	9.9948
135	9.1522
136	8.2875
137	7.4053
138	6.5039
139	5.5923
140	4.6771
141	3.7813
142	2.9423
143	2.2155
144	1.6906
145	1.4526
146	1.5972
147	2.2069
148	3.4524
149	22.527
150	22.527
151	22.526
152	22.523
153	22.521
154	22.518
155	22.516
156	22.515
157	22.514
158	22.514
159	22.514
160	22.515
161	22.516
162	22.517
163	22.519
