Node Number	Thermal Strain (mm/mm)
1	9.2022e-003
2	9.201e-003
3	9.1826e-003
4	9.1831e-003
5	9.1835e-003
6	9.184e-003
7	9.1845e-003
8	9.1849e-003
9	9.1853e-003
10	9.1857e-003
11	9.1861e-003
12	9.1864e-003
13	9.1867e-003
14	9.187e-003
15	9.1873e-003
16	9.1876e-003
17	9.1879e-003
18	9.1881e-003
19	9.1884e-003
20	9.1886e-003
21	9.1888e-003
22	9.189e-003
23	9.1892e-003
24	9.1894e-003
25	9.1896e-003
26	9.1897e-003
27	9.1899e-003
28	9.19e-003
29	9.1902e-003
30	9.1903e-003
31	9.1904e-003
32	9.1906e-003
33	9.1907e-003
34	9.1908e-003
35	9.191e-003
36	9.1911e-003
37	9.1913e-003
38	9.1915e-003
39	9.1918e-003
40	9.192e-003
41	9.1923e-003
42	9.1927e-003
43	9.1931e-003
44	9.1935e-003
45	9.1941e-003
46	9.1946e-003
47	9.1953e-003
48	9.196e-003
49	9.1968e-003
50	9.1976e-003
51	9.1985e-003
52	9.1994e-003
53	9.2003e-003
54	9.2011e-003
55	9.2018e-003
56	9.2023e-003
57	9.2025e-003
58	9.173e-003
59	9.1819e-003
60	9.1813e-003
61	9.1806e-003
62	9.1799e-003
63	9.1793e-003
64	9.1787e-003
65	9.1781e-003
66	9.1776e-003
67	9.1771e-003
68	9.1766e-003
69	9.1762e-003
70	9.1758e-003
71	9.1755e-003
72	9.1752e-003
73	9.1749e-003
74	9.1746e-003
75	9.1744e-003
76	9.1742e-003
77	9.174e-003
78	9.1738e-003
79	9.1736e-003
80	9.1735e-003
81	9.1733e-003
82	9.1731e-003
83	9.1604e-003
84	9.1728e-003
85	9.1727e-003
86	9.1726e-003
87	9.1725e-003
88	9.1724e-003
89	9.1722e-003
90	9.1721e-003
91	9.172e-003
92	9.1719e-003
93	9.1717e-003
94	9.1716e-003
95	9.1715e-003
96	9.1713e-003
97	9.1712e-003
98	9.171e-003
99	9.1708e-003
100	9.1706e-003
101	9.1704e-003
102	9.1702e-003
103	9.1699e-003
104	9.1696e-003
105	9.1692e-003
106	9.1688e-003
107	9.1683e-003
108	9.1678e-003
109	9.1671e-003
110	9.1664e-003
111	9.1656e-003
112	9.1647e-003
113	9.1637e-003
114	9.1626e-003
115	9.1615e-003
116	9.1697e-003
117	9.1697e-003
118	9.1697e-003
119	9.1697e-003
120	9.1697e-003
121	9.1697e-003
122	9.1697e-003
123	9.1697e-003
124	9.1696e-003
125	9.1696e-003
126	9.1696e-003
127	9.1696e-003
128	9.1695e-003
129	9.1695e-003
130	9.1694e-003
131	9.1694e-003
132	9.1693e-003
133	9.1692e-003
134	9.1691e-003
135	9.1689e-003
136	9.1687e-003
137	9.1685e-003
138	9.1683e-003
139	9.168e-003
140	9.1676e-003
141	9.1671e-003
142	9.1666e-003
143	9.166e-003
144	9.1653e-003
145	9.1644e-003
146	9.1635e-003
147	9.1625e-003
148	9.1615e-003
149	9.1714e-003
150	9.1714e-003
151	9.1714e-003
152	9.1714e-003
153	9.1714e-003
154	9.1714e-003
155	9.1714e-003
156	9.1714e-003
157	9.1714e-003
158	9.1714e-003
159	9.1714e-003
160	9.1713e-003
161	9.1713e-003
162	9.1713e-003
163	9.1712e-003
164	9.1712e-003
165	9.1712e-003
166	9.1711e-003
167	9.1711e-003
168	9.1711e-003
169	9.171e-003
170	9.171e-003
171	9.1709e-003
172	9.1709e-003
173	9.1709e-003
174	9.1708e-003
175	9.1708e-003
176	9.1708e-003
177	9.1708e-003
178	9.1707e-003
179	9.1707e-003
180	9.1707e-003
181	9.1707e-003
182	9.1706e-003
183	9.1706e-003
184	9.1706e-003
185	9.1706e-003
186	9.1705e-003
187	9.1705e-003
188	9.1705e-003
189	9.1705e-003
190	9.1705e-003
191	9.1705e-003
192	9.1704e-003
193	9.1704e-003
194	9.1704e-003
195	9.1704e-003
196	9.1704e-003
197	9.1704e-003
198	9.1704e-003
199	9.1704e-003
200	9.1703e-003
201	9.1703e-003
202	9.1703e-003
203	9.1703e-003
204	9.1703e-003
205	9.1703e-003
206	9.1703e-003
207	9.1703e-003
208	9.1703e-003
209	9.1703e-003
210	9.1702e-003
211	9.1702e-003
212	9.1702e-003
213	9.1702e-003
214	9.1702e-003
215	9.1702e-003
216	9.1702e-003
217	9.1702e-003
218	9.1702e-003
219	9.1702e-003
220	9.1702e-003
221	9.1702e-003
222	9.1701e-003
223	9.1701e-003
224	9.1701e-003
225	9.1701e-003
226	9.1701e-003
227	9.1701e-003
228	9.1701e-003
229	9.1701e-003
230	9.1701e-003
231	9.1701e-003
232	9.1701e-003
233	9.1701e-003
234	9.1701e-003
235	9.1701e-003
236	9.1701e-003
237	9.1701e-003
238	9.17e-003
239	9.17e-003
240	9.17e-003
241	9.17e-003
242	9.17e-003
243	9.17e-003
244	9.17e-003
245	9.17e-003
246	9.17e-003
247	9.17e-003
248	9.17e-003
249	9.17e-003
250	9.17e-003
251	9.17e-003
252	9.17e-003
253	9.17e-003
254	9.17e-003
255	9.17e-003
256	9.1699e-003
257	9.1699e-003
258	9.1699e-003
259	9.1699e-003
260	9.1699e-003
261	9.1699e-003
262	9.1699e-003
263	9.1699e-003
264	9.1699e-003
265	9.1699e-003
266	9.1699e-003
267	9.1699e-003
268	9.1699e-003
269	9.1699e-003
270	9.1699e-003
271	9.1699e-003
272	9.1699e-003
273	9.1699e-003
274	9.1699e-003
275	9.1699e-003
276	9.1699e-003
277	9.1698e-003
278	9.1698e-003
279	9.1698e-003
280	9.1698e-003
281	9.1698e-003
282	9.1698e-003
283	9.1698e-003
284	9.1698e-003
285	9.1698e-003
286	9.1698e-003
287	9.1698e-003
288	9.1698e-003
289	9.1698e-003
290	9.1698e-003
291	9.1698e-003
292	9.1698e-003
293	9.1698e-003
294	9.1698e-003
295	9.1698e-003
296	9.1698e-003
297	9.1698e-003
298	9.1914e-003
299	9.1743e-003
300	9.1774e-003
301	9.1807e-003
302	9.1838e-003
303	9.1866e-003
304	9.1893e-003
305	9.1909e-003
306	9.192e-003
307	9.1925e-003
308	9.1929e-003
309	9.1927e-003
310	9.1929e-003
311	9.1929e-003
312	9.1929e-003
313	9.1927e-003
314	9.1927e-003
315	9.1927e-003
316	9.1925e-003
317	9.1925e-003
318	9.1925e-003
319	9.1924e-003
320	9.1923e-003
321	9.1923e-003
322	9.1922e-003
323	9.1922e-003
324	9.1922e-003
325	9.1921e-003
326	9.192e-003
327	9.192e-003
328	9.192e-003
329	9.1919e-003
330	9.1919e-003
331	9.1919e-003
332	9.1919e-003
333	9.1918e-003
334	9.1918e-003
335	9.1918e-003
336	9.1918e-003
337	9.1917e-003
338	9.1917e-003
339	9.1917e-003
340	9.1917e-003
341	9.1917e-003
342	9.1916e-003
343	9.1916e-003
344	9.1916e-003
345	9.1916e-003
346	9.1916e-003
347	9.1916e-003
348	9.1916e-003
349	9.1915e-003
350	9.1915e-003
351	9.1915e-003
352	9.1915e-003
353	9.1915e-003
354	9.1915e-003
355	9.1915e-003
356	9.1914e-003
357	9.1914e-003
358	9.1914e-003
359	9.1914e-003
360	9.1914e-003
361	9.1914e-003
362	9.1914e-003
363	9.1914e-003
364	9.1914e-003
365	9.1914e-003
366	9.1914e-003
367	9.1913e-003
368	9.1913e-003
369	9.1913e-003
370	9.1913e-003
371	9.1913e-003
372	9.1913e-003
373	9.1913e-003
374	9.1913e-003
375	9.1913e-003
376	9.1913e-003
377	9.1913e-003
378	9.1913e-003
379	9.1913e-003
380	9.1912e-003
381	9.1912e-003
382	9.1912e-003
383	9.1912e-003
384	9.1912e-003
385	9.1912e-003
386	9.1912e-003
387	9.1912e-003
388	9.1912e-003
389	9.1912e-003
390	9.1912e-003
391	9.1912e-003
392	9.1912e-003
393	9.1912e-003
394	9.1912e-003
395	9.1912e-003
396	9.1912e-003
397	9.1911e-003
398	9.1911e-003
399	9.1911e-003
400	9.1911e-003
401	9.1911e-003
402	9.1911e-003
403	9.1911e-003
404	9.1911e-003
405	9.1911e-003
406	9.1911e-003
407	9.1911e-003
408	9.1911e-003
409	9.1911e-003
410	9.1911e-003
411	9.1911e-003
412	9.1911e-003
413	9.1911e-003
414	9.1911e-003
415	9.191e-003
416	9.191e-003
417	9.191e-003
418	9.191e-003
419	9.191e-003
420	9.191e-003
421	9.191e-003
422	9.191e-003
423	9.191e-003
424	9.191e-003
425	9.191e-003
426	9.191e-003
427	9.191e-003
428	9.191e-003
429	9.191e-003
430	9.191e-003
431	9.191e-003
432	9.191e-003
433	9.191e-003
434	9.191e-003
435	9.191e-003
436	9.1909e-003
437	9.1909e-003
438	9.1909e-003
439	9.1909e-003
440	9.1909e-003
441	9.1909e-003
442	9.1909e-003
443	9.1909e-003
444	9.1909e-003
445	9.1909e-003
446	9.1909e-003
447	9.1909e-003
448	9.1909e-003
449	9.1909e-003
450	9.1909e-003
451	9.1909e-003
452	9.1909e-003
453	9.1909e-003
454	9.1909e-003
455	9.1907e-003
456	9.1909e-003
457	9.1909e-003
458	9.1909e-003
459	9.1909e-003
460	9.1909e-003
461	9.1909e-003
462	9.1909e-003
463	9.1908e-003
464	9.1908e-003
