Node Number	Equivalent (von-Mises) Stress (MPa)
1	5.3524
2	5.3678
3	16.404
4	16.218
5	15.994
6	15.753
7	15.501
8	15.244
9	14.986
10	14.728
11	14.473
12	14.222
13	13.976
14	13.736
15	13.502
16	13.274
17	13.053
18	12.838
19	12.629
20	12.424
21	12.223
22	12.026
23	11.83
24	11.635
25	11.44
26	11.242
27	11.042
28	10.837
29	10.626
30	10.409
31	10.185
32	9.9512
33	9.708
34	9.4548
35	9.1906
36	8.9147
37	8.6266
38	8.3267
39	8.0141
40	7.6893
41	7.3531
42	7.0069
43	6.6527
44	6.2932
45	5.932
46	5.5742
47	5.2263
48	4.8967
49	4.5965
50	4.3383
51	4.1382
52	4.0108
53	3.9672
54	4.0139
55	4.1478
56	4.3719
57	4.6776
58	21.16
59	16.622
60	16.883
61	17.167
62	17.465
63	17.768
64	18.072
65	18.37
66	18.663
67	18.947
68	19.222
69	19.486
70	19.739
71	19.98
72	20.206
73	20.414
74	20.606
75	20.779
76	20.929
77	21.057
78	21.158
79	21.232
80	21.275
81	21.284
82	21.247
83	5.9984
84	21.04
85	20.875
86	20.661
87	20.402
88	20.089
89	19.72
90	19.298
91	18.817
92	18.278
93	17.676
94	17.011
95	16.291
96	15.504
97	14.661
98	13.757
99	12.809
100	11.818
101	10.813
102	9.8108
103	8.8614
104	8.045
105	7.4741
106	7.3009
107	7.6348
108	8.4575
109	9.6262
110	10.875
111	11.91
112	12.423
113	12.138
114	10.881
115	8.5096
116	18.822
117	18.566
118	18.282
119	17.973
120	17.631
121	17.259
122	16.85
123	16.408
124	15.924
125	15.402
126	14.837
127	14.227
128	13.572
129	12.876
130	12.128
131	11.344
132	10.519
133	9.6664
134	8.7989
135	7.9538
136	7.1716
137	6.5423
138	6.1879
139	6.2478
140	6.7983
141	7.7854
142	9.0429
143	10.352
144	11.429
145	12.011
146	11.796
147	10.673
148	8.4955
149	19.518
150	19.517
151	19.516
152	19.515
153	19.512
154	19.51
155	19.508
156	19.507
157	19.507
158	19.506
159	19.507
160	19.508
161	19.509
162	19.51
163	19.511
164	19.512
165	19.514
166	19.515
167	19.516
168	19.517
169	19.517
170	19.518
171	19.518
172	19.518
173	19.518
174	19.517
175	19.517
176	19.516
177	19.515
178	19.514
179	19.513
180	19.511
181	19.51
182	19.508
183	19.506
184	19.505
185	19.503
186	19.501
187	19.499
188	19.497
189	19.495
190	19.493
191	19.491
192	19.489
193	19.487
194	19.485
195	19.483
196	19.481
197	19.479
198	19.478
199	19.476
200	19.475
201	19.473
202	19.472
203	19.47
204	19.469
205	19.468
206	19.468
207	19.467
208	19.467
209	19.467
210	19.467
211	19.467
212	19.468
213	19.469
214	19.47
215	19.472
216	19.474
217	19.476
218	19.479
219	19.482
220	19.486
221	19.49
222	19.494
223	19.5
224	19.505
225	19.512
226	19.519
227	19.526
228	19.535
229	19.544
230	19.553
231	19.564
232	19.575
233	19.587
234	19.6
235	19.614
236	19.628
237	19.644
238	19.66
239	19.677
240	19.695
241	19.714
242	19.734
243	19.755
244	19.777
245	19.8
246	19.823
247	19.848
248	19.873
249	19.899
250	19.926
251	19.953
252	19.982
253	20.011
254	20.04
255	20.07
256	20.101
257	20.131
258	20.162
259	20.194
260	20.225
261	20.256
262	20.287
263	20.318
264	20.348
265	20.378
266	20.407
267	20.434
268	20.461
269	20.486
270	20.51
271	20.532
272	20.552
273	20.569
274	20.584
275	20.596
276	20.605
277	20.61
278	20.611
279	20.607
280	20.599
281	20.585
282	20.565
283	20.539
284	20.506
285	20.465
286	20.416
287	20.358
288	20.289
289	20.209
290	20.118
291	20.014
292	19.896
293	19.763
294	19.613
295	19.446
296	19.259
297	19.052
298	19.164
299	19.433
300	19.349
301	19.265
302	19.196
303	19.145
304	19.114
305	15.03
306	19.076
307	18.997
308	18.933
309	18.964
310	18.941
311	18.932
312	18.936
313	18.953
314	18.96
315	18.96
316	18.978
317	18.985
318	18.984
319	19.
320	19.005
321	19.004
322	19.016
323	19.02
324	19.018
325	19.027
326	19.029
327	19.027
328	19.034
329	19.035
330	19.033
331	19.038
332	19.038
333	19.035
334	19.039
335	19.038
336	19.035
337	19.038
338	19.036
339	19.033
340	19.035
341	19.034
342	19.03
343	19.032
344	19.031
345	19.027
346	19.029
347	19.027
348	19.024
349	19.025
350	19.024
