S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	42.4	37.57	0.	799.98
8.3333e-002	42.483	37.57	0.	799.95
0.16667	42.567	37.57	0.	799.91
0.25	42.65	37.57	0.	799.88
0.33333	42.733	37.57	0.	799.85
0.41667	42.817	37.57	0.	799.82
0.5	42.9	37.57	0.	799.79
0.58333	42.983	37.57	0.	799.75
0.66667	43.067	37.57	0.	799.72
0.75	43.15	37.57	0.	799.69
0.83333	43.233	37.57	0.	799.66
0.91667	43.317	37.57	0.	799.63
1.	43.4	37.57	0.	799.61
1.0833	43.483	37.57	0.	799.58
1.1667	43.567	37.57	0.	799.55
1.25	43.65	37.57	0.	799.52
1.3333	43.733	37.57	0.	799.49
1.4167	43.817	37.57	0.	799.47
1.5	43.9	37.57	0.	799.44
1.5833	43.983	37.57	0.	799.41
1.6667	44.067	37.57	0.	799.39
1.75	44.15	37.57	0.	799.36
1.8333	44.233	37.57	0.	799.33
1.9167	44.317	37.57	0.	799.31
2.	44.4	37.57	0.	799.28
2.0833	44.483	37.57	0.	799.26
2.1667	44.567	37.57	0.	799.23
2.25	44.65	37.57	0.	799.21
2.3333	44.733	37.57	0.	799.19
2.4167	44.817	37.57	0.	799.16
2.5	44.9	37.57	0.	799.14
2.5833	44.983	37.57	0.	799.11
2.6667	45.067	37.57	0.	799.09
2.75	45.15	37.57	0.	799.07
2.8333	45.233	37.57	0.	799.04
2.9167	45.317	37.57	0.	799.02
3.	45.4	37.57	0.	799.
3.0833	45.483	37.57	0.	798.98
3.1667	45.567	37.57	0.	798.95
3.25	45.65	37.57	0.	798.93
3.3333	45.733	37.57	0.	798.91
3.4167	45.817	37.57	0.	798.89
3.5	45.9	37.57	0.	798.87
3.5833	45.983	37.57	0.	798.85
3.6667	46.067	37.57	0.	798.83
3.75	46.15	37.57	0.	798.8
3.8333	46.233	37.57	0.	798.78
3.9167	46.317	37.57	0.	798.76
4.	46.4	37.57	0.	798.74
