S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	42.03	36.38	0.	799.98
8.3393e-002	42.088	36.32	0.	799.95
0.16679	42.146	36.26	0.	799.91
0.25018	42.204	36.2	0.	799.88
0.33357	42.262	36.14	0.	799.84
0.41696	42.32	36.08	0.	799.81
0.50036	42.378	36.02	0.	799.77
0.58375	42.435	35.96	0.	799.74
0.66714	42.493	35.9	0.	799.71
0.75053	42.551	35.84	0.	799.68
0.83393	42.609	35.78	0.	799.65
0.91732	42.667	35.72	0.	799.62
1.0007	42.725	35.66	0.	799.59
1.0841	42.783	35.6	0.	799.56
1.1675	42.841	35.54	0.	799.53
1.2509	42.899	35.48	0.	799.5
1.3343	42.957	35.42	0.	799.47
1.4177	43.015	35.36	0.	799.45
1.5011	43.073	35.3	0.	799.42
1.5845	43.13	35.24	0.	799.39
1.6679	43.188	35.18	0.	799.37
1.7512	43.246	35.12	0.	799.34
1.8346	43.304	35.06	0.	799.31
1.918	43.362	35.	0.	799.29
2.0014	43.42	34.94	0.	799.26
2.0848	43.478	34.88	0.	799.24
2.1682	43.536	34.82	0.	799.21
2.2516	43.594	34.76	0.	799.19
2.335	43.652	34.7	0.	799.17
2.4184	43.71	34.64	0.	799.14
2.5018	43.767	34.58	0.	799.12
2.5852	43.825	34.52	0.	799.09
2.6686	43.883	34.46	0.	799.07
2.752	43.941	34.4	0.	799.05
2.8354	43.999	34.34	0.	799.02
2.9187	44.057	34.28	0.	799.
3.0021	44.115	34.22	0.	798.98
3.0855	44.173	34.16	0.	798.96
3.1689	44.231	34.1	0.	798.93
3.2523	44.289	34.04	0.	798.91
3.3357	44.347	33.98	0.	798.89
3.4191	44.405	33.92	0.	798.87
3.5025	44.462	33.86	0.	798.85
3.5859	44.52	33.8	0.	798.83
3.6693	44.578	33.74	0.	798.8
3.7527	44.636	33.68	0.	798.78
3.8361	44.694	33.62	0.	798.76
3.9195	44.752	33.56	0.	798.74
4.0028	44.81	33.5	0.	798.72
