	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.1504	8.254	6.1153	3.2667	0.	0.	9.5279	6.1153	-0.12348	9.6513	8.4769
Bending (Inside)	-3.6146	20.332	4.2426	0.	0.	0.	20.332	4.2426	-3.6146	23.947	21.143
Bending (Outside)	-1.1725	-19.731	-4.2426	0.	0.	0.	-1.1725	-4.2426	-19.731	18.558	17.23
Membrane+Bending (Inside)	-2.4642	28.586	10.358	3.2667	0.	0.	28.926	10.358	-2.8042	31.731	27.612
Membrane+Bending (Center)	-1.2432	8.5548	6.1153	3.2667	0.	0.	9.5441	6.1153	-2.2324	11.777	10.491
Membrane+Bending (Outside)	-2.2116e-002	-11.477	1.8728	3.2667	0.	0.	1.8728	0.84403	-12.343	14.216	13.73
Peak (Inside)	0.	1.3535	-0.72988	-3.2326	0.	0.	3.9794	-0.72988	-2.6259	6.6054	5.8908
Peak (Center)	3.6492	-1.5492	-4.2621e-002	0.72645	0.	0.	3.7488	-4.2621e-002	-1.6489	5.3976	4.8005
Peak (Outside)	5.457e-017	1.1062	-0.12347	-3.252	0.	0.	3.8518	-0.12347	-2.7456	6.5974	5.7535
Total (Inside)	-2.4642	29.94	9.628	3.4133e-002	0.	0.	29.94	9.628	-2.4643	32.404	28.362
Total (Center)	2.406	7.0056	6.0727	3.9932	0.	0.	9.3139	6.0727	9.7685e-002	9.2162	8.0977
Total (Outside)	-2.2116e-002	-10.371	1.7493	1.4704e-002	0.	0.	1.7493	-2.2095e-002	-10.371	12.12	11.338

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	9.5279	20.332	28.926	3.9794	29.94
8.3333e-002	42.483	37.57	0.	9.5279	19.498	28.101	3.3072	29.38
0.16667	42.567	37.57	0.	9.5279	18.663	27.277	2.6845	28.882
0.25	42.65	37.57	0.	9.5279	17.828	26.453	2.2021	28.444
0.33333	42.733	37.57	0.	9.5279	16.994	25.63	2.5382	28.063
0.41667	42.817	37.57	0.	9.5279	16.159	24.808	3.3425	27.551
0.5	42.9	37.57	0.	9.5279	15.324	23.987	3.5462	26.317
0.58333	42.983	37.57	0.	9.5279	14.49	23.166	3.9192	25.161
0.66667	43.067	37.57	0.	9.5279	13.655	22.346	4.3713	24.087
0.75	43.15	37.57	0.	9.5279	12.82	21.528	4.8616	23.097
0.83333	43.233	37.57	0.	9.5279	11.986	20.711	5.1964	22.121
0.91667	43.317	37.57	0.	9.5279	11.151	19.895	5.1681	21.026
1.	43.4	37.57	0.	9.5279	10.317	19.08	5.1677	19.952
1.0833	43.483	37.57	0.	9.5279	9.4819	18.268	5.192	18.9
1.1667	43.567	37.57	0.	9.5279	8.6473	17.457	5.2375	17.874
1.25	43.65	37.57	0.	9.5279	7.8126	16.648	5.2574	16.888
1.3333	43.733	37.57	0.	9.5279	6.978	15.842	5.1003	15.974
1.4167	43.817	37.57	0.	9.5279	6.1433	15.039	4.9508	15.066
1.5	43.9	37.57	0.	9.5279	5.3087	14.239	4.8092	14.163
1.5833	43.983	37.57	0.	9.5279	4.474	13.442	4.6759	13.269
1.6667	44.067	37.57	0.	9.5279	3.6394	12.65	4.5442	12.391
1.75	44.15	37.57	0.	9.5279	2.8047	11.864	4.3246	11.616
1.8333	44.233	37.57	0.	9.5279	1.9701	11.083	4.1204	10.85
