	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	2.2384	8.2602	6.5356	-3.4657	0.	0.	9.8402	6.5356	0.65836	9.1818	8.0551
Bending (Inside)	-5.7548	22.039	4.5105	0.	0.	0.	22.039	4.5105	-5.7548	27.794	24.342
Bending (Outside)	-2.286	-21.573	-4.5105	0.	0.	0.	-2.286	-4.5105	-21.573	19.287	18.277
Membrane+Bending (Inside)	-3.5165	30.299	11.046	-3.4657	0.	0.	30.651	11.046	-3.868	34.519	29.986
Membrane+Bending (Center)	-1.782	8.4929	6.5356	-3.4657	0.	0.	9.5525	6.5356	-2.8417	12.394	11.195
Membrane+Bending (Outside)	-4.7636e-002	-13.313	2.025	-3.4657	0.	0.	2.025	0.80321	-14.164	16.189	15.614
Peak (Inside)	4.6566e-016	6.4376	-0.36619	5.5225	0.	0.	9.6109	-0.36619	-3.1733	12.784	11.637
Peak (Center)	5.1704	-2.4879	-0.341	-0.14101	0.	0.	5.173	-0.341	-2.4905	7.6635	6.8467
Peak (Outside)	1.3097e-016	2.2042	0.24919	3.1842	0.	0.	4.4717	0.24919	-2.2674	6.7391	5.8982
Total (Inside)	-3.5165	36.737	10.68	2.0569	0.	0.	36.841	10.68	-3.6213	40.463	35.54
Total (Center)	3.3884	6.0049	6.1946	-3.6067	0.	0.	8.5333	6.1946	0.86	7.6733	6.812
Total (Outside)	-4.7636e-002	-11.109	2.2742	-0.28148	0.	0.	2.2742	-4.0478e-002	-11.116	13.39	12.396

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.03	36.38	0.	9.8402	22.039	30.651	9.6109	36.841
8.3393e-002	42.088	36.32	0.	9.8402	21.13	29.752	7.096	34.962
0.16679	42.146	36.26	0.	9.8402	20.222	28.855	5.1302	33.693
0.25018	42.204	36.2	0.	9.8402	19.313	27.958	5.7311	32.951
0.33357	42.262	36.14	0.	9.8402	18.405	27.061	7.7642	32.628
0.41696	42.32	36.08	0.	9.8402	17.496	26.166	8.4444	31.56
0.50036	42.378	36.02	0.	9.8402	16.587	25.271	7.9125	29.379
0.58375	42.435	35.96	0.	9.8402	15.679	24.377	7.8079	27.438
0.66714	42.493	35.9	0.	9.8402	14.77	23.485	8.0643	25.727
0.75053	42.551	35.84	0.	9.8402	13.862	22.594	8.587	24.155
0.83393	42.609	35.78	0.	9.8402	12.953	21.703	8.6471	22.736
0.91732	42.667	35.72	0.	9.8402	12.044	20.815	8.4077	21.362
1.0007	42.725	35.66	0.	9.8402	11.136	19.928	8.2224	20.029
1.0841	42.783	35.6	0.	9.8402	10.227	19.043	8.0854	18.739
1.1675	42.841	35.54	0.	9.8402	9.3186	18.16	7.9905	17.495
1.2509	42.899	35.48	0.	9.8402	8.41	17.28	7.7197	16.424
1.3343	42.957	35.42	0.	9.8402	7.5014	16.402	7.3861	15.424
1.4177	43.015	35.36	0.	9.8402	6.5928	15.527	7.0794	14.439
1.5011	43.073	35.3	0.	9.8402	5.6842	14.656	6.799	13.468
1.5845	43.13	35.24	0.	9.8402	4.7756	13.79	6.5443	12.515
1.6679	43.188	35.18	0.	9.8402	3.8671	12.928	6.2578	11.673
1.7512	43.246	35.12	0.	9.8402	2.9585	12.072	5.9641	10.874
