	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.1504	8.254	6.1153	3.2667	0.	0.	9.5279	6.1153	-0.12348	9.6513	8.4769
Bending (Inside)	-3.6146	20.332	4.2426	0.	0.	0.	20.332	4.2426	-3.6146	23.947	21.143
Bending (Outside)	-1.1725	-19.731	-4.2426	0.	0.	0.	-1.1725	-4.2426	-19.731	18.558	17.23
Membrane+Bending (Inside)	-2.4642	28.586	10.358	3.2667	0.	0.	28.926	10.358	-2.8042	31.731	27.612
Membrane+Bending (Center)	-1.2432	8.5548	6.1153	3.2667	0.	0.	9.5441	6.1153	-2.2324	11.777	10.491
Membrane+Bending (Outside)	-2.2116e-002	-11.477	1.8728	3.2667	0.	0.	1.8728	0.84403	-12.343	14.216	13.73
Peak (Inside)	0.	1.3535	-0.72988	-3.2326	0.	0.	3.9794	-0.72988	-2.6259	6.6054	5.8908
Peak (Center)	3.6492	-1.5492	-4.2621e-002	0.72645	0.	0.	3.7488	-4.2621e-002	-1.6489	5.3976	4.8005
Peak (Outside)	5.457e-017	1.1062	-0.12347	-3.252	0.	0.	3.8518	-0.12347	-2.7456	6.5974	5.7535
Total (Inside)	-2.4642	29.94	9.628	3.4133e-002	0.	0.	29.94	9.628	-2.4643	32.404	28.362
Total (Center)	2.406	7.0056	6.0727	3.9932	0.	0.	9.3139	6.0727	9.7685e-002	9.2162	8.0977
Total (Outside)	-2.2116e-002	-10.371	1.7493	1.4704e-002	0.	0.	1.7493	-2.2095e-002	-10.371	12.12	11.338

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	8.4769	21.143	27.612	5.8908	28.362
8.3333e-002	42.483	37.57	0.	8.4769	20.349	26.845	4.2982	27.532
0.16667	42.567	37.57	0.	8.4769	19.555	26.08	2.9174	26.827
0.25	42.65	37.57	0.	8.4769	18.762	25.316	2.0306	26.242
0.33333	42.733	37.57	0.	8.4769	17.969	24.555	2.1658	25.773
0.41667	42.817	37.57	0.	8.4769	17.176	23.796	2.9187	25.195
0.5	42.9	37.57	0.	8.4769	16.383	23.04	3.2423	23.796
0.58333	42.983	37.57	0.	8.4769	15.591	22.286	3.8285	22.508
0.66667	43.067	37.57	0.	8.4769	14.799	21.535	4.5563	21.338
0.75	43.15	37.57	0.	8.4769	14.007	20.788	5.3538	20.292
0.83333	43.233	37.57	0.	8.4769	13.217	20.045	5.9425	19.306
0.91667	43.317	37.57	0.	8.4769	12.427	19.306	6.0341	18.225
1.	43.4	37.57	0.	8.4769	11.638	18.571	6.1665	17.174
1.0833	43.483	37.57	0.	8.4769	10.85	17.842	6.3348	16.157
1.1667	43.567	37.57	0.	8.4769	10.063	17.119	6.5344	15.177
1.25	43.65	37.57	0.	8.4769	9.2781	16.403	6.6821	14.261
1.3333	43.733	37.57	0.	8.4769	8.4953	15.694	6.5114	13.45
1.4167	43.817	37.57	0.	8.4769	7.7152	14.995	6.3531	12.652
1.5	43.9	37.57	0.	8.4769	6.939	14.305	6.2078	11.869
1.5833	43.983	37.57	0.	8.4769	6.1678	13.627	6.0765	11.104
1.6667	44.067	37.57	0.	8.4769	5.4041	12.963	5.9451	10.371
1.75	44.15	37.57	0.	8.4769	4.6513	12.314	5.6297	9.7857
1.8333	44.233	37.57	0.	8.4769	3.9159	11.684	5.3343	9.2168
1.9167	44.317	37.57	0.	8.4769	3.2097	11.075	5.0576	8.652
2.	44.4	37.57	0.	8.4769	2.5572	10.491	4.8005	8.0977
2.0833	44.483	37.57	0.	8.4769	2.0112	9.9369	4.5588	7.5855
2.1667	44.567	37.57	0.	8.4769	1.6792	9.4175	4.2463	7.1801
2.25	44.65	37.57	0.	8.4769	1.692	8.9389	3.937	6.7814
2.3333	44.733	37.57	0.	8.4769	2.0433	8.5082	3.6403	6.4083
2.4167	44.817	37.57	0.	8.4769	2.5992	8.1328	3.3638	6.0856
2.5	44.9	37.57	0.	8.4769	3.2566	7.8207	3.1153	5.8235
2.5833	44.983	37.57	0.	8.4769	3.9654	7.5799	2.908	5.6365
2.6667	45.067	37.57	0.	8.4769	4.7023	7.4171	2.7466	5.5066
2.75	45.15	37.57	0.	8.4769	5.4559	7.3377	2.6399	5.4373
2.8333	45.233	37.57	0.	8.4769	6.2203	7.3443	2.5952	5.4305
2.9167	45.317	37.57	0.	8.4769	6.9918	7.4367	2.6162	5.486
3.	45.4	37.57	0.	8.4769	7.7684	7.6118	2.6875	5.6273
3.0833	45.483	37.57	0.	8.4769	8.5486	7.864	2.8088	5.8273
3.1667	45.567	37.57	0.	8.4769	9.3316	8.1863	2.9756	6.0782
3.25	45.65	37.57	0.	8.4769	10.117	8.5706	3.1817	6.3746
3.3333	45.733	37.57	0.	8.4769	10.903	9.0092	3.4268	6.7303
3.4167	45.817	37.57	0.	8.4769	11.692	9.4944	3.6924	7.1511
3.5	45.9	37.57	0.	8.4769	12.481	10.02	3.9642	7.6096
3.5833	45.983	37.57	0.	8.4769	13.271	10.579	4.2406	8.099
3.6667	46.067	37.57	0.	8.4769	14.061	11.167	4.5269	8.6413
3.75	46.15	37.57	0.	8.4769	14.853	11.779	4.8316	9.2821
3.8333	46.233	37.57	0.	8.4769	15.645	12.412	5.1377	9.9482
3.9167	46.317	37.57	0.	8.4769	16.437	13.064	5.445	10.635
4.	46.4	37.57	0.	8.4769	17.23	13.73	5.7535	11.338
