	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	2.2384	8.2602	6.5356	-3.4657	0.	0.	9.8402	6.5356	0.65836	9.1818	8.0551
Bending (Inside)	-5.7548	22.039	4.5105	0.	0.	0.	22.039	4.5105	-5.7548	27.794	24.342
Bending (Outside)	-2.286	-21.573	-4.5105	0.	0.	0.	-2.286	-4.5105	-21.573	19.287	18.277
Membrane+Bending (Inside)	-3.5165	30.299	11.046	-3.4657	0.	0.	30.651	11.046	-3.868	34.519	29.986
Membrane+Bending (Center)	-1.782	8.4929	6.5356	-3.4657	0.	0.	9.5525	6.5356	-2.8417	12.394	11.195
Membrane+Bending (Outside)	-4.7636e-002	-13.313	2.025	-3.4657	0.	0.	2.025	0.80321	-14.164	16.189	15.614
Peak (Inside)	4.6566e-016	6.4376	-0.36619	5.5225	0.	0.	9.6109	-0.36619	-3.1733	12.784	11.637
Peak (Center)	5.1704	-2.4879	-0.341	-0.14101	0.	0.	5.173	-0.341	-2.4905	7.6635	6.8467
Peak (Outside)	1.3097e-016	2.2042	0.24919	3.1842	0.	0.	4.4717	0.24919	-2.2674	6.7391	5.8982
Total (Inside)	-3.5165	36.737	10.68	2.0569	0.	0.	36.841	10.68	-3.6213	40.463	35.54
Total (Center)	3.3884	6.0049	6.1946	-3.6067	0.	0.	8.5333	6.1946	0.86	7.6733	6.812
Total (Outside)	-4.7636e-002	-11.109	2.2742	-0.28148	0.	0.	2.2742	-4.0478e-002	-11.116	13.39	12.396

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.03	36.38	0.	8.0551	24.342	29.986	11.637	35.54
8.3393e-002	42.088	36.32	0.	8.0551	23.468	29.139	7.1077	32.408
0.16679	42.146	36.26	0.	8.0551	22.595	28.295	4.2694	30.339
0.25018	42.204	36.2	0.	8.0551	21.722	27.452	4.5648	29.184
0.33357	42.262	36.14	0.	8.0551	20.849	26.612	6.7154	28.757
0.41696	42.32	36.08	0.	8.0551	19.977	25.775	7.7768	27.717
0.50036	42.378	36.02	0.	8.0551	19.106	24.941	7.608	25.477
0.58375	42.435	35.96	0.	8.0551	18.236	24.11	7.9613	23.47
0.66714	42.493	35.9	0.	8.0551	17.367	23.282	8.7535	21.672
0.75053	42.551	35.84	0.	8.0551	16.499	22.459	9.8714	19.96
0.83393	42.609	35.78	0.	8.0551	15.632	21.64	10.259	18.528
0.91732	42.667	35.72	0.	8.0551	14.767	20.826	10.17	17.192
1.0007	42.725	35.66	0.	8.0551	13.904	20.018	10.153	15.906
1.0841	42.783	35.6	0.	8.0551	13.043	19.215	10.198	14.675
1.1675	42.841	35.54	0.	8.0551	12.185	18.42	10.298	13.507
1.2509	42.899	35.48	0.	8.0551	11.33	17.634	10.063	12.597
1.3343	42.957	35.42	0.	8.0551	10.479	16.856	9.6983	11.79
1.4177	43.015	35.36	0.	8.0551	9.6336	16.089	9.3666	11.
1.5011	43.073	35.3	0.	8.0551	8.7949	15.334	9.0673	10.231
1.5845	43.13	35.24	0.	8.0551	7.9652	14.593	8.8	9.4878
1.6679	43.188	35.18	0.	8.0551	7.1476	13.868	8.4143	8.8747
1.7512	43.246	35.12	0.	8.0551	6.3467	13.163	7.9905	8.3201
1.8346	43.304	35.06	0.	8.0551	5.5698	12.479	7.5868	7.7876
1.918	43.362	35.	0.	8.0551	4.8284	11.822	7.2049	7.2826
2.0014	43.42	34.94	0.	8.0551	4.1417	11.195	6.8467	6.812
2.0848	43.478	34.88	0.	8.0551	3.5415	10.604	6.4424	6.4221
2.1682	43.536	34.82	0.	8.0551	3.0791	10.056	6.0132	6.0975
2.2516	43.594	34.76	0.	8.0551	2.8227	9.5571	5.6165	5.8133
2.335	43.652	34.7	0.	8.0551	2.8292	9.1163	5.2566	5.5775
2.4184	43.71	34.64	0.	8.0551	3.0968	8.7422	4.9382	5.3981
2.5018	43.767	34.58	0.	8.0551	3.5672	8.4435	4.6321	5.2963
2.5852	43.825	34.52	0.	8.0551	4.1723	8.2285	4.3481	5.2618
2.6686	43.883	34.46	0.	8.0551	4.8622	8.104	4.1142	5.2844
2.752	43.941	34.4	0.	8.0551	5.6057	8.074	3.9394	5.3626
2.8354	43.999	34.34	0.	8.0551	6.3839	8.1396	3.8316	5.4931
2.9187	44.057	34.28	0.	8.0551	7.1857	8.2985	3.7862	5.7076
3.0021	44.115	34.22	0.	8.0551	8.004	8.5456	3.8012	5.9683
3.0855	44.173	34.16	0.	8.0551	8.8342	8.8735	3.8763	6.2658
3.1689	44.231	34.1	0.	8.0551	9.6732	9.2735	4.0083	6.5949
3.2523	44.289	34.04	0.	8.0551	10.519	9.7369	4.182	6.9692
3.3357	44.347	33.98	0.	8.0551	11.37	10.255	4.3565	7.4282
3.4191	44.405	33.92	0.	8.0551	12.225	10.82	4.5525	7.9084
3.5025	44.462	33.86	0.	8.0551	13.083	11.425	4.7673	8.4057
3.5859	44.52	33.8	0.	8.0551	13.944	12.064	4.9984	8.917
3.6693	44.578	33.74	0.	8.0551	14.808	12.732	5.2036	9.5383
3.7527	44.636	33.68	0.	8.0551	15.673	13.424	5.3843	10.234
3.8361	44.694	33.62	0.	8.0551	16.54	14.137	5.5605	10.944
3.9195	44.752	33.56	0.	8.0551	17.408	14.868	5.7319	11.666
4.0028	44.81	33.5	0.	8.0551	18.277	15.614	5.8982	12.396
