Node Number	Normal Stress (MPa)
1	3.0272
2	2.8085
3	18.945
4	18.737
5	18.474
6	18.185
7	17.878
8	17.557
9	17.225
10	16.885
11	16.536
12	16.182
13	15.823
14	15.461
15	15.096
16	14.729
17	14.363
18	13.997
19	13.633
20	13.271
21	12.913
22	12.56
23	12.212
24	11.869
25	11.534
26	11.206
27	10.886
28	10.574
29	10.272
30	9.9774
31	9.6925
32	9.4165
33	9.1493
34	8.8907
35	8.64
36	8.3964
37	8.159
38	7.9268
39	7.6986
40	7.4728
41	7.248
42	7.0228
43	6.7952
44	6.5638
45	6.3272
46	6.0832
47	5.8304
48	5.5672
49	5.2926
50	5.0064
51	4.7095
52	4.404
53	4.0933
54	3.7851
55	3.4908
56	3.2197
57	3.0164
58	22.102
59	19.19
60	19.487
61	19.805
62	20.13
63	20.451
64	20.763
65	21.057
66	21.335
67	21.59
68	21.826
69	22.038
70	22.227
71	22.391
72	22.532
73	22.644
74	22.732
75	22.793
76	22.825
77	22.828
78	22.801
79	22.744
80	22.656
81	22.546
82	22.419
83	22.271
84	5.4743
85	21.946
86	21.776
87	21.59
88	21.387
89	21.168
90	20.933
91	20.681
92	20.413
93	20.128
94	19.826
95	19.508
96	19.173
97	18.822
98	18.453
99	18.068
100	17.667
101	17.249
102	16.814
103	16.364
104	15.897
105	15.415
106	14.917
107	14.404
108	13.876
109	13.333
110	12.777
111	12.207
112	11.622
113	11.025
114	10.414
115	9.7889
116	9.1503
117	8.4998
118	7.8366
119	7.1632
120	6.4819
121	5.7996
122	5.1232
123	4.4628
124	3.8409
125	3.2698
126	2.7843
127	2.4088
128	2.1731
129	2.1054
130	2.2308
131	2.5747
132	3.1846
133	4.1575
134	20.629
135	20.396
136	20.154
137	19.9
138	19.635
139	19.358
140	19.069
141	18.768
142	18.455
143	18.129
144	17.791
145	17.44
146	17.077
147	16.701
148	16.312
149	15.91
150	15.496
151	15.069
152	14.629
153	14.177
154	13.713
155	13.237
156	12.749
157	12.25
158	11.739
159	11.218
160	10.686
161	10.144
162	9.5921
163	9.0306
164	8.4612
165	7.8822
166	7.2958
167	6.7012
168	6.1015
169	5.4975
170	4.8927
171	4.2926
172	3.7063
173	3.1449
174	2.626
175	2.1705
176	1.8056
177	1.5522
178	1.4464
179	1.5098
180	1.7637
181	2.222
182	2.9666
183	4.0436
184	22.525
185	22.525
186	22.524
187	22.521
188	22.519
189	22.517
190	22.515
191	22.514
192	22.513
193	22.513
194	22.514
195	22.515
196	22.516
197	22.517
198	22.519
199	22.52
200	22.521
201	22.523
202	22.524
203	22.524
204	22.525
205	22.525
206	22.525
207	22.525
208	22.524
209	22.524
210	22.523
211	22.522
212	22.521
213	22.519
214	22.518
215	22.516
216	22.514
217	22.512
218	22.51
219	22.507
220	22.505
221	22.503
222	22.5
223	22.498
224	22.496
225	22.493
226	22.491
227	22.488
228	22.486
229	22.484
230	22.481
231	22.479
232	22.477
233	22.474
234	22.473
235	22.471
236	22.469
237	22.467
238	22.465
239	22.464
240	22.463
241	22.462
242	22.461
243	22.46
244	22.46
245	22.46
246	22.46
247	22.461
248	22.461
249	22.462
250	22.464
251	22.466
252	22.468
253	22.471
254	22.475
255	22.479
256	22.483
257	22.488
258	22.494
259	22.5
260	22.507
261	22.515
262	22.524
263	22.533
264	22.543
265	22.554
266	22.566
267	22.579
268	22.593
269	22.608
270	22.623
271	22.64
272	22.658
273	22.677
274	22.698
275	22.719
276	22.742
277	22.765
278	22.79
279	22.816
280	22.844
281	22.872
282	22.901
283	22.932
284	22.963
285	22.996
286	23.029
287	23.064
288	23.099
289	23.135
290	23.172
291	23.208
292	23.246
293	23.283
294	23.321
295	23.359
296	23.396
297	23.432
298	23.468
299	23.503
300	23.536
301	23.568
302	23.598
303	23.625
304	23.65
305	23.671
306	23.689
307	23.703
308	23.713
309	23.718
310	23.717
311	23.71
312	23.696
313	23.675
314	23.647
315	23.609
316	23.562
317	23.506
318	23.437
