S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.	2.1511e-013	0.	801.91
8.4086e-002	15.084	2.1511e-013	0.	802.38
0.16817	15.168	2.1511e-013	0.	802.7
0.25226	15.252	2.1511e-013	0.	802.89
0.33634	15.336	2.1511e-013	0.	802.95
0.42043	15.42	2.1511e-013	0.	802.97
0.50451	15.505	2.1511e-013	0.	802.97
0.5886	15.589	2.1511e-013	0.	802.95
0.67269	15.673	2.1511e-013	0.	802.9
0.75677	15.757	2.1511e-013	0.	802.83
0.84086	15.841	2.1511e-013	0.	802.75
0.92494	15.925	2.1511e-013	0.	802.67
1.009	16.009	2.1511e-013	0.	802.59
1.0931	16.093	2.1511e-013	0.	802.5
1.1772	16.177	2.1511e-013	0.	802.41
1.2613	16.261	2.1511e-013	0.	802.32
1.3454	16.345	2.1511e-013	0.	802.23
1.4295	16.429	2.1511e-013	0.	802.14
1.5135	16.514	2.1511e-013	0.	802.06
1.5976	16.598	2.1511e-013	0.	801.98
1.6817	16.682	2.1511e-013	0.	801.9
1.7658	16.766	2.1511e-013	0.	801.82
1.8499	16.85	2.1511e-013	0.	801.74
1.934	16.934	2.1511e-013	0.	801.67
2.0181	17.018	2.1511e-013	0.	801.59
2.1021	17.102	2.1511e-013	0.	801.52
2.1862	17.186	2.1511e-013	0.	801.46
2.2703	17.27	2.1511e-013	0.	801.39
2.3544	17.354	2.1511e-013	0.	801.33
2.4385	17.438	2.1511e-013	0.	801.27
2.5226	17.523	2.1511e-013	0.	801.21
2.6067	17.607	2.1511e-013	0.	801.15
2.6907	17.691	2.1511e-013	0.	801.1
2.7748	17.775	2.1511e-013	0.	801.05
2.8589	17.859	2.1511e-013	0.	800.99
2.943	17.943	2.1511e-013	0.	800.95
3.0271	18.027	2.1511e-013	0.	800.9
3.1112	18.111	2.1511e-013	0.	800.85
3.1953	18.195	2.1511e-013	0.	800.81
3.2793	18.279	2.1511e-013	0.	800.77
3.3634	18.363	2.1511e-013	0.	800.73
3.4475	18.448	2.1511e-013	0.	800.69
3.5316	18.532	2.1511e-013	0.	800.65
3.6157	18.616	2.1511e-013	0.	800.62
3.6998	18.7	2.1511e-013	0.	800.59
3.7839	18.784	2.1511e-013	0.	800.56
3.8679	18.868	2.1511e-013	0.	800.53
3.952	18.952	2.1511e-013	0.	800.5
4.0361	19.036	2.1511e-013	0.	800.48
