Node Number	Total Deformation (mm)
1	1.1778
2	1.1808
3	1.054
4	1.0553
5	1.0568
6	1.0582
7	1.0597
8	1.0613
9	1.0629
10	1.0645
11	1.0662
12	1.0679
13	1.0696
14	1.0714
15	1.0732
16	1.0751
17	1.077
18	1.0789
19	1.0809
20	1.0829
21	1.085
22	1.087
23	1.0891
24	1.0913
25	1.0934
26	1.0957
27	1.0979
28	1.1001
29	1.1024
30	1.1048
31	1.1071
32	1.1095
33	1.1119
34	1.1143
35	1.1167
36	1.1192
37	1.1217
38	1.1242
39	1.1267
40	1.1293
41	1.1319
42	1.1345
43	1.1371
44	1.1397
45	1.1423
46	1.145
47	1.1477
48	1.1504
49	1.1531
50	1.1558
51	1.1585
52	1.1612
53	1.164
54	1.1667
55	1.1695
56	1.1722
57	1.175
58	1.002
59	1.0523
60	1.0505
61	1.0485
62	1.0464
63	1.0443
64	1.0422
65	1.0401
66	1.0379
67	1.0358
68	1.0336
69	1.0315
70	1.0294
71	1.0273
72	1.0252
73	1.0231
74	1.021
75	1.019
76	1.0169
77	1.0149
78	1.0128
79	1.0108
80	1.0089
81	1.007
82	1.0053
83	1.0037
84	0.94553
85	1.0007
86	0.99941
87	0.99811
88	0.99681
89	0.99552
90	0.99423
91	0.99294
92	0.99166
93	0.99039
94	0.98912
95	0.98785
96	0.9866
97	0.98535
98	0.9841
99	0.98286
100	0.98163
101	0.9804
102	0.97918
103	0.97797
104	0.97676
105	0.97556
106	0.97437
107	0.97318
108	0.97201
109	0.97084
110	0.96968
111	0.96853
112	0.96739
113	0.96626
114	0.96514
115	0.96403
116	0.96293
117	0.96184
118	0.96077
119	0.9597
120	0.95865
121	0.95761
122	0.95659
123	0.95558
124	0.95459
125	0.95361
126	0.95265
127	0.9517
128	0.95077
129	0.94986
130	0.94897
131	0.94809
132	0.94723
133	0.94637
134	0.81298
135	0.81558
136	0.81818
137	0.82078
138	0.82338
139	0.82598
140	0.82859
141	0.8312
142	0.83381
143	0.83642
144	0.83904
145	0.84165
146	0.84427
147	0.8469
148	0.84952
149	0.85215
150	0.85478
151	0.85741
152	0.86004
153	0.86267
154	0.86531
155	0.86795
156	0.87059
157	0.87323
158	0.87588
159	0.87852
160	0.88117
161	0.88382
162	0.88648
163	0.88913
164	0.89179
165	0.89445
166	0.89711
167	0.89977
168	0.90243
169	0.9051
170	0.90777
171	0.91044
172	0.91312
173	0.91579
174	0.91847
175	0.92115
176	0.92384
177	0.92653
178	0.92922
179	0.93192
180	0.93463
181	0.93734
182	0.94007
183	0.94279
184	0.43118
185	0.4312
186	0.43128
187	0.4314
188	0.43158
189	0.4318
190	0.43207
191	0.4324
192	0.43277
193	0.43319
194	0.43366
195	0.43418
196	0.43475
197	0.43536
198	0.43603
199	0.43674
200	0.4375
201	0.43831
202	0.43917
203	0.44007
204	0.44102
205	0.44202
206	0.44306
207	0.44415
208	0.44529
209	0.44647
210	0.44769
211	0.44896
212	0.45028
213	0.45163
214	0.45303
215	0.45448
216	0.45596
217	0.45749
218	0.45906
219	0.46067
220	0.46233
221	0.46402
222	0.46575
223	0.46752
224	0.46934
225	0.47119
226	0.47307
227	0.475
228	0.47696
229	0.47896
230	0.481
