	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98991	8.2403	21.123	5.9348e-004	0.	0.	21.123	8.2403	-0.98991	22.113	19.238
Bending (Inside)	-1.0084	-2.5447	-1.4111	0.	0.	0.	-1.0084	-1.4111	-2.5447	1.5363	1.3798
Bending (Outside)	0.99005	2.4694	1.4111	0.	0.	0.	2.4694	1.4111	0.99005	1.4793	1.3202
Membrane+Bending (Inside)	-1.9983	5.6957	19.712	5.9348e-004	0.	0.	19.712	5.6957	-1.9983	21.711	19.066
Membrane+Bending (Center)	-0.99909	8.2027	21.123	5.9348e-004	0.	0.	21.123	8.2027	-0.99909	22.122	19.249
Membrane+Bending (Outside)	1.4045e-004	10.71	22.534	5.9348e-004	0.	0.	22.534	10.71	1.4041e-004	22.534	19.523
Peak (Inside)	0.	-4.0503e-002	2.4546e-003	-9.8588e-004	0.	0.	2.4546e-003	2.3983e-005	-4.0527e-002	4.2981e-002	4.1819e-002
Peak (Center)	1.3568e-002	1.7516e-002	2.7828e-003	1.8321e-004	0.	0.	1.7525e-002	1.3559e-002	2.7828e-003	1.4742e-002	1.3213e-002
Peak (Outside)	-5.2921e-017	-3.2148e-002	-9.5473e-003	-6.1182e-004	0.	0.	1.164e-005	-9.5473e-003	-3.2159e-002	3.2171e-002	2.8615e-002
Total (Inside)	-1.9983	5.6552	19.715	-3.924e-004	0.	0.	19.715	5.6552	-1.9983	21.713	19.075
Total (Center)	-0.98552	8.2202	21.126	7.7669e-004	0.	0.	21.126	8.2202	-0.98552	22.112	19.238
Total (Outside)	1.4045e-004	10.678	22.525	-1.8339e-005	0.	0.	22.525	10.678	1.4045e-004	22.525	19.516

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.22	0.	19.238	1.3798	19.066	4.1819e-002	19.075
8.3333e-002	42.483	126.22	0.	19.238	1.3235	19.072	3.7428e-002	19.078
0.16667	42.567	126.22	0.	19.238	1.2673	19.078	3.3054e-002	19.082
0.25	42.65	126.22	0.	19.238	1.211	19.084	2.8703e-002	19.086
0.33333	42.733	126.22	0.	19.238	1.1548	19.09	2.4451e-002	19.09
0.41667	42.817	126.22	0.	19.238	1.0986	19.096	2.0416e-002	19.094
0.5	42.9	126.22	0.	19.238	1.0423	19.103	1.6829e-002	19.098
0.58333	42.983	126.22	0.	19.238	0.98608	19.11	1.4192e-002	19.102
0.66667	43.067	126.22	0.	19.238	0.92984	19.116	1.2956e-002	19.108
0.75	43.15	126.22	0.	19.238	0.87361	19.123	1.2128e-002	19.114
0.83333	43.233	126.22	0.	19.238	0.81737	19.131	1.1801e-002	19.12
0.91667	43.317	126.22	0.	19.238	0.76114	19.138	1.2022e-002	19.126
1.	43.4	126.22	0.	19.238	0.70491	19.146	1.2767e-002	19.133
1.0833	43.483	126.22	0.	19.238	0.64868	19.153	1.3959e-002	19.14
1.1667	43.567	126.22	0.	19.238	0.59246	19.161	1.4419e-002	19.147
1.25	43.65	126.22	0.	19.238	0.53624	19.169	1.4442e-002	19.156
1.3333	43.733	126.22	0.	19.238	0.48002	19.177	1.4521e-002	19.164
1.4167	43.817	126.22	0.	19.238	0.42381	19.186	1.4654e-002	19.173
1.5	43.9	126.22	0.	19.238	0.36762	19.194	1.484e-002	19.181
1.5833	43.983	126.22	0.	19.238	0.31144	19.203	1.5077e-002	19.19
1.6667	44.067	126.22	0.	19.238	0.25529	19.212	1.5364e-002	19.199
1.75	44.15	126.22	0.	19.238	0.19919	19.221	1.484e-002	19.209
1.8333	44.233	126.22	0.	19.238	0.14321	19.23	1.4297e-002	19.219
1.9167	44.317	126.22	0.	19.238	8.7575e-002	19.239	1.3754e-002	19.228
2.	44.4	126.22	0.	19.238	3.3998e-002	19.249	1.3213e-002	19.238
2.0833	44.483	126.22	0.	19.238	3.1131e-002	19.258	1.2674e-002	19.249
2.1667	44.567	126.22	0.	19.238	8.4317e-002	19.268	1.2136e-002	19.259
2.25	44.65	126.22	0.	19.238	0.13992	19.278	1.1601e-002	19.269
2.3333	44.733	126.22	0.	19.238	0.19588	19.288	1.0814e-002	19.28
2.4167	44.817	126.22	0.	19.238	0.25198	19.298	9.7997e-003	19.291
2.5	44.9	126.22	0.	19.238	0.30812	19.309	8.8262e-003	19.302
2.5833	44.983	126.22	0.	19.238	0.3643	19.319	7.9097e-003	19.312
2.6667	45.067	126.22	0.	19.238	0.4205	19.33	7.073e-003	19.324
2.75	45.15	126.22	0.	19.238	0.4767	19.341	6.3483e-003	19.335
2.8333	45.233	126.22	0.	19.238	0.53292	19.352	5.7787e-003	19.346
