	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98917	8.2404	21.108	1.0533e-003	0.	0.	21.108	8.2404	-0.98917	22.097	19.223
Bending (Inside)	-1.0037	-2.5438	-1.4394	0.	0.	0.	-1.0037	-1.4394	-2.5438	1.5401	1.3751
Bending (Outside)	0.98935	2.4685	1.4394	0.	0.	0.	2.4685	1.4394	0.98935	1.4792	1.3133
Membrane+Bending (Inside)	-1.9928	5.6966	19.669	1.0533e-003	0.	0.	19.669	5.6966	-1.9928	21.662	19.021
Membrane+Bending (Center)	-0.99633	8.2028	21.108	1.0533e-003	0.	0.	21.108	8.2028	-0.99633	22.105	19.233
Membrane+Bending (Outside)	1.8342e-004	10.709	22.548	1.0533e-003	0.	0.	22.548	10.709	1.8332e-004	22.547	19.535
Peak (Inside)	0.	-3.6791e-002	-3.3748e-002	-1.3249e-003	0.	0.	4.765e-005	-3.3748e-002	-3.6839e-002	3.6886e-002	3.5442e-002
Peak (Center)	1.1012e-002	1.7569e-002	1.2609e-002	4.8348e-004	0.	0.	1.7604e-002	1.2609e-002	1.0976e-002	6.6284e-003	5.9815e-003
Peak (Outside)	-4.2178e-017	-3.1872e-002	-2.4003e-002	-1.0133e-003	0.	0.	3.2182e-005	-2.4003e-002	-3.1904e-002	3.1936e-002	2.881e-002
Total (Inside)	-1.9928	5.6598	19.635	-2.7158e-004	0.	0.	19.635	5.6598	-1.9928	21.628	18.995
Total (Center)	-0.98531	8.2203	21.121	1.5368e-003	0.	0.	21.121	8.2203	-0.98531	22.106	19.233
Total (Outside)	1.8342e-004	10.677	22.524	4.0027e-005	0.	0.	22.524	10.677	1.8342e-004	22.523	19.515

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	125.72	0.	19.223	1.3751	19.021	3.5442e-002	18.995
8.3333e-002	42.483	125.72	0.	19.223	1.3191	19.028	3.1851e-002	19.005
0.16667	42.567	125.72	0.	19.223	1.2631	19.035	2.835e-002	19.016
0.25	42.65	125.72	0.	19.223	1.2071	19.042	2.4935e-002	19.026
0.33333	42.733	125.72	0.	19.223	1.1511	19.05	2.1606e-002	19.036
0.41667	42.817	125.72	0.	19.223	1.0951	19.057	1.8364e-002	19.046
0.5	42.9	125.72	0.	19.223	1.0391	19.065	1.5211e-002	19.057
0.58333	42.983	125.72	0.	19.223	0.98306	19.073	1.2239e-002	19.067
0.66667	43.067	125.72	0.	19.223	0.92707	19.081	1.0376e-002	19.076
0.75	43.15	125.72	0.	19.223	0.87107	19.089	8.5239e-003	19.085
0.83333	43.233	125.72	0.	19.223	0.81508	19.098	6.6812e-003	19.095
0.91667	43.317	125.72	0.	19.223	0.75908	19.106	4.8488e-003	19.104
1.	43.4	125.72	0.	19.223	0.70309	19.115	3.0312e-003	19.114
1.0833	43.483	125.72	0.	19.223	0.6471	19.124	1.2659e-003	19.124
1.1667	43.567	125.72	0.	19.223	0.59112	19.133	6.2207e-004	19.133
1.25	43.65	125.72	0.	19.223	0.53513	19.142	1.3691e-003	19.143
1.3333	43.733	125.72	0.	19.223	0.47916	19.152	2.2427e-003	19.152
1.4167	43.817	125.72	0.	19.223	0.42319	19.161	3.1393e-003	19.162
1.5	43.9	125.72	0.	19.223	0.36723	19.171	4.044e-003	19.172
1.5833	43.983	125.72	0.	19.223	0.31128	19.181	4.9527e-003	19.182
1.6667	44.067	125.72	0.	19.223	0.25536	19.191	5.8638e-003	19.192
1.75	44.15	125.72	0.	19.223	0.1995	19.201	6.1531e-003	19.202
1.8333	44.233	125.72	0.	19.223	0.14373	19.211	6.0903e-003	19.213
1.9167	44.317	125.72	0.	19.223	8.8272e-002	19.222	6.0331e-003	19.223
2.	44.4	125.72	0.	19.223	3.4612e-002	19.233	5.9815e-003	19.233
2.0833	44.483	125.72	0.	19.223	2.9614e-002	19.243	5.9351e-003	19.244
2.1667	44.567	125.72	0.	19.223	8.2637e-002	19.254	5.8939e-003	19.255
2.25	44.65	125.72	0.	19.223	0.13804	19.265	5.8575e-003	19.266
2.3333	44.733	125.72	0.	19.223	0.19378	19.277	5.3706e-003	19.277
2.4167	44.817	125.72	0.	19.223	0.24964	19.288	4.7204e-003	19.288
2.5	44.9	125.72	0.	19.223	0.30556	19.3	4.1583e-003	19.299
2.5833	44.983	125.72	0.	19.223	0.3615	19.312	3.7236e-003	19.31
2.6667	45.067	125.72	0.	19.223	0.41746	19.323	3.4636e-003	19.321
2.75	45.15	125.72	0.	19.223	0.47343	19.336	3.4173e-003	19.333
2.8333	45.233	125.72	0.	19.223	0.5294	19.348	3.5921e-003	19.344
2.9167	45.317	125.72	0.	19.223	0.58539	19.36	4.3227e-003	19.356
3.	45.4	125.72	0.	19.223	0.64137	19.373	5.4796e-003	19.367
3.0833	45.483	125.72	0.	19.223	0.69736	19.385	6.8426e-003	19.379
3.1667	45.567	125.72	0.	19.223	0.75335	19.398	8.3108e-003	19.391
3.25	45.65	125.72	0.	19.223	0.80934	19.411	9.837e-003	19.403
3.3333	45.733	125.72	0.	19.223	0.86534	19.424	1.1398e-002	19.415
3.4167	45.817	125.72	0.	19.223	0.92133	19.438	1.2981e-002	19.427
3.5	45.9	125.72	0.	19.223	0.97733	19.451	1.5134e-002	19.439
3.5833	45.983	125.72	0.	19.223	1.0333	19.465	1.739e-002	19.452
3.6667	46.067	125.72	0.	19.223	1.0893	19.478	1.9659e-002	19.464
3.75	46.15	125.72	0.	19.223	1.1453	19.492	2.1938e-002	19.476
3.8333	46.233	125.72	0.	19.223	1.2013	19.506	2.4224e-002	19.489
3.9167	46.317	125.72	0.	19.223	1.2573	19.52	2.6515e-002	19.502
4.	46.4	125.72	0.	19.223	1.3133	19.535	2.881e-002	19.515
