	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98981	8.2404	21.134	-1.1841e-005	0.	0.	21.134	8.2404	-0.98981	22.123	19.247
Bending (Inside)	-1.0053	-2.5446	-1.3885	0.	0.	0.	-1.0053	-1.3885	-2.5446	1.5393	1.388
Bending (Outside)	0.99002	2.4694	1.3885	0.	0.	0.	2.4694	1.3885	0.99002	1.4793	1.3258
Membrane+Bending (Inside)	-1.9951	5.6957	19.745	-1.1841e-005	0.	0.	19.745	5.6957	-1.9951	21.74	19.094
Membrane+Bending (Center)	-0.99745	8.2027	21.134	-1.1841e-005	0.	0.	21.134	8.2027	-0.99745	22.131	19.257
Membrane+Bending (Outside)	2.1389e-004	10.71	22.522	-1.1841e-005	0.	0.	22.522	10.71	2.1389e-004	22.522	19.512
Peak (Inside)	0.	-3.6758e-002	6.6406e-002	2.9161e-003	0.	0.	6.6406e-002	2.2991e-004	-3.6988e-002	0.10339	9.0705e-002
Peak (Center)	1.1941e-002	1.7741e-002	-5.0449e-003	1.6388e-006	0.	0.	1.7741e-002	1.1941e-002	-5.0449e-003	2.2786e-002	2.051e-002
Peak (Outside)	-7.1054e-018	-3.2044e-002	3.3398e-003	2.1651e-006	0.	0.	3.3398e-003	1.4629e-010	-3.2044e-002	3.5384e-002	3.3838e-002
Total (Inside)	-1.9951	5.659	19.811	2.9043e-003	0.	0.	19.811	5.659	-1.9951	21.807	19.163
Total (Center)	-0.98551	8.2205	21.129	-1.0202e-005	0.	0.	21.129	8.2205	-0.98551	22.114	19.241
Total (Outside)	2.1389e-004	10.678	22.525	-9.676e-006	0.	0.	22.525	10.678	2.1389e-004	22.525	19.516

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.72	0.	19.247	1.388	19.094	9.0705e-002	19.163
8.3333e-002	42.483	126.72	0.	19.247	1.3315	19.099	7.5498e-002	19.154
0.16667	42.567	126.72	0.	19.247	1.2749	19.104	6.043e-002	19.146
0.25	42.65	126.72	0.	19.247	1.2184	19.109	4.5637e-002	19.138
0.33333	42.733	126.72	0.	19.247	1.1619	19.115	3.1511e-002	19.13
0.41667	42.817	126.72	0.	19.247	1.1053	19.12	1.9554e-002	19.122
0.5	42.9	126.72	0.	19.247	1.0488	19.126	1.5844e-002	19.115
0.58333	42.983	126.72	0.	19.247	0.99228	19.132	1.7536e-002	19.116
0.66667	43.067	126.72	0.	19.247	0.93576	19.138	1.8145e-002	19.12
0.75	43.15	126.72	0.	19.247	0.87923	19.144	1.9202e-002	19.125
0.83333	43.233	126.72	0.	19.247	0.8227	19.15	2.0639e-002	19.13
0.91667	43.317	126.72	0.	19.247	0.76618	19.157	2.2383e-002	19.135
1.	43.4	126.72	0.	19.247	0.70966	19.163	2.4368e-002	19.14
1.0833	43.483	126.72	0.	19.247	0.65314	19.17	2.5578e-002	19.146
1.1667	43.567	126.72	0.	19.247	0.59662	19.177	2.5526e-002	19.154
1.25	43.65	126.72	0.	19.247	0.54011	19.185	2.5519e-002	19.161
1.3333	43.733	126.72	0.	19.247	0.4836	19.192	2.5557e-002	19.169
1.4167	43.817	126.72	0.	19.247	0.42709	19.199	2.5641e-002	19.177
1.5	43.9	126.72	0.	19.247	0.3706	19.207	2.5769e-002	19.185
1.5833	43.983	126.72	0.	19.247	0.31412	19.215	2.5941e-002	19.193
1.6667	44.067	126.72	0.	19.247	0.25766	19.223	2.5074e-002	19.202
1.75	44.15	126.72	0.	19.247	0.20125	19.231	2.3927e-002	19.212
1.8333	44.233	126.72	0.	19.247	0.14493	19.239	2.2783e-002	19.221
1.9167	44.317	126.72	0.	19.247	8.8883e-002	19.248	2.1644e-002	19.231
2.	44.4	126.72	0.	19.247	3.4463e-002	19.257	2.051e-002	19.241
2.0833	44.483	126.72	0.	19.247	2.9449e-002	19.265	1.9383e-002	19.251
2.1667	44.567	126.72	0.	19.247	8.33e-002	19.274	1.8262e-002	19.261
2.25	44.65	126.72	0.	19.247	0.13929	19.284	1.6832e-002	19.271
2.3333	44.733	126.72	0.	19.247	0.1956	19.293	1.5071e-002	19.281
2.4167	44.817	126.72	0.	19.247	0.252	19.302	1.332e-002	19.292
2.5	44.9	126.72	0.	19.247	0.30846	19.312	1.1583e-002	19.303
2.5833	44.983	126.72	0.	19.247	0.36494	19.322	9.8658e-003	19.314
2.6667	45.067	126.72	0.	19.247	0.42143	19.332	8.1825e-003	19.325
2.75	45.15	126.72	0.	19.247	0.47793	19.342	6.5588e-003	19.336
2.8333	45.233	126.72	0.	19.247	0.53444	19.352	5.0522e-003	19.347
2.9167	45.317	126.72	0.	19.247	0.59095	19.362	4.0976e-003	19.358
3.	45.4	126.72	0.	19.247	0.64747	19.373	4.3667e-003	19.37
3.0833	45.483	126.72	0.	19.247	0.70399	19.384	5.6885e-003	19.381
3.1667	45.567	126.72	0.	19.247	0.76051	19.395	7.5275e-003	19.393
3.25	45.65	126.72	0.	19.247	0.81704	19.406	9.5906e-003	19.405
3.3333	45.733	126.72	0.	19.247	0.87356	19.417	1.176e-002	19.417
3.4167	45.817	126.72	0.	19.247	0.93009	19.428	1.3987e-002	19.429
3.5	45.9	126.72	0.	19.247	0.98661	19.44	1.6729e-002	19.441
3.5833	45.983	126.72	0.	19.247	1.0431	19.452	1.9577e-002	19.453
3.6667	46.067	126.72	0.	19.247	1.0997	19.463	2.2428e-002	19.466
3.75	46.15	126.72	0.	19.247	1.1562	19.475	2.5279e-002	19.478
3.8333	46.233	126.72	0.	19.247	1.2127	19.488	2.8131e-002	19.491
3.9167	46.317	126.72	0.	19.247	1.2693	19.5	3.0985e-002	19.503
4.	46.4	126.72	0.	19.247	1.3258	19.512	3.3838e-002	19.516
