Node Number	Equivalent (von-Mises) Stress (MPa)
1	5.4043
2	5.3752
3	16.404
4	16.218
5	15.992
6	15.752
7	15.501
8	15.244
9	14.986
10	14.728
11	14.473
12	14.222
13	13.976
14	13.736
15	13.502
16	13.275
17	13.054
18	12.839
19	12.629
20	12.424
21	12.224
22	12.026
23	11.831
24	11.635
25	11.44
26	11.242
27	11.042
28	10.837
29	10.627
30	10.409
31	10.185
32	9.9515
33	9.7085
34	9.4552
35	9.1909
36	8.915
37	8.6268
38	8.3264
39	8.0137
40	7.689
41	7.3529
42	7.0067
43	6.6525
44	6.2932
45	5.932
46	5.5744
47	5.2262
48	4.8966
49	4.5965
50	4.3389
51	4.1393
52	4.0118
53	3.9693
54	4.0159
55	4.1513
56	4.3801
57	4.699
58	21.164
59	16.622
60	16.883
61	17.167
62	17.466
63	17.768
64	18.072
65	18.37
66	18.664
67	18.948
68	19.224
69	19.489
70	19.743
71	19.98
72	20.205
73	20.414
74	20.606
75	20.779
76	20.93
77	21.058
78	21.16
79	21.233
80	21.274
81	21.285
82	21.271
83	21.232
84	5.5606
85	21.09
86	20.997
87	20.884
88	20.75
89	20.596
90	20.42
91	20.221
92	19.999
93	19.753
94	19.482
95	19.187
96	18.866
97	18.521
98	18.149
99	17.751
100	17.325
101	16.871
102	16.391
103	15.884
104	15.351
105	14.792
106	14.208
107	13.6
108	12.971
109	12.327
110	11.67
111	11.005
112	10.338
113	9.6838
114	9.0525
115	8.4703
116	7.9652
117	7.5743
118	7.3413
119	7.3071
120	7.4986
121	7.9169
122	8.5328
123	9.2934
124	10.129
125	10.967
126	11.69
127	12.234
128	12.5
129	12.409
130	11.901
131	10.91
132	9.4278
133	7.4432
134	18.824
135	18.659
136	18.481
137	18.292
138	18.091
139	17.877
140	17.649
141	17.408
142	17.151
143	16.88
144	16.592
145	16.289
146	15.968
147	15.63
148	15.275
149	14.899
150	14.505
151	14.091
152	13.658
153	13.205
154	12.733
155	12.242
156	11.73
157	11.202
158	10.658
159	10.101
160	9.5319
161	8.9602
162	8.3937
163	7.8408
164	7.3225
165	6.8592
166	6.484
167	6.2361
168	6.1572
169	6.282
170	6.6239
171	7.1716
172	7.8877
173	8.7199
174	9.6019
175	10.462
176	11.212
177	11.784
178	12.076
179	12.021
180	11.567
181	10.7
182	9.2352
183	7.3417
184	19.516
185	19.516
186	19.515
187	19.513
188	19.511
189	19.509
190	19.507
191	19.506
192	19.506
193	19.506
194	19.507
195	19.507
196	19.509
197	19.51
198	19.511
199	19.513
200	19.514
201	19.515
202	19.516
203	19.517
204	19.518
205	19.518
206	19.518
207	19.518
208	19.518
209	19.518
210	19.517
211	19.516
212	19.515
213	19.514
214	19.513
215	19.511
216	19.51
217	19.508
218	19.506
219	19.504
220	19.503
221	19.501
222	19.499
223	19.497
224	19.495
225	19.493
226	19.491
227	19.489
228	19.487
229	19.485
230	19.483
231	19.481
232	19.479
233	19.477
234	19.476
235	19.474
236	19.473
237	19.471
238	19.47
239	19.469
240	19.468
241	19.468
242	19.467
243	19.467
244	19.467
245	19.467
246	19.467
247	19.468
248	19.469
249	19.47
250	19.472
251	19.474
252	19.476
253	19.479
254	19.482
255	19.486
256	19.49
257	19.495
258	19.5
259	19.506
260	19.513
261	19.52
262	19.527
263	19.536
264	19.545
265	19.555
266	19.565
267	19.577
268	19.589
269	19.602
270	19.616
271	19.63
272	19.646
273	19.663
274	19.68
275	19.698
276	19.718
277	19.738
278	19.759
279	19.781
280	19.804
281	19.827
282	19.852
283	19.877
284	19.904
285	19.931
286	19.958
287	19.987
288	20.016
289	20.046
290	20.076
291	20.106
292	20.137
293	20.168
294	20.2
295	20.231
296	20.263
297	20.294
298	20.324
299	20.354
300	20.384
301	20.413
302	20.441
303	20.467
304	20.492
305	20.516
306	20.537
307	20.556
308	20.574
309	20.588
310	20.599
311	20.607
312	20.612
313	20.611
314	20.607
315	20.598
316	20.582
317	20.562
318	20.534
319	20.498
320	20.456
321	20.404
322	20.343
323	20.272
324	20.19
325	20.095
326	19.988
327	19.866
328	19.728
329	19.575
330	19.414
331	19.237
332	19.042
333	19.163
