	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98658	8.2404	21.366	-1.6848e-002	0.	0.	21.366	8.2404	-0.98661	22.353	19.456
Bending (Inside)	-1.0058	-2.2472	-1.3409	0.	0.	0.	-1.0058	-1.3409	-2.2472	1.2414	1.1124
Bending (Outside)	0.9866	2.1808	1.3409	0.	0.	0.	2.1808	1.3409	0.9866	1.1942	1.0623
Membrane+Bending (Inside)	-1.9924	5.9931	20.025	-1.6848e-002	0.	0.	20.025	5.9932	-1.9924	22.018	19.306
Membrane+Bending (Center)	-0.99618	8.2071	21.366	-1.6848e-002	0.	0.	21.366	8.2072	-0.99622	22.362	19.467
Membrane+Bending (Outside)	1.6844e-005	10.421	22.707	-1.6848e-002	0.	0.	22.707	10.421	-1.0395e-005	22.707	19.687
Peak (Inside)	0.	-3.2272e-002	-2.5416e-002	1.6443e-002	0.	0.	6.902e-003	-2.5416e-002	-3.9174e-002	4.6076e-002	4.0968e-002
Peak (Center)	1.4445e-002	1.694e-002	1.2511e-002	-8.4072e-003	0.	0.	2.4192e-002	1.2511e-002	7.193e-003	1.6999e-002	1.5061e-002
Peak (Outside)	2.855e-017	-3.5554e-002	-2.44e-002	1.6578e-002	0.	0.	6.5301e-003	-2.44e-002	-4.2084e-002	4.8614e-002	4.2619e-002
Total (Inside)	-1.9924	5.9609	20.	-4.0496e-004	0.	0.	20.	5.9609	-1.9924	21.992	19.287
Total (Center)	-0.98174	8.2241	21.378	-2.5255e-002	0.	0.	21.378	8.2242	-0.98181	22.36	19.465
Total (Outside)	1.6844e-005	10.386	22.682	-2.7075e-004	0.	0.	22.682	10.386	1.6837e-005	22.682	19.667

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	81.72	0.	19.456	1.1124	19.306	4.0968e-002	19.287
8.3333e-002	42.483	81.72	0.	19.456	1.0671	19.311	3.7635e-002	19.294
0.16667	42.567	81.72	0.	19.456	1.0218	19.317	3.434e-002	19.3
0.25	42.65	81.72	0.	19.456	0.97653	19.323	3.1093e-002	19.307
0.33333	42.733	81.72	0.	19.456	0.93124	19.329	2.7911e-002	19.314
0.41667	42.817	81.72	0.	19.456	0.88594	19.335	2.482e-002	19.321
0.5	42.9	81.72	0.	19.456	0.84065	19.341	2.1859e-002	19.328
0.58333	42.983	81.72	0.	19.456	0.79536	19.347	1.9083e-002	19.335
0.66667	43.067	81.72	0.	19.456	0.75006	19.353	1.6873e-002	19.342
0.75	43.15	81.72	0.	19.456	0.70477	19.359	1.5021e-002	19.349
0.83333	43.233	81.72	0.	19.456	0.65948	19.366	1.3387e-002	19.356
0.91667	43.317	81.72	0.	19.456	0.6142	19.372	1.2062e-002	19.364
1.	43.4	81.72	0.	19.456	0.56891	19.379	1.1156e-002	19.371
1.0833	43.483	81.72	0.	19.456	0.52363	19.386	1.0782e-002	19.379
1.1667	43.567	81.72	0.	19.456	0.47835	19.393	1.0991e-002	19.386
1.25	43.65	81.72	0.	19.456	0.43307	19.4	1.1122e-002	19.394
1.3333	43.733	81.72	0.	19.456	0.3878	19.407	1.1446e-002	19.402
1.4167	43.817	81.72	0.	19.456	0.34255	19.414	1.1947e-002	19.409
1.5	43.9	81.72	0.	19.456	0.2973	19.421	1.2603e-002	19.417
1.5833	43.983	81.72	0.	19.456	0.25207	19.428	1.3392e-002	19.425
1.6667	44.067	81.72	0.	19.456	0.20688	19.436	1.429e-002	19.433
1.75	44.15	81.72	0.	19.456	0.16175	19.444	1.5127e-002	19.441
1.8333	44.233	81.72	0.	19.456	0.11675	19.451	1.5091e-002	19.449
1.9167	44.317	81.72	0.	19.456	7.2122e-002	19.459	1.5069e-002	19.457
2.	44.4	81.72	0.	19.456	2.9633e-002	19.467	1.5061e-002	19.465
2.0833	44.483	81.72	0.	19.456	2.5674e-002	19.475	1.5068e-002	19.473
2.1667	44.567	81.72	0.	19.456	6.7414e-002	19.483	1.5092e-002	19.481
2.25	44.65	81.72	0.	19.456	0.11196	19.491	1.5133e-002	19.49
2.3333	44.733	81.72	0.	19.456	0.15694	19.5	1.484e-002	19.498
2.4167	44.817	81.72	0.	19.456	0.20206	19.508	1.3664e-002	19.506
2.5	44.9	81.72	0.	19.456	0.24725	19.516	1.2504e-002	19.514
2.5833	44.983	81.72	0.	19.456	0.29247	19.525	1.1367e-002	19.523
2.6667	45.067	81.72	0.	19.456	0.33772	19.534	1.0259e-002	19.531
2.75	45.15	81.72	0.	19.456	0.38298	19.543	9.1909e-003	19.54
2.8333	45.233	81.72	0.	19.456	0.42824	19.552	8.1773e-003	19.548
2.9167	45.317	81.72	0.	19.456	0.47352	19.561	6.87e-003	19.557
3.	45.4	81.72	0.	19.456	0.5188	19.57	5.7776e-003	19.565
3.0833	45.483	81.72	0.	19.456	0.56408	19.579	5.8544e-003	19.573
3.1667	45.567	81.72	0.	19.456	0.60936	19.588	7.0602e-003	19.582
3.25	45.65	81.72	0.	19.456	0.65465	19.598	8.9484e-003	19.59
3.3333	45.733	81.72	0.	19.456	0.69994	19.607	1.1177e-002	19.599
3.4167	45.817	81.72	0.	19.456	0.74523	19.617	1.3579e-002	19.608
3.5	45.9	81.72	0.	19.456	0.79052	19.626	1.7001e-002	19.616
3.5833	45.983	81.72	0.	19.456	0.83582	19.636	2.1192e-002	19.624
3.6667	46.067	81.72	0.	19.456	0.88111	19.646	2.5436e-002	19.633
3.75	46.15	81.72	0.	19.456	0.92641	19.656	2.9709e-002	19.641
3.8333	46.233	81.72	0.	19.456	0.9717	19.666	3.4e-002	19.649
3.9167	46.317	81.72	0.	19.456	1.017	19.676	3.8305e-002	19.658
4.	46.4	81.72	0.	19.456	1.0623	19.687	4.2619e-002	19.667
