Node Number	Temperature (K)
1	800.52
2	800.47
3	799.57
4	799.6
5	799.62
6	799.65
7	799.67
8	799.69
9	799.71
10	799.73
11	799.74
12	799.76
13	799.78
14	799.79
15	799.81
16	799.82
17	799.83
18	799.84
19	799.86
20	799.87
21	799.88
22	799.89
23	799.9
24	799.91
25	799.91
26	799.92
27	799.93
28	799.94
29	799.94
30	799.95
31	799.96
32	799.96
33	799.97
34	799.98
35	799.98
36	799.99
37	800.
38	800.01
39	800.02
40	800.03
41	800.05
42	800.06
43	800.08
44	800.11
45	800.13
46	800.16
47	800.19
48	800.23
49	800.26
50	800.3
51	800.35
52	800.39
53	800.43
54	800.47
55	800.51
56	800.53
57	800.54
58	799.11
59	799.54
60	799.51
61	799.48
62	799.45
63	799.42
64	799.39
65	799.36
66	799.33
67	799.31
68	799.29
69	799.27
70	799.25
71	799.23
72	799.22
73	799.2
74	799.19
75	799.18
76	799.17
77	799.16
78	799.15
79	799.14
80	799.14
81	799.13
82	799.12
83	799.12
84	799.12
85	798.5
86	799.11
87	799.11
88	799.1
89	799.1
90	799.1
91	799.1
92	799.09
93	799.09
94	799.09
95	799.08
96	799.08
97	799.08
98	799.08
99	799.07
100	799.07
101	799.07
102	799.07
103	799.06
104	799.06
105	799.06
106	799.06
107	799.05
108	799.05
109	799.05
110	799.05
111	799.04
112	799.04
113	799.04
114	799.03
115	799.03
116	799.03
117	799.02
118	799.02
119	799.02
120	799.01
121	799.01
122	799.
123	799.
124	799.
125	798.99
126	798.99
127	798.98
128	798.98
129	798.97
130	798.96
131	798.96
132	798.95
133	798.94
134	798.94
135	798.93
136	798.92
137	798.91
138	798.9
139	798.89
140	798.88
141	798.87
142	798.86
143	798.84
144	798.83
145	798.82
146	798.8
147	798.78
148	798.77
149	798.75
150	798.73
151	798.71
152	798.69
153	798.67
154	798.64
155	798.62
156	798.6
157	798.57
158	798.55
159	798.52
160	798.95
161	798.95
162	798.95
163	798.95
164	798.95
165	798.95
166	798.95
167	798.95
168	798.95
169	798.95
170	798.95
171	798.95
172	798.95
173	798.95
174	798.95
175	798.95
176	798.95
177	798.95
178	798.95
179	798.95
180	798.95
181	798.95
182	798.95
183	798.95
184	798.95
185	798.95
186	798.95
187	798.94
188	798.94
189	798.94
190	798.94
191	798.94
192	798.94
193	798.94
194	798.94
195	798.93
196	798.93
197	798.93
198	798.93
199	798.93
200	798.92
201	798.92
202	798.92
203	798.92
204	798.91
205	798.91
206	798.9
207	798.9
208	798.89
209	798.89
210	798.88
211	798.88
212	798.87
213	798.86
214	798.85
215	798.85
216	798.84
217	798.83
218	798.82
219	798.8
220	798.79
221	798.78
222	798.76
223	798.75
224	798.73
225	798.71
226	798.7
227	798.68
228	798.66
229	798.64
230	798.62
231	798.59
232	798.57
233	798.55
234	798.52
235	799.04
236	799.04
237	799.04
238	799.04
239	799.04
240	799.04
241	799.04
242	799.04
243	799.04
244	799.03
245	799.03
246	799.03
247	799.03
248	799.03
249	799.03
250	799.02
251	799.02
252	799.02
253	799.02
254	799.02
255	799.02
256	799.01
257	799.01
258	799.01
259	799.01
260	799.01
261	799.01
262	799.
263	799.
264	799.
265	799.
266	799.
267	799.
268	799.
269	799.
270	799.
271	798.99
272	798.99
273	798.99
274	798.99
275	798.99
276	798.99
277	798.99
278	798.99
279	798.99
280	798.99
281	798.99
282	798.99
283	798.99
284	798.98
285	798.98
286	798.98
287	798.98
288	798.98
289	798.98
290	798.98
291	798.98
292	798.98
293	798.98
294	798.98
295	798.98
296	798.98
297	798.98
298	798.98
299	798.98
300	798.98
301	798.98
302	798.98
303	798.98
304	798.98
305	798.98
306	798.97
307	798.97
308	798.97
309	798.97
310	798.97
311	798.97
312	798.97
313	798.97
314	798.97
315	798.97
316	798.97
317	798.97
318	798.97
319	798.97
320	798.97
321	798.97
322	798.97
323	798.97
324	798.97
325	798.97
326	798.97
327	798.97
328	798.97
329	798.97
330	798.97
331	798.97
332	798.97
333	798.97
334	798.97
335	798.97
336	798.97
337	798.97
338	798.97
339	798.97
340	798.97
341	798.96
342	798.96
343	798.96
344	798.96
345	798.96
346	798.96
347	798.96
348	798.96
349	798.96
350	798.96
351	798.96
352	798.96
353	798.96
354	798.96
355	798.96
356	798.96
357	798.96
358	798.96
359	798.96
360	798.96
361	798.96
362	798.96
363	798.96
364	798.96
365	798.96
366	798.96
367	798.96
368	798.96
369	798.96
370	798.96
371	798.96
372	798.96
373	798.96
374	798.96
375	798.96
376	798.96
377	798.96
378	798.96
379	798.96
380	798.96
381	798.96
382	798.96
383	798.96
384	798.96
385	800.
386	799.18
387	799.32
388	799.48
389	799.63
390	799.77
391	799.9
392	799.98
393	800.03
394	800.06
395	800.08
396	800.07
397	800.08
398	800.08
399	800.07
400	800.07
401	800.07
402	800.06
403	800.06
404	800.06
405	800.05
406	800.05
407	800.05
408	800.05
409	800.04
410	800.04
411	800.04
412	800.04
413	800.03
414	800.03
415	800.03
416	800.03
417	800.03
418	800.03
419	800.02
420	800.02
421	800.02
422	800.02
423	800.02
424	800.02
425	800.02
426	800.02
427	800.02
428	800.01
429	800.01
430	800.01
431	800.01
432	800.01
433	800.01
434	800.01
435	800.01
436	800.01
437	800.01
438	800.01
439	800.01
440	800.01
441	800.01
442	800.01
443	800.
444	800.
445	800.
446	800.
447	800.
448	800.
449	800.
450	800.
451	800.
452	800.
453	800.
454	800.
455	800.
456	800.
457	800.
458	800.
459	800.
460	800.
461	800.
462	800.
463	800.
464	800.
465	800.
466	800.
467	800.
468	800.
469	799.99
470	799.99
471	799.99
472	799.99
473	799.99
474	799.99
475	799.99
476	799.99
477	799.99
478	799.99
479	799.99
480	799.99
481	799.99
482	799.99
483	799.99
484	799.99
485	799.99
486	799.99
487	799.99
488	799.99
489	799.99
490	799.99
491	799.99
492	799.99
493	799.99
494	799.99
495	799.99
496	799.99
497	799.99
498	799.99
499	799.99
500	799.99
501	799.99
502	799.99
503	799.99
504	799.99
505	799.98
506	799.98
507	799.98
508	799.98
509	799.98
510	799.98
511	799.98
512	799.98
