Node Number	Total Deformation (mm)
1	1.1778
2	1.1808
3	1.054
4	1.0553
5	1.0568
6	1.0582
7	1.0597
8	1.0613
9	1.0629
10	1.0645
11	1.0662
12	1.0679
13	1.0696
14	1.0714
15	1.0732
16	1.0751
17	1.077
18	1.0789
19	1.0809
20	1.0829
21	1.085
22	1.087
23	1.0891
24	1.0913
25	1.0935
26	1.0957
27	1.0979
28	1.1001
29	1.1024
30	1.1048
31	1.1071
32	1.1095
33	1.1119
34	1.1143
35	1.1167
36	1.1192
37	1.1217
38	1.1242
39	1.1267
40	1.1293
41	1.1319
42	1.1345
43	1.1371
44	1.1397
45	1.1423
46	1.145
47	1.1477
48	1.1504
49	1.1531
50	1.1558
51	1.1585
52	1.1612
53	1.164
54	1.1667
55	1.1695
56	1.1722
57	1.175
58	1.002
59	1.0523
60	1.0505
61	1.0485
62	1.0464
63	1.0443
64	1.0422
65	1.0401
66	1.0379
67	1.0358
68	1.0336
69	1.0315
70	1.0294
71	1.0273
72	1.0252
73	1.0231
74	1.021
75	1.019
76	1.0169
77	1.0149
78	1.0128
79	1.0109
80	1.009
81	1.0073
82	1.0058
83	1.0045
84	1.0032
85	0.94553
86	1.0012
87	1.0003
88	0.99942
89	0.99855
90	0.99768
91	0.99681
92	0.99595
93	0.99509
94	0.99423
95	0.99337
96	0.99251
97	0.99166
98	0.99081
99	0.98996
100	0.98912
101	0.98828
102	0.98744
103	0.9866
104	0.98576
105	0.98493
106	0.9841
107	0.98327
108	0.98245
109	0.98163
110	0.98081
111	0.97999
112	0.97918
113	0.97837
114	0.97756
115	0.97676
116	0.97596
117	0.97516
118	0.97437
119	0.97358
120	0.97279
121	0.97201
122	0.97123
123	0.97046
124	0.96968
125	0.96892
126	0.96815
127	0.96739
128	0.96664
129	0.96589
130	0.96514
131	0.9644
132	0.96367
133	0.96293
134	0.96221
135	0.96149
136	0.96077
137	0.96006
138	0.95935
139	0.95865
140	0.95796
141	0.95727
142	0.95659
143	0.95592
144	0.95525
145	0.95459
146	0.95393
147	0.95328
148	0.95265
149	0.95201
150	0.95139
151	0.95077
152	0.95016
153	0.94956
154	0.94897
155	0.94838
156	0.9478
157	0.94722
158	0.94666
159	0.94609
160	0.81299
161	0.81471
162	0.81644
163	0.81818
164	0.81991
165	0.82164
166	0.82338
167	0.82511
168	0.82685
169	0.82859
170	0.83033
171	0.83207
172	0.83381
173	0.83555
174	0.83729
175	0.83904
176	0.84078
177	0.84253
178	0.84427
179	0.84602
180	0.84777
181	0.84952
182	0.85127
183	0.85302
184	0.85478
185	0.85653
186	0.85828
187	0.86004
188	0.86179
189	0.86355
190	0.86531
191	0.86707
192	0.86883
193	0.87059
194	0.87235
195	0.87411
196	0.87588
197	0.87764
198	0.87941
199	0.88117
200	0.88294
201	0.88471
202	0.88648
203	0.88825
204	0.89002
205	0.89179
206	0.89356
207	0.89533
208	0.89711
209	0.89888
210	0.90066
211	0.90243
212	0.90421
213	0.90599
214	0.90777
215	0.90955
216	0.91133
217	0.91311
218	0.9149
219	0.91668
220	0.91847
221	0.92026
222	0.92205
223	0.92384
224	0.92563
225	0.92743
226	0.92922
227	0.93102
228	0.93283
229	0.93463
230	0.93644
