Node Number	Equivalent (von-Mises) Stress (MPa)
1	5.3733
2	5.3821
3	16.404
4	16.218
5	15.995
6	15.753
7	15.501
8	15.244
9	14.986
10	14.728
11	14.473
12	14.222
13	13.976
14	13.736
15	13.502
16	13.275
17	13.054
18	12.839
19	12.629
20	12.425
21	12.224
22	12.026
23	11.831
24	11.635
25	11.44
26	11.243
27	11.042
28	10.837
29	10.627
30	10.41
31	10.185
32	9.9513
33	9.7087
34	9.4557
35	9.1913
36	8.9152
37	8.6267
38	8.3263
39	8.0137
40	7.6889
41	7.353
42	7.0071
43	6.6528
44	6.2933
45	5.9323
46	5.5744
47	5.2263
48	4.8967
49	4.5963
50	4.3382
51	4.1384
52	4.0116
53	3.9686
54	4.0156
55	4.1499
56	4.3761
57	4.6888
58	21.167
59	16.623
60	16.884
61	17.168
62	17.466
63	17.77
64	18.072
65	18.371
66	18.663
67	18.948
68	19.223
69	19.487
70	19.74
71	19.981
72	20.205
73	20.416
74	20.607
75	20.782
76	20.934
77	21.06
78	21.16
79	21.231
80	21.273
81	21.287
82	21.279
83	21.255
84	21.219
85	5.6455
86	21.119
87	21.064
88	21.
89	20.927
90	20.845
91	20.753
92	20.653
93	20.543
94	20.423
95	20.293
96	20.153
97	20.002
98	19.841
99	19.669
100	19.487
101	19.293
102	19.088
103	18.871
104	18.642
105	18.403
106	18.152
107	17.89
108	17.615
109	17.328
110	17.029
111	16.718
112	16.395
113	16.062
114	15.716
115	15.358
116	14.987
117	14.606
118	14.216
119	13.813
120	13.401
121	12.981
122	12.553
123	12.119
124	11.679
125	11.235
126	10.789
127	10.344
128	9.9046
129	9.4749
130	9.0576
131	8.6616
132	8.2951
133	7.9683
134	7.6926
135	7.4798
136	7.3423
137	7.293
138	7.3425
139	7.4947
140	7.7488
141	8.0974
142	8.5283
143	9.0248
144	9.5665
145	10.131
146	10.693
147	11.226
148	11.703
149	12.1
150	12.384
151	12.534
152	12.525
153	12.338
154	11.954
155	11.363
156	10.554
157	9.5166
158	8.2283
159	6.7404
160	18.825
161	18.716
162	18.602
163	18.482
164	18.358
165	18.228
166	18.093
167	17.951
168	17.804
169	17.651
170	17.492
171	17.326
172	17.154
173	16.975
174	16.789
175	16.596
176	16.395
177	16.187
178	15.972
179	15.749
180	15.518
181	15.278
182	15.03
183	14.774
184	14.509
185	14.236
186	13.954
187	13.663
188	13.363
189	13.055
190	12.738
191	12.412
192	12.078
193	11.735
194	11.384
195	11.026
196	10.662
197	10.292
198	9.9161
199	9.5367
200	9.1556
201	8.7748
202	8.3974
203	8.0266
204	7.6675
205	7.3254
206	7.0082
207	6.7244
208	6.4852
209	6.3025
210	6.1884
211	6.1556
212	6.2136
213	6.3681
214	6.6188
215	6.9664
216	7.3918
217	7.8823
218	8.429
219	9.0091
220	9.6015
221	10.184
222	10.732
223	11.223
224	11.628
225	11.93
226	12.101
227	12.115
228	11.977
229	11.606
230	11.094
231	10.336
232	9.3482
233	8.1361
234	6.7519
235	19.516
236	19.516
237	19.515
238	19.513
239	19.511
240	19.509
241	19.507
242	19.506
243	19.506
244	19.506
245	19.507
246	19.507
247	19.509
248	19.51
249	19.511
250	19.513
251	19.514
252	19.515
253	19.516
254	19.517
255	19.518
256	19.518
257	19.518
258	19.518
259	19.518
260	19.517
261	19.517
262	19.516
263	19.515
264	19.514
265	19.513
266	19.511
267	19.51
268	19.508
269	19.506
270	19.504
271	19.503
272	19.501
273	19.499
274	19.497
275	19.495
276	19.493
277	19.49
278	19.489
279	19.487
280	19.485
281	19.483
282	19.481
283	19.479
284	19.477
285	19.476
286	19.474
287	19.473
288	19.471
289	19.47
290	19.469
291	19.468
292	19.468
293	19.467
294	19.467
295	19.467
296	19.467
297	19.467
298	19.468
299	19.469
300	19.47
301	19.472
302	19.474
303	19.476
304	19.479
305	19.482
306	19.486
307	19.49
308	19.495
309	19.5
310	19.506
311	19.512
312	19.52
313	19.527
314	19.536
315	19.545
316	19.555
317	19.565
318	19.577
319	19.589
320	19.602
321	19.616
322	19.63
323	19.646
324	19.662
325	19.68
326	19.698
327	19.717
328	19.738
329	19.759
330	19.781
331	19.804
332	19.827
333	19.852
334	19.877
335	19.904
336	19.931
337	19.958
338	19.987
339	20.016
340	20.046
341	20.076
342	20.106
343	20.137
344	20.169
345	20.2
346	20.231
347	20.263
348	20.294
349	20.324
350	20.354
351	20.384
352	20.413
353	20.439
354	20.466
355	20.493
356	20.515
357	20.537
358	20.556
359	20.574
360	20.588
361	20.599
362	20.607
363	20.611
364	20.611
365	20.607
366	20.597
367	20.582
368	20.561
369	20.534
370	20.499
371	20.456
372	20.405
373	20.343
374	20.272
375	20.19
376	20.096
377	19.988
378	19.866
379	19.729
380	19.579
381	19.427
382	19.28
383	19.134
384	18.986
385	19.163
386	19.431
387	19.347
388	19.266
389	19.195
390	19.143
391	19.112
392	15.03
393	19.075
394	18.996
395	18.933
396	18.951
397	18.929
398	18.932
399	18.939
400	18.956
401	18.957
402	18.964
403	18.982
404	18.983
405	18.988
406	19.003
407	19.003
408	19.007
409	19.019
410	19.018
411	19.02
412	19.029
413	19.028
414	19.029
415	19.036
416	19.033
417	19.034
418	19.039
419	19.036
420	19.036
421	19.04
422	19.037
423	19.035
424	19.038
425	19.035
426	19.034
427	19.036
428	19.033
429	19.031
430	19.032
431	19.029
432	19.028
433	19.029
434	19.026
435	19.025
436	19.025
437	19.023
438	19.022
439	19.023
440	19.021
441	19.02
442	19.021
443	19.02
444	19.02
445	19.021
446	19.021
447	19.021
448	19.023
449	19.023
450	19.024
451	19.027
452	19.028
453	19.03
454	19.034
455	19.036
456	19.039
457	19.044
458	19.047
459	19.052
460	19.058
461	19.062
462	19.068
463	19.075
464	19.081
465	19.088
466	19.097
467	19.105
468	19.113
469	19.123
470	19.132
471	19.142
472	19.154
473	19.165
474	19.176
475	19.189
476	19.201
477	19.215
478	19.229
479	19.243
480	19.257
481	19.273
482	19.287
483	19.303
484	19.319
485	19.335
486	19.351
487	19.368
488	19.383
489	19.399
490	19.417
491	19.432
492	19.447
493	19.464
494	19.478
495	19.492
496	19.507
497	19.519
498	19.531
499	19.543
500	19.552
501	19.56
502	19.568
503	19.572
504	19.575
505	19.577
506	19.576
507	19.572
508	19.567
509	19.557
510	19.545
511	19.53
512	19.51
513	19.486
514	19.459
515	19.427
516	19.389
517	19.347
518	19.299
519	19.244
520	19.184
521	19.116
522	19.04
523	18.958
524	18.866
525	18.765
526	18.656
527	18.535
528	18.403
529	18.261
530	18.106
531	17.938
532	17.757
533	17.561
534	17.35
535	17.123
536	16.879
537	16.619
538	16.352
539	16.085
540	15.832
541	15.602
542	15.403
543	15.219
544	82.283
545	14.864
546	14.694
547	14.521
548	14.344
549	14.163
550	13.978
551	13.79
552	13.599
553	13.405
554	13.208
555	13.009
556	12.807
557	12.604
558	12.399
559	12.194
560	11.989
561	11.785
562	11.582
563	11.381
564	11.185
565	10.993
566	10.807
567	10.628
568	10.46
569	10.302
570	10.158
571	10.028
572	9.9171
573	9.8257
574	9.7571
575	9.7137
576	9.6976
577	9.7115
578	9.7575
579	9.8379
580	9.9537
581	10.107
582	10.298
583	10.528
584	10.796
585	11.102
586	11.445
587	11.826
588	12.242
589	12.692
590	13.174
591	13.688
592	14.23
593	14.8
594	15.396
595	16.017
596	16.662
597	17.33
598	18.022
599	18.741
600	19.489
601	20.276
602	21.113
603	22.022
604	23.031
605	24.199
606	25.619
607	27.453
608	30.205
609	34.636
610	47.662
611	14.384
612	14.149
613	13.904
614	13.653
615	13.402
616	13.134
617	12.872
618	12.598
619	12.317
620	12.038
621	11.744
622	11.45
623	11.156
624	10.847
625	10.546
626	10.235
627	9.9225
628	9.6154
629	9.2954
630	8.9888
631	8.678
632	8.3699
633	8.0768
634	7.7808
635	7.5018
636	7.2437
637	6.9941
638	6.7799
639	6.5895
640	6.4345
641	6.326
642	6.2545
643	6.2436
644	6.2839
645	6.3815
646	6.5427
647	6.7539
648	7.0274
649	7.3561
650	7.7297
651	8.156
652	8.622
653	9.1248
654	9.665
655	10.236
656	10.837
657	11.464
658	12.113
659	12.784
660	13.469
661	14.176
662	14.901
663	15.643
664	16.401
665	17.176
666	17.97
667	18.786
668	19.634
669	20.526
670	21.485
671	22.54
672	23.753
673	25.217
674	27.094
675	29.914
676	34.224
677	47.018
678	19.176
679	19.381
680	19.488
681	19.596
682	19.603
683	19.629
684	19.63
685	19.569
686	19.477
687	19.416
688	19.275
689	19.119
690	18.967
691	18.821
692	18.609
693	18.377
694	18.118
695	17.837
696	17.538
697	17.217
698	16.863
699	16.495
700	16.114
701	15.747
702	15.405
703	15.067
704	14.736
705	6.0647
706	18.984
707	18.76
708	18.703
709	18.744
710	18.595
711	18.555
712	18.539
713	18.318
714	18.259
715	18.179
716	17.865
717	17.808
718	17.686
719	17.302
720	17.279
721	17.042
722	16.633
723	16.62
724	16.087
725	15.942
726	15.856
727	15.289
728	15.236
729	14.992
730	14.423
731	14.397
732	14.063
733	13.523
734	13.487
735	13.131
736	12.554
737	12.757
738	12.09
739	11.706
740	11.636
741	10.985
742	10.606
743	10.686
744	10.109
745	10.169
746	9.626
747	9.1281
748	9.6015
749	8.8039
750	8.8368
751	8.6733
752	8.3943
753	7.5094
754	8.4401
755	6.7992
756	6.9636
757	7.9182
758	5.5912
759	6.2376
760	6.0103
761	3.734
762	6.7506
763	7.4251
764	5.176
765	5.8299
766	5.3838
767	5.7374
768	4.8524
769	4.773
770	5.6127
771	4.902
772	26.381
773	15.058
774	23.239
775	28.881
776	1.1842
777	19.327
778	12.003
779	10.424
780	6.4
781	10.619
782	10.113
783	4.8969
784	6.5883
785	6.7843
786	6.385
787	6.1636
