	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.1567	8.2361	6.1112	3.247	0.	0.	9.4998	6.1112	-0.10704	9.6068	8.4392
Bending (Inside)	-3.3234	20.308	4.2426	0.	0.	0.	20.308	4.2426	-3.3234	23.632	20.902
Bending (Outside)	-1.1734	-19.708	-4.2426	0.	0.	0.	-1.1734	-4.2426	-19.708	18.534	17.206
Membrane+Bending (Inside)	-2.1667	28.545	10.354	3.247	0.	0.	28.884	10.354	-2.5063	31.39	27.332
Membrane+Bending (Center)	-1.0917	8.5365	6.1112	3.247	0.	0.	9.5292	6.1112	-2.0844	11.614	10.337
Membrane+Bending (Outside)	-1.6711e-002	-11.472	1.8685	3.247	0.	0.	1.8685	0.83969	-12.328	14.196	13.711
Peak (Inside)	0.	1.2778	-0.67525	-3.2754	0.	0.	3.976	-0.67525	-2.6982	6.6743	5.9276
Peak (Center)	3.4832	-1.5358	-3.9457e-002	0.70983	0.	0.	3.5816	-3.9457e-002	-1.6343	5.2159	4.6293
Peak (Outside)	-1.0914e-017	1.0801	-0.12552	-3.2336	0.	0.	3.8184	-0.12552	-2.7384	6.5568	5.7172
Total (Inside)	-2.1667	29.822	9.6785	-2.8362e-002	0.	0.	29.822	9.6785	-2.1668	31.989	28.012
Total (Center)	2.3914	7.0007	6.0717	3.9569	0.	0.	9.2752	6.0717	0.11697	9.1582	8.0496
Total (Outside)	-1.6711e-002	-10.391	1.743	1.3434e-002	0.	0.	1.743	-1.6693e-002	-10.391	12.135	11.357

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	9.4998	20.308	28.884	3.976	29.822
8.3333e-002	42.483	37.57	0.	9.4998	19.475	28.06	3.2981	29.357
0.16667	42.567	37.57	0.	9.4998	18.641	27.237	2.7362	28.954
0.25	42.65	37.57	0.	9.4998	17.807	26.414	2.4527	28.649
0.33333	42.733	37.57	0.	9.4998	16.974	25.592	2.4258	28.004
0.41667	42.817	37.57	0.	9.4998	16.14	24.771	2.7395	27.026
0.5	42.9	37.57	0.	9.4998	15.306	23.95	3.4125	26.145
0.58333	42.983	37.57	0.	9.4998	14.473	23.131	4.1449	25.361
0.66667	43.067	37.57	0.	9.4998	13.639	22.312	4.3325	24.164
0.75	43.15	37.57	0.	9.4998	12.805	21.495	4.5757	23.028
0.83333	43.233	37.57	0.	9.4998	11.972	20.679	4.8685	21.976
0.91667	43.317	37.57	0.	9.4998	11.138	19.864	5.0473	20.947
1.	43.4	37.57	0.	9.4998	10.304	19.05	5.0164	19.867
1.0833	43.483	37.57	0.	9.4998	9.4708	18.239	5.0305	18.835
1.1667	43.567	37.57	0.	9.4998	8.6371	17.429	5.0835	17.852
1.25	43.65	37.57	0.	9.4998	7.8034	16.621	5.0044	16.901
1.3333	43.733	37.57	0.	9.4998	6.9698	15.816	4.8755	15.937
1.4167	43.817	37.57	0.	9.4998	6.1361	15.014	4.7713	14.999
1.5	43.9	37.57	0.	9.4998	5.3024	14.215	4.6899	14.09
1.5833	43.983	37.57	0.	9.4998	4.4688	13.42	4.4963	13.234
1.6667	44.067	37.57	0.	9.4998	3.6351	12.63	4.3104	12.396
1.75	44.15	37.57	0.	9.4998	2.8014	11.844	4.1435	11.574
1.8333	44.233	37.57	0.	9.4998	1.9678	11.065	3.9951	10.772
1.9167	44.317	37.57	0.	9.4998	1.1341	10.293	3.7824	10.017
2.	44.4	37.57	0.	9.4998	0.30042	9.5292	3.5816	9.2752
2.0833	44.483	37.57	0.	9.4998	-0.17678	8.7761	3.3973	8.5461
2.1667	44.567	37.57	0.	9.4998	-0.35355	8.0357	3.2277	7.8337
2.25	44.65	37.57	0.	9.4998	-0.53033	7.3107	3.031	7.1579
2.3333	44.733	37.57	0.	9.4998	-0.7071	6.6044	2.8509	6.4938
2.4167	44.817	37.57	0.	9.4998	-0.88388	5.9212	2.6904	5.8441
2.5	44.9	37.57	0.	9.4998	-1.0607	5.266	2.549	5.2154
2.5833	44.983	37.57	0.	9.4998	-1.2374	4.8737	2.4166	4.8651
2.6667	45.067	37.57	0.	9.4998	-1.4142	4.6969	2.3157	4.6951
2.75	45.15	37.57	0.	9.4998	-1.591	4.5202	2.2524	4.5255
2.8333	45.233	37.57	0.	9.4998	-1.7678	4.3434	2.2282	4.3548
2.9167	45.317	37.57	0.	9.4998	-1.7557	4.1666	2.2407	4.1825
3.	45.4	37.57	0.	9.4998	-1.7109	3.9898	2.2904	4.0102
3.0833	45.483	37.57	0.	9.4998	-1.6661	3.8131	2.3732	3.8378
3.1667	45.567	37.57	0.	9.4998	-1.6213	3.6363	2.4811	3.6617
3.25	45.65	37.57	0.	9.4998	-1.5765	3.4595	2.6036	3.4836
3.3333	45.733	37.57	0.	9.4998	-1.5317	3.2827	2.737	3.3051
3.4167	45.817	37.57	0.	9.4998	-1.4869	3.106	2.8779	3.1254
3.5	45.9	37.57	0.	9.4998	-1.4421	2.9292	3.0175	2.9363
3.5833	45.983	37.57	0.	9.4998	-1.3974	2.7524	3.1567	2.7468
3.6667	46.067	37.57	0.	9.4998	-1.3526	2.5756	3.295	2.5567
3.75	46.15	37.57	0.	9.4998	-1.3078	2.3989	3.4308	2.3591
3.8333	46.233	37.57	0.	9.4998	-1.263	2.2221	3.563	2.1542
3.9167	46.317	37.57	0.	9.4998	-1.2182	2.0453	3.6922	1.9489
4.	46.4	37.57	0.	9.4998	-1.1734	1.8685	3.8184	1.743
