	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	2.4714	8.2076	6.5824	-3.5635	0.	0.	9.9138	6.5824	0.76519	9.1486	8.0198
Bending (Inside)	-5.4224	22.159	4.6445	0.	0.	0.	22.159	4.6445	-5.4224	27.581	24.175
Bending (Outside)	-2.4988	-21.694	-4.6445	0.	0.	0.	-2.4988	-4.6445	-21.694	19.195	18.217
Membrane+Bending (Inside)	-2.951	30.367	11.227	-3.5635	0.	0.	30.743	11.227	-3.3278	34.071	29.611
Membrane+Bending (Center)	-1.4892	8.4402	6.5824	-3.5635	0.	0.	9.5867	6.5824	-2.6357	12.222	11.031
Membrane+Bending (Outside)	-2.7386e-002	-13.486	1.9379	-3.5635	0.	0.	1.9379	0.85788	-14.371	16.309	15.797
Peak (Inside)	0.	5.5826	-0.61447	4.3159	0.	0.	7.9312	-0.61447	-2.3486	10.28	9.5318
Peak (Center)	5.0466	-2.5577	-0.38328	1.3656e-002	0.	0.	5.0467	-0.38328	-2.5577	7.6044	6.7838
Peak (Outside)	-1.3097e-016	2.2966	0.30269	3.3286	0.	0.	4.6694	0.30269	-2.3728	7.0422	6.1571
Total (Inside)	-2.951	35.949	10.612	0.75243	0.	0.	35.964	10.612	-2.9655	38.929	34.224
Total (Center)	3.5574	5.8825	6.1991	-3.5498	0.	0.	8.4553	6.1991	0.98467	7.4706	6.6367
Total (Outside)	-2.7386e-002	-11.189	2.2406	-0.23485	0.	0.	2.2406	-2.2446e-002	-11.194	13.435	12.459

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.07	36.417	0.	9.9138	22.159	30.743	7.9312	35.964
8.3351e-002	42.128	36.357	0.	9.9138	21.245	29.841	6.4417	35.299
0.1667	42.186	36.297	0.	9.9138	20.332	28.939	6.0174	34.955
0.25005	42.243	36.236	0.	9.9138	19.418	28.038	7.5632	34.893
0.3334	42.301	36.176	0.	9.9138	18.505	27.138	8.5492	33.924
0.41675	42.358	36.116	0.	9.9138	17.591	26.238	8.227	31.487
0.5001	42.416	36.056	0.	9.9138	16.677	25.34	8.4701	29.337
0.58346	42.474	35.996	0.	9.9138	15.764	24.442	9.0385	27.485
0.66681	42.531	35.935	0.	9.9138	14.85	23.546	9.0259	25.825
0.75016	42.589	35.875	0.	9.9138	13.937	22.651	8.8025	24.212
0.83351	42.647	35.815	0.	9.9138	13.023	21.758	8.6841	22.666
0.91686	42.704	35.755	0.	9.9138	12.109	20.866	8.656	21.19
1.0002	42.762	35.695	0.	9.9138	11.196	19.976	8.3499	19.937
1.0836	42.819	35.634	0.	9.9138	10.282	19.087	8.0446	18.73
1.1669	42.877	35.574	0.	9.9138	9.3686	18.202	7.7884	17.545
1.2503	42.935	35.514	0.	9.9138	8.455	17.319	7.5792	16.385
1.3336	42.992	35.454	0.	9.9138	7.5414	16.439	7.2698	15.394
1.417	43.05	35.393	0.	9.9138	6.6278	15.562	6.9632	14.405
1.5003	43.108	35.333	0.	9.9138	5.7142	14.689	6.6788	13.43
1.5837	43.165	35.273	0.	9.9138	4.8006	13.821	6.4167	12.471
1.667	43.223	35.213	0.	9.9138	3.887	12.959	6.1264	11.631
1.7504	43.281	35.153	0.	9.9138	2.9734	12.103	5.8425	10.811
1.8337	43.338	35.092	0.	9.9138	2.0598	11.254	5.5713	9.9976
1.9171	43.396	35.032	0.	9.9138	1.1462	10.415	5.3139	9.1942
2.0004	43.453	34.972	0.	9.9138	0.23264	9.5867	5.0467	8.4553
2.0838	43.511	34.912	0.	9.9138	-0.19352	8.7716	4.7912	7.7443
2.1671	43.569	34.851	0.	9.9138	-0.38704	7.9726	4.5564	7.0474
2.2505	43.626	34.791	0.	9.9138	-0.58056	7.1934	4.344	6.3673
2.3338	43.684	34.731	0.	9.9138	-0.77408	6.4384	4.1391	5.7234
2.4172	43.742	34.671	0.	9.9138	-0.9676	5.7132	3.9405	5.3806
2.5005	43.799	34.611	0.	9.9138	-1.1611	5.4213	3.777	5.2243
2.5839	43.857	34.55	0.	9.9138	-1.3546	5.2278	3.6582	5.0744
2.6672	43.914	34.49	0.	9.9138	-1.5482	5.0342	3.5665	4.9236
2.7506	43.972	34.43	0.	9.9138	-1.7417	4.8407	3.5054	4.7718
2.8339	44.03	34.37	0.	9.9138	-1.9352	4.6472	3.4773	4.6192
2.9173	44.087	34.31	0.	9.9138	-2.1287	4.4537	3.4854	4.4657
3.0006	44.145	34.249	0.	9.9138	-2.3222	4.2602	3.5314	4.312
3.084	44.203	34.189	0.	9.9138	-2.5157	4.0667	3.614	4.1583
3.1673	44.26	34.129	0.	9.9138	-2.7093	3.8731	3.726	4.0038
3.2507	44.318	34.069	0.	9.9138	-2.9028	3.6796	3.8411	3.8449
3.334	44.376	34.008	0.	9.9138	-2.9861	3.4861	3.9697	3.6854
3.4174	44.433	33.948	0.	9.9138	-2.9251	3.2926	4.1101	3.5255
3.5007	44.491	33.888	0.	9.9138	-2.8642	3.0991	4.2266	3.3549
3.5841	44.548	33.828	0.	9.9138	-2.8033	2.9055	4.3362	3.1813
3.6674	44.606	33.768	0.	9.9138	-2.7424	2.712	4.4465	3.0073
3.7508	44.664	33.707	0.	9.9138	-2.6815	2.5185	4.5344	2.8252
3.8341	44.721	33.647	0.	9.9138	-2.6206	2.325	4.5836	2.6309
3.9175	44.779	33.587	0.	9.9138	-2.5597	2.1315	4.6287	2.436
4.0008	44.837	33.527	0.	9.9138	-2.4988	1.9379	4.6694	2.2406
