	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.1567	8.2361	6.1112	3.247	0.	0.	9.4998	6.1112	-0.10704	9.6068	8.4392
Bending (Inside)	-3.3234	20.308	4.2426	0.	0.	0.	20.308	4.2426	-3.3234	23.632	20.902
Bending (Outside)	-1.1734	-19.708	-4.2426	0.	0.	0.	-1.1734	-4.2426	-19.708	18.534	17.206
Membrane+Bending (Inside)	-2.1667	28.545	10.354	3.247	0.	0.	28.884	10.354	-2.5063	31.39	27.332
Membrane+Bending (Center)	-1.0917	8.5365	6.1112	3.247	0.	0.	9.5292	6.1112	-2.0844	11.614	10.337
Membrane+Bending (Outside)	-1.6711e-002	-11.472	1.8685	3.247	0.	0.	1.8685	0.83969	-12.328	14.196	13.711
Peak (Inside)	0.	1.2778	-0.67525	-3.2754	0.	0.	3.976	-0.67525	-2.6982	6.6743	5.9276
Peak (Center)	3.4832	-1.5358	-3.9457e-002	0.70983	0.	0.	3.5816	-3.9457e-002	-1.6343	5.2159	4.6293
Peak (Outside)	-1.0914e-017	1.0801	-0.12552	-3.2336	0.	0.	3.8184	-0.12552	-2.7384	6.5568	5.7172
Total (Inside)	-2.1667	29.822	9.6785	-2.8362e-002	0.	0.	29.822	9.6785	-2.1668	31.989	28.012
Total (Center)	2.3914	7.0007	6.0717	3.9569	0.	0.	9.2752	6.0717	0.11697	9.1582	8.0496
Total (Outside)	-1.6711e-002	-10.391	1.743	1.3434e-002	0.	0.	1.743	-1.6693e-002	-10.391	12.135	11.357

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	8.4392	20.902	27.332	5.9276	28.012
8.3333e-002	42.483	37.57	0.	8.4392	20.113	26.57	4.3277	27.364
0.16667	42.567	37.57	0.	8.4392	19.324	25.81	3.0406	26.859
0.25	42.65	37.57	0.	8.4392	18.536	25.052	2.307	26.51
0.33333	42.733	37.57	0.	8.4392	17.747	24.295	2.1063	25.749
0.41667	42.817	37.57	0.	8.4392	16.959	23.541	2.3915	24.591
0.5	42.9	37.57	0.	8.4392	16.171	22.79	3.2143	23.59
0.58333	42.983	37.57	0.	8.4392	15.384	22.041	4.2141	22.743
0.66667	43.067	37.57	0.	8.4392	14.597	21.296	4.6052	21.447
0.75	43.15	37.57	0.	8.4392	13.81	20.554	5.0809	20.239
0.83333	43.233	37.57	0.	8.4392	13.024	19.815	5.6223	19.148
0.91667	43.317	37.57	0.	8.4392	12.239	19.081	6.0001	18.12
1.	43.4	37.57	0.	8.4392	11.454	18.352	6.0849	17.066
1.0833	43.483	37.57	0.	8.4392	10.671	17.628	6.2244	16.07
1.1667	43.567	37.57	0.	8.4392	9.8884	16.91	6.4091	15.14
1.25	43.65	37.57	0.	8.4392	9.1077	16.199	6.3816	14.279
1.3333	43.733	37.57	0.	8.4392	8.3289	15.496	6.2754	13.403
1.4167	43.817	37.57	0.	8.4392	7.5527	14.801	6.1985	12.564
1.5	43.9	37.57	0.	8.4392	6.7801	14.117	6.148	11.766
1.5833	43.983	37.57	0.	8.4392	6.0123	13.444	5.9022	11.058
1.6667	44.067	37.57	0.	8.4392	5.2514	12.786	5.6609	10.379
1.75	44.15	37.57	0.	8.4392	4.5011	12.142	5.4429	9.7265
1.8333	44.233	37.57	0.	8.4392	3.7676	11.518	5.2476	9.1058
1.9167	44.317	37.57	0.	8.4392	3.063	10.915	4.9313	8.5644
2.	44.4	37.57	0.	8.4392	2.4127	10.337	4.6293	8.0496
2.0833	44.483	37.57	0.	8.4392	1.8742	9.7899	4.35	7.564
2.1667	44.567	37.57	0.	8.4392	1.5673	9.2776	4.09	7.1157
2.25	44.65	37.57	0.	8.4392	1.6287	8.8066	3.7752	6.7342
2.3333	44.733	37.57	0.	8.4392	2.0251	8.3841	3.4866	6.3885
2.4167	44.817	37.57	0.	8.4392	2.608	8.0176	3.2293	6.0855
2.5	44.9	37.57	0.	8.4392	3.2795	7.715	3.0022	5.8359
2.5833	44.983	37.57	0.	8.4392	3.995	7.4843	2.7877	5.6532
2.6667	45.067	37.57	0.	8.4392	4.7348	7.3321	2.6249	5.5252
2.75	45.15	37.57	0.	8.4392	5.4889	7.2634	2.5225	5.4564
2.8333	45.233	37.57	0.	8.4392	6.2522	7.2806	2.4849	5.4542
2.9167	45.317	37.57	0.	8.4392	7.0217	7.383	2.5091	5.5196
3.	45.4	37.57	0.	8.4392	7.7956	7.5672	2.5942	5.6451
3.0833	45.483	37.57	0.	8.4392	8.5727	7.8275	2.7345	5.8267
3.1667	45.567	37.57	0.	8.4392	9.3521	8.1565	2.9249	6.0775
3.25	45.65	37.57	0.	8.4392	10.133	8.5463	3.1452	6.3863
3.3333	45.733	37.57	0.	8.4392	10.916	8.989	3.3864	6.7392
3.4167	45.817	37.57	0.	8.4392	11.7	9.4772	3.645	7.1333
3.5	45.9	37.57	0.	8.4392	12.485	10.004	3.9245	7.6092
3.5833	45.983	37.57	0.	8.4392	13.27	10.564	4.2061	8.1189
3.6667	46.067	37.57	0.	8.4392	14.057	11.153	4.4887	8.6563
3.75	46.15	37.57	0.	8.4392	14.843	11.765	4.7876	9.2626
3.8333	46.233	37.57	0.	8.4392	15.631	12.397	5.1002	9.9392
3.9167	46.317	37.57	0.	8.4392	16.418	13.046	5.4102	10.639
4.	46.4	37.57	0.	8.4392	17.206	13.711	5.7172	11.357
