	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	2.4714	8.2076	6.5824	-3.5635	0.	0.	9.9138	6.5824	0.76519	9.1486	8.0198
Bending (Inside)	-5.4224	22.159	4.6445	0.	0.	0.	22.159	4.6445	-5.4224	27.581	24.175
Bending (Outside)	-2.4988	-21.694	-4.6445	0.	0.	0.	-2.4988	-4.6445	-21.694	19.195	18.217
Membrane+Bending (Inside)	-2.951	30.367	11.227	-3.5635	0.	0.	30.743	11.227	-3.3278	34.071	29.611
Membrane+Bending (Center)	-1.4892	8.4402	6.5824	-3.5635	0.	0.	9.5867	6.5824	-2.6357	12.222	11.031
Membrane+Bending (Outside)	-2.7386e-002	-13.486	1.9379	-3.5635	0.	0.	1.9379	0.85788	-14.371	16.309	15.797
Peak (Inside)	0.	5.5826	-0.61447	4.3159	0.	0.	7.9312	-0.61447	-2.3486	10.28	9.5318
Peak (Center)	5.0466	-2.5577	-0.38328	1.3656e-002	0.	0.	5.0467	-0.38328	-2.5577	7.6044	6.7838
Peak (Outside)	-1.3097e-016	2.2966	0.30269	3.3286	0.	0.	4.6694	0.30269	-2.3728	7.0422	6.1571
Total (Inside)	-2.951	35.949	10.612	0.75243	0.	0.	35.964	10.612	-2.9655	38.929	34.224
Total (Center)	3.5574	5.8825	6.1991	-3.5498	0.	0.	8.4553	6.1991	0.98467	7.4706	6.6367
Total (Outside)	-2.7386e-002	-11.189	2.2406	-0.23485	0.	0.	2.2406	-2.2446e-002	-11.194	13.435	12.459

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.07	36.417	0.	8.0198	24.175	29.611	9.5318	34.224
8.3351e-002	42.128	36.357	0.	8.0198	23.305	28.77	6.3051	32.684
0.1667	42.186	36.297	0.	8.0198	22.436	27.931	5.0619	31.768
0.25005	42.243	36.236	0.	8.0198	21.568	27.095	6.4094	31.401
0.3334	42.301	36.176	0.	8.0198	20.7	26.261	7.6036	30.178
0.41675	42.358	36.116	0.	8.0198	19.832	25.43	7.6007	27.339
0.5001	42.416	36.056	0.	8.0198	18.966	24.602	8.3919	24.879
0.58346	42.474	35.996	0.	8.0198	18.1	23.777	9.6574	22.823
0.66681	42.531	35.935	0.	8.0198	17.235	22.956	10.055	21.142
0.75016	42.589	35.875	0.	8.0198	16.372	22.14	10.127	19.559
0.83351	42.647	35.815	0.	8.0198	15.51	21.328	10.341	18.048
0.91686	42.704	35.755	0.	8.0198	14.649	20.521	10.676	16.624
1.0002	42.762	35.695	0.	8.0198	13.79	19.72	10.493	15.525
1.0836	42.819	35.634	0.	8.0198	12.934	18.926	10.283	14.475
1.1669	42.877	35.574	0.	8.0198	12.08	18.139	10.132	13.442
1.2503	42.935	35.514	0.	8.0198	11.229	17.36	10.038	12.432
1.3336	42.992	35.454	0.	8.0198	10.383	16.592	9.6971	11.634
1.417	43.05	35.393	0.	8.0198	9.5419	15.834	9.3543	10.839
1.5003	43.108	35.333	0.	8.0198	8.7077	15.089	9.0401	10.066
1.5837	43.165	35.273	0.	8.0198	7.8823	14.359	8.7548	9.3189
1.667	43.223	35.213	0.	8.0198	7.069	13.646	8.3508	8.7119
1.7504	43.281	35.153	0.	8.0198	6.2725	12.954	7.948	8.1378
1.8337	43.338	35.092	0.	8.0198	5.5001	12.284	7.5641	7.5884
1.9171	43.396	35.032	0.	8.0198	4.7634	11.642	7.2015	7.0698
2.0004	43.453	34.972	0.	8.0198	4.0819	11.031	6.7838	6.6367
2.0838	43.511	34.912	0.	8.0198	3.4881	10.459	6.3705	6.2539
2.1671	43.569	34.851	0.	8.0198	3.0339	9.9309	5.9872	5.9133
2.2505	43.626	34.791	0.	8.0198	2.7884	9.4545	5.6373	5.6226
2.3338	43.684	34.731	0.	8.0198	2.8069	9.038	5.2899	5.4054
2.4172	43.742	34.671	0.	8.0198	3.0847	8.69	4.946	5.2577
2.5005	43.799	34.611	0.	8.0198	3.5616	8.4189	4.6538	5.1691
2.5839	43.857	34.55	0.	8.0198	4.1698	8.2325	4.4202	5.1524
2.6672	43.914	34.49	0.	8.0198	4.8603	8.1366	4.232	5.1988
2.7506	43.972	34.43	0.	8.0198	5.6027	8.1342	4.0949	5.3041
2.8339	44.03	34.37	0.	8.0198	6.379	8.2256	4.0136	5.4568
2.9173	44.087	34.31	0.	8.0198	7.1781	8.4077	3.9935	5.6776
3.0006	44.145	34.249	0.	8.0198	7.9933	8.6746	4.0361	5.9471
3.084	44.203	34.189	0.	8.0198	8.82	9.019	4.1398	6.2512
3.1673	44.26	34.129	0.	8.0198	9.6553	9.4324	4.2954	6.595
3.2507	44.318	34.069	0.	8.0198	10.497	9.906	4.4675	7.0045
3.334	44.376	34.008	0.	8.0198	11.344	10.432	4.6639	7.4358
3.4174	44.433	33.948	0.	8.0198	12.195	11.002	4.8818	7.884
3.5007	44.491	33.888	0.	8.0198	13.049	11.611	5.0888	8.4172
3.5841	44.548	33.828	0.	8.0198	13.906	12.251	5.2932	8.9843
3.6674	44.606	33.768	0.	8.0198	14.765	12.92	5.5004	9.5639
3.7508	44.664	33.707	0.	8.0198	15.626	13.612	5.692	10.206
3.8341	44.721	33.647	0.	8.0198	16.489	14.324	5.8525	10.946
3.9175	44.779	33.587	0.	8.0198	17.352	15.053	6.0076	11.697
4.0008	44.837	33.527	0.	8.0198	18.217	15.797	6.1571	12.459
