S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	42.07	36.417	0.	799.98
8.3351e-002	42.128	36.357	0.	799.94
0.1667	42.186	36.297	0.	799.91
0.25005	42.243	36.236	0.	799.87
0.3334	42.301	36.176	0.	799.84
0.41675	42.358	36.116	0.	799.8
0.5001	42.416	36.056	0.	799.77
0.58346	42.474	35.996	0.	799.74
0.66681	42.531	35.935	0.	799.71
0.75016	42.589	35.875	0.	799.67
0.83351	42.647	35.815	0.	799.64
0.91686	42.704	35.755	0.	799.61
1.0002	42.762	35.695	0.	799.58
1.0836	42.819	35.634	0.	799.55
1.1669	42.877	35.574	0.	799.53
1.2503	42.935	35.514	0.	799.5
1.3336	42.992	35.454	0.	799.47
1.417	43.05	35.393	0.	799.44
1.5003	43.108	35.333	0.	799.42
1.5837	43.165	35.273	0.	799.39
1.667	43.223	35.213	0.	799.36
1.7504	43.281	35.153	0.	799.34
1.8337	43.338	35.092	0.	799.31
1.9171	43.396	35.032	0.	799.29
2.0004	43.453	34.972	0.	799.26
2.0838	43.511	34.912	0.	799.24
2.1671	43.569	34.851	0.	799.21
2.2505	43.626	34.791	0.	799.19
2.3338	43.684	34.731	0.	799.16
2.4172	43.742	34.671	0.	799.14
2.5005	43.799	34.611	0.	799.11
2.5839	43.857	34.55	0.	799.09
2.6672	43.914	34.49	0.	799.07
2.7506	43.972	34.43	0.	799.04
2.8339	44.03	34.37	0.	799.02
2.9173	44.087	34.31	0.	799.
3.0006	44.145	34.249	0.	798.98
3.084	44.203	34.189	0.	798.95
3.1673	44.26	34.129	0.	798.93
3.2507	44.318	34.069	0.	798.91
3.334	44.376	34.008	0.	798.89
3.4174	44.433	33.948	0.	798.87
3.5007	44.491	33.888	0.	798.84
3.5841	44.548	33.828	0.	798.82
3.6674	44.606	33.768	0.	798.8
3.7508	44.664	33.707	0.	798.78
3.8341	44.721	33.647	0.	798.76
3.9175	44.779	33.587	0.	798.74
4.0008	44.837	33.527	0.	798.72
