S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.178	-1.0635	0.	807.92
8.6287e-002	15.265	-1.0635	0.	807.21
0.17257	15.351	-1.0635	0.	806.58
0.25886	15.437	-1.0635	0.	806.02
0.34515	15.523	-1.0635	0.	805.55
0.43144	15.61	-1.0635	0.	805.12
0.51772	15.696	-1.0635	0.	804.72
0.60401	15.782	-1.0635	0.	804.35
0.6903	15.869	-1.0635	0.	804.02
0.77658	15.955	-1.0635	0.	803.75
0.86287	16.041	-1.0635	0.	803.5
0.94916	16.127	-1.0635	0.	803.27
1.0354	16.214	-1.0635	0.	803.07
1.1217	16.3	-1.0635	0.	802.87
1.208	16.386	-1.0635	0.	802.69
1.2943	16.473	-1.0635	0.	802.53
1.3806	16.559	-1.0635	0.	802.38
1.4669	16.645	-1.0635	0.	802.24
1.5532	16.731	-1.0635	0.	802.1
1.6395	16.818	-1.0635	0.	801.98
1.7257	16.904	-1.0635	0.	801.86
1.812	16.99	-1.0635	0.	801.75
1.8983	17.077	-1.0635	0.	801.64
1.9846	17.163	-1.0635	0.	801.54
2.0709	17.249	-1.0635	0.	801.44
2.1572	17.335	-1.0635	0.	801.35
2.2435	17.422	-1.0635	0.	801.26
2.3298	17.508	-1.0635	0.	801.18
2.416	17.594	-1.0635	0.	801.1
2.5023	17.681	-1.0635	0.	801.02
2.5886	17.767	-1.0635	0.	800.95
2.6749	17.853	-1.0635	0.	800.88
2.7612	17.939	-1.0635	0.	800.81
2.8475	18.026	-1.0635	0.	800.75
2.9338	18.112	-1.0635	0.	800.69
3.02	18.198	-1.0635	0.	800.63
3.1063	18.285	-1.0635	0.	800.57
3.1926	18.371	-1.0635	0.	800.52
3.2789	18.457	-1.0635	0.	800.47
3.3652	18.543	-1.0635	0.	800.42
3.4515	18.63	-1.0635	0.	800.37
3.5378	18.716	-1.0635	0.	800.33
3.6241	18.802	-1.0635	0.	800.28
3.7103	18.889	-1.0635	0.	800.24
3.7966	18.975	-1.0635	0.	800.2
3.8829	19.061	-1.0635	0.	800.17
3.9692	19.147	-1.0635	0.	800.13
4.0555	19.234	-1.0635	0.	800.1
4.1418	19.32	-1.0635	0.	800.06
