	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98989	8.2403	21.123	5.9596e-004	0.	0.	21.123	8.2403	-0.98989	22.113	19.238
Bending (Inside)	-1.0083	-2.5447	-1.411	0.	0.	0.	-1.0083	-1.411	-2.5447	1.5364	1.3798
Bending (Outside)	0.99016	2.4694	1.411	0.	0.	0.	2.4694	1.411	0.99016	1.4792	1.3201
Membrane+Bending (Inside)	-1.9982	5.6956	19.712	5.9596e-004	0.	0.	19.712	5.6956	-1.9982	21.711	19.066
Membrane+Bending (Center)	-0.99896	8.2027	21.123	5.9596e-004	0.	0.	21.123	8.2027	-0.99896	22.122	19.249
Membrane+Bending (Outside)	2.7544e-004	10.71	22.535	5.9596e-004	0.	0.	22.535	10.71	2.7541e-004	22.534	19.523
Peak (Inside)	0.	-4.0415e-002	2.3408e-003	-9.0234e-004	0.	0.	2.3408e-003	2.0136e-005	-4.0435e-002	4.2776e-002	4.1664e-002
Peak (Center)	1.3473e-002	1.7625e-002	2.784e-003	2.0771e-004	0.	0.	1.7635e-002	1.3463e-002	2.784e-003	1.4851e-002	1.3266e-002
Peak (Outside)	2.1998e-017	-3.2184e-002	-9.4989e-003	-5.9375e-004	0.	0.	1.095e-005	-9.4989e-003	-3.2195e-002	3.2206e-002	2.866e-002
Total (Inside)	-1.9982	5.6552	19.715	-3.0638e-004	0.	0.	19.715	5.6552	-1.9982	21.713	19.075
Total (Center)	-0.98549	8.2203	21.126	8.0367e-004	0.	0.	21.126	8.2203	-0.98549	22.112	19.238
Total (Outside)	2.7544e-004	10.678	22.525	2.2077e-006	0.	0.	22.525	10.678	2.7544e-004	22.525	19.516

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.22	0.	19.238	1.3798	19.066	4.1664e-002	19.075
8.3333e-002	42.483	126.22	0.	19.238	1.3236	19.072	3.7297e-002	19.078
0.16667	42.567	126.22	0.	19.238	1.2673	19.078	3.2953e-002	19.082
0.25	42.65	126.22	0.	19.238	1.2111	19.084	2.8645e-002	19.086
0.33333	42.733	126.22	0.	19.238	1.1549	19.09	2.4441e-002	19.09
0.41667	42.817	126.22	0.	19.238	1.0986	19.096	2.0447e-002	19.094
0.5	42.9	126.22	0.	19.238	1.0424	19.103	1.6866e-002	19.098
0.58333	42.983	126.22	0.	19.238	0.98615	19.11	1.4084e-002	19.102
0.66667	43.067	126.22	0.	19.238	0.92991	19.116	1.2811e-002	19.108
0.75	43.15	126.22	0.	19.238	0.87368	19.123	1.1971e-002	19.114
0.83333	43.233	126.22	0.	19.238	0.81744	19.131	1.1611e-002	19.12
0.91667	43.317	126.22	0.	19.238	0.76121	19.138	1.1774e-002	19.127
1.	43.4	126.22	0.	19.238	0.70498	19.146	1.244e-002	19.133
1.0833	43.483	126.22	0.	19.238	0.64875	19.153	1.3534e-002	19.14
1.1667	43.567	126.22	0.	19.238	0.59253	19.161	1.4413e-002	19.147
1.25	43.65	126.22	0.	19.238	0.53631	19.169	1.4437e-002	19.156
1.3333	43.733	126.22	0.	19.238	0.48009	19.177	1.4508e-002	19.164
1.4167	43.817	126.22	0.	19.238	0.42388	19.186	1.4627e-002	19.173
1.5	43.9	126.22	0.	19.238	0.36769	19.194	1.4792e-002	19.181
1.5833	43.983	126.22	0.	19.238	0.31151	19.203	1.5001e-002	19.19
1.6667	44.067	126.22	0.	19.238	0.25536	19.212	1.5254e-002	19.199
1.75	44.15	126.22	0.	19.238	0.19926	19.221	1.4849e-002	19.209
1.8333	44.233	126.22	0.	19.238	0.14328	19.23	1.4319e-002	19.219
1.9167	44.317	126.22	0.	19.238	8.7635e-002	19.239	1.3791e-002	19.228
2.	44.4	126.22	0.	19.238	3.4027e-002	19.249	1.3266e-002	19.238
2.0833	44.483	126.22	0.	19.238	3.1029e-002	19.258	1.2745e-002	19.249
2.1667	44.567	126.22	0.	19.238	8.4229e-002	19.268	1.2228e-002	19.259
2.25	44.65	126.22	0.	19.238	0.13983	19.278	1.1639e-002	19.27
2.3333	44.733	126.22	0.	19.238	0.1958	19.288	1.0655e-002	19.28
2.4167	44.817	126.22	0.	19.238	0.2519	19.298	9.6939e-003	19.291
2.5	44.9	126.22	0.	19.238	0.30804	19.309	8.7621e-003	19.302
2.5833	44.983	126.22	0.	19.238	0.36422	19.319	7.8702e-003	19.313
2.6667	45.067	126.22	0.	19.238	0.42042	19.33	7.0334e-003	19.324
2.75	45.15	126.22	0.	19.238	0.47662	19.341	6.2735e-003	19.335
2.8333	45.233	126.22	0.	19.238	0.53284	19.352	5.7654e-003	19.346
2.9167	45.317	126.22	0.	19.238	0.58906	19.363	5.7317e-003	19.358
3.	45.4	126.22	0.	19.238	0.64528	19.375	6.1784e-003	19.369
3.0833	45.483	126.22	0.	19.238	0.70151	19.386	7.0142e-003	19.381
3.1667	45.567	126.22	0.	19.238	0.75774	19.398	8.1194e-003	19.393
3.25	45.65	126.22	0.	19.238	0.81397	19.41	9.3995e-003	19.405
3.3333	45.733	126.22	0.	19.238	0.87021	19.422	1.0792e-002	19.417
3.4167	45.817	126.22	0.	19.238	0.92644	19.434	1.2431e-002	19.429
3.5	45.9	126.22	0.	19.238	0.98268	19.446	1.4704e-002	19.441
3.5833	45.983	126.22	0.	19.238	1.0389	19.459	1.7002e-002	19.453
3.6667	46.067	126.22	0.	19.238	1.0952	19.471	1.9317e-002	19.465
3.75	46.15	126.22	0.	19.238	1.1514	19.484	2.1643e-002	19.478
3.8333	46.233	126.22	0.	19.238	1.2076	19.497	2.3976e-002	19.49
3.9167	46.317	126.22	0.	19.238	1.2639	19.51	2.6316e-002	19.503
4.	46.4	126.22	0.	19.238	1.3201	19.523	2.866e-002	19.516
