	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98922	8.2403	21.108	1.0615e-003	0.	0.	21.108	8.2403	-0.98922	22.097	19.223
Bending (Inside)	-1.0042	-2.5439	-1.4395	0.	0.	0.	-1.0042	-1.4395	-2.5439	1.5396	1.3747
Bending (Outside)	0.98948	2.4686	1.4395	0.	0.	0.	2.4686	1.4395	0.98948	1.4791	1.3133
Membrane+Bending (Inside)	-1.9934	5.6964	19.669	1.0615e-003	0.	0.	19.669	5.6964	-1.9934	21.662	19.021
Membrane+Bending (Center)	-0.99659	8.2027	21.108	1.0615e-003	0.	0.	21.108	8.2027	-0.99659	22.105	19.233
Membrane+Bending (Outside)	2.6367e-004	10.709	22.548	1.0615e-003	0.	0.	22.548	10.709	2.6356e-004	22.547	19.535
Peak (Inside)	0.	-3.6683e-002	-3.3659e-002	-1.4165e-003	0.	0.	5.4613e-005	-3.3659e-002	-3.6738e-002	3.6793e-002	3.5354e-002
Peak (Center)	1.1304e-002	1.7685e-002	1.2699e-002	4.676e-004	0.	0.	1.7719e-002	1.2699e-002	1.127e-002	6.449e-003	5.8665e-003
Peak (Outside)	3.4618e-017	-3.2013e-002	-2.412e-002	-1.0661e-003	0.	0.	3.5461e-005	-2.412e-002	-3.2049e-002	3.2084e-002	2.8946e-002
Total (Inside)	-1.9934	5.6598	19.635	-3.5498e-004	0.	0.	19.635	5.6598	-1.9934	21.629	18.996
Total (Center)	-0.98528	8.2204	21.121	1.5291e-003	0.	0.	21.121	8.2204	-0.98528	22.106	19.233
Total (Outside)	2.6367e-004	10.677	22.524	-4.5611e-006	0.	0.	22.524	10.677	2.6367e-004	22.523	19.515

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	125.72	0.	19.223	1.3747	19.021	3.5354e-002	18.996
8.3333e-002	42.483	125.72	0.	19.223	1.3187	19.028	3.1889e-002	19.006
0.16667	42.567	125.72	0.	19.223	1.2627	19.035	2.8487e-002	19.016
0.25	42.65	125.72	0.	19.223	1.2067	19.043	2.515e-002	19.026
0.33333	42.733	125.72	0.	19.223	1.1507	19.05	2.1883e-002	19.036
0.41667	42.817	125.72	0.	19.223	1.0947	19.058	1.8692e-002	19.047
0.5	42.9	125.72	0.	19.223	1.0387	19.065	1.5594e-002	19.057
0.58333	42.983	125.72	0.	19.223	0.98276	19.073	1.2839e-002	19.067
0.66667	43.067	125.72	0.	19.223	0.92677	19.081	1.0985e-002	19.076
0.75	43.15	125.72	0.	19.223	0.87079	19.09	9.1245e-003	19.085
0.83333	43.233	125.72	0.	19.223	0.8148	19.098	7.2571e-003	19.094
0.91667	43.317	125.72	0.	19.223	0.75882	19.107	5.3827e-003	19.104
1.	43.4	125.72	0.	19.223	0.70284	19.115	3.5157e-003	19.114
1.0833	43.483	125.72	0.	19.223	0.64686	19.124	1.6295e-003	19.124
1.1667	43.567	125.72	0.	19.223	0.59088	19.133	4.3952e-004	19.134
1.25	43.65	125.72	0.	19.223	0.53491	19.143	1.0281e-003	19.143
1.3333	43.733	125.72	0.	19.223	0.47894	19.152	1.9033e-003	19.153
1.4167	43.817	125.72	0.	19.223	0.42298	19.162	2.8095e-003	19.162
1.5	43.9	125.72	0.	19.223	0.36703	19.171	3.7255e-003	19.172
1.5833	43.983	125.72	0.	19.223	0.31109	19.181	4.6469e-003	19.182
1.6667	44.067	125.72	0.	19.223	0.25518	19.191	5.5729e-003	19.192
1.75	44.15	125.72	0.	19.223	0.19933	19.201	5.9312e-003	19.202
1.8333	44.233	125.72	0.	19.223	0.14358	19.212	5.905e-003	19.213
1.9167	44.317	125.72	0.	19.223	8.8137e-002	19.222	5.8835e-003	19.223
2.	44.4	125.72	0.	19.223	3.454e-002	19.233	5.8665e-003	19.233
2.0833	44.483	125.72	0.	19.223	2.9813e-002	19.244	5.8539e-003	19.244
2.1667	44.567	125.72	0.	19.223	8.2799e-002	19.255	5.8456e-003	19.255
2.25	44.65	125.72	0.	19.223	0.13818	19.266	5.8414e-003	19.266
2.3333	44.733	125.72	0.	19.223	0.19391	19.277	5.2653e-003	19.277
