	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98982	8.2403	21.134	-1.4547e-005	0.	0.	21.134	8.2403	-0.98982	22.123	19.247
Bending (Inside)	-1.0056	-2.5446	-1.3886	0.	0.	0.	-1.0056	-1.3886	-2.5446	1.539	1.3877
Bending (Outside)	0.9899	2.4694	1.3886	0.	0.	0.	2.4694	1.3886	0.9899	1.4795	1.3259
Membrane+Bending (Inside)	-1.9955	5.6957	19.745	-1.4547e-005	0.	0.	19.745	5.6957	-1.9955	21.74	19.094
Membrane+Bending (Center)	-0.99768	8.2027	21.134	-1.4547e-005	0.	0.	21.134	8.2027	-0.99768	22.131	19.257
Membrane+Bending (Outside)	8.4962e-005	10.71	22.522	-1.4547e-005	0.	0.	22.522	10.71	8.4962e-005	22.522	19.512
Peak (Inside)	0.	-3.6764e-002	6.6369e-002	2.8337e-003	0.	0.	6.6369e-002	2.1714e-004	-3.6981e-002	0.10335	9.0667e-002
Peak (Center)	1.2111e-002	1.7668e-002	-5.1014e-003	1.0159e-006	0.	0.	1.7668e-002	1.2111e-002	-5.1014e-003	2.2769e-002	2.0562e-002
Peak (Outside)	-3.5541e-017	-3.2041e-002	3.2671e-003	3.8569e-005	0.	0.	3.2671e-003	4.6427e-008	-3.2041e-002	3.5308e-002	3.3793e-002
Total (Inside)	-1.9955	5.6589	19.811	2.8192e-003	0.	0.	19.811	5.6589	-1.9955	21.807	19.163
Total (Center)	-0.98557	8.2203	21.128	-1.3531e-005	0.	0.	21.128	8.2203	-0.98557	22.114	19.241
Total (Outside)	8.4962e-005	10.678	22.525	2.4022e-005	0.	0.	22.525	10.678	8.4961e-005	22.525	19.516

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.72	0.	19.247	1.3877	19.094	9.0667e-002	19.163
8.3333e-002	42.483	126.72	0.	19.247	1.3312	19.099	7.5456e-002	19.154
0.16667	42.567	126.72	0.	19.247	1.2747	19.104	6.0393e-002	19.146
0.25	42.65	126.72	0.	19.247	1.2182	19.109	4.5623e-002	19.138
0.33333	42.733	126.72	0.	19.247	1.1616	19.115	3.1563e-002	19.13
0.41667	42.817	126.72	0.	19.247	1.1051	19.12	1.9787e-002	19.122
0.5	42.9	126.72	0.	19.247	1.0486	19.126	1.6352e-002	19.115
0.58333	42.983	126.72	0.	19.247	0.99206	19.132	1.8026e-002	19.115
0.66667	43.067	126.72	0.	19.247	0.93554	19.138	1.8571e-002	19.12
0.75	43.15	126.72	0.	19.247	0.87902	19.144	1.9561e-002	19.125
0.83333	43.233	126.72	0.	19.247	0.8225	19.15	2.0933e-002	19.13
0.91667	43.317	126.72	0.	19.247	0.76598	19.157	2.2618e-002	19.135
1.	43.4	126.72	0.	19.247	0.70946	19.164	2.4551e-002	19.14
1.0833	43.483	126.72	0.	19.247	0.65294	19.171	2.5729e-002	19.146
1.1667	43.567	126.72	0.	19.247	0.59643	19.178	2.5664e-002	19.153
1.25	43.65	126.72	0.	19.247	0.53992	19.185	2.5643e-002	19.161
1.3333	43.733	126.72	0.	19.247	0.48341	19.192	2.5666e-002	19.169
1.4167	43.817	126.72	0.	19.247	0.42692	19.2	2.5734e-002	19.177
1.5	43.9	126.72	0.	19.247	0.37043	19.207	2.5846e-002	19.185
1.5833	43.983	126.72	0.	19.247	0.31395	19.215	2.6002e-002	19.193
1.6667	44.067	126.72	0.	19.247	0.2575	19.223	2.5131e-002	19.202
1.75	44.15	126.72	0.	19.247	0.20109	19.231	2.3982e-002	19.212
1.8333	44.233	126.72	0.	19.247	0.14478	19.24	2.2837e-002	19.221
1.9167	44.317	126.72	0.	19.247	8.8752e-002	19.248	2.1697e-002	19.231
2.	44.4	126.72	0.	19.247	3.4391e-002	19.257	2.0562e-002	19.241
2.0833	44.483	126.72	0.	19.247	2.9662e-002	19.266	1.9433e-002	19.25
2.1667	44.567	126.72	0.	19.247	8.3475e-002	19.275	1.8312e-002	19.261
2.25	44.65	126.72	0.	19.247	0.13945	19.284	1.6881e-002	19.271
2.3333	44.733	126.72	0.	19.247	0.19575	19.293	1.5123e-002	19.281
2.4167	44.817	126.72	0.	19.247	0.25215	19.302	1.3373e-002	19.292
2.5	44.9	126.72	0.	19.247	0.3086	19.312	1.1636e-002	19.303
2.5833	44.983	126.72	0.	19.247	0.36507	19.322	9.9197e-003	19.314
2.6667	45.067	126.72	0.	19.247	0.42156	19.332	8.2354e-003	19.325
2.75	45.15	126.72	0.	19.247	0.47806	19.342	6.6083e-003	19.336
2.8333	45.233	126.72	0.	19.247	0.53456	19.352	5.0942e-003	19.347
2.9167	45.317	126.72	0.	19.247	0.59107	19.363	4.1595e-003	19.358
3.	45.4	126.72	0.	19.247	0.64759	19.373	4.4521e-003	19.37
3.0833	45.483	126.72	0.	19.247	0.7041	19.384	5.7886e-003	19.381
3.1667	45.567	126.72	0.	19.247	0.76062	19.395	7.6396e-003	19.393
3.25	45.65	126.72	0.	19.247	0.81714	19.406	9.7153e-003	19.405
3.3333	45.733	126.72	0.	19.247	0.87366	19.417	1.1899e-002	19.417
3.4167	45.817	126.72	0.	19.247	0.93018	19.428	1.414e-002	19.429
3.5	45.9	126.72	0.	19.247	0.9867	19.44	1.6858e-002	19.441
3.5833	45.983	126.72	0.	19.247	1.0432	19.452	1.9676e-002	19.453
3.6667	46.067	126.72	0.	19.247	1.0998	19.463	2.2496e-002	19.466
3.75	46.15	126.72	0.	19.247	1.1563	19.475	2.5319e-002	19.478
3.8333	46.233	126.72	0.	19.247	1.2128	19.488	2.8143e-002	19.491
3.9167	46.317	126.72	0.	19.247	1.2693	19.5	3.0968e-002	19.503
4.	46.4	126.72	0.	19.247	1.3259	19.512	3.3793e-002	19.516
