	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.9866	8.2403	21.366	-1.6863e-002	0.	0.	21.366	8.2403	-0.98663	22.353	19.456
Bending (Inside)	-1.0058	-2.2472	-1.3408	0.	0.	0.	-1.0058	-1.3408	-2.2472	1.2415	1.1125
Bending (Outside)	0.98668	2.1807	1.3408	0.	0.	0.	2.1807	1.3408	0.98668	1.1941	1.0622
Membrane+Bending (Inside)	-1.9924	5.9931	20.025	-1.6863e-002	0.	0.	20.025	5.9931	-1.9924	22.017	19.306
Membrane+Bending (Center)	-0.99614	8.207	21.366	-1.6863e-002	0.	0.	21.366	8.2071	-0.99617	22.362	19.467
Membrane+Bending (Outside)	7.6283e-005	10.421	22.707	-1.6863e-002	0.	0.	22.707	10.421	4.8996e-005	22.707	19.687
Peak (Inside)	0.	-3.218e-002	-2.5505e-002	1.6623e-002	0.	0.	7.0443e-003	-2.5505e-002	-3.9225e-002	4.6269e-002	4.1161e-002
Peak (Center)	1.436e-002	1.6819e-002	1.2453e-002	-8.4285e-003	0.	0.	2.4107e-002	1.2453e-002	7.0717e-003	1.7035e-002	1.5083e-002
Peak (Outside)	-1.657e-017	-3.5569e-002	-2.4399e-002	1.661e-002	0.	0.	6.5502e-003	-2.4399e-002	-4.2119e-002	4.867e-002	4.2665e-002
Total (Inside)	-1.9924	5.9609	20.	-2.404e-004	0.	0.	20.	5.9609	-1.9924	21.992	19.287
Total (Center)	-0.98178	8.2239	21.378	-2.5291e-002	0.	0.	21.378	8.2239	-0.98185	22.36	19.465
Total (Outside)	7.6283e-005	10.385	22.682	-2.5304e-004	0.	0.	22.682	10.385	7.6277e-005	22.682	19.667

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	81.72	0.	19.456	1.1125	19.306	4.1161e-002	19.287
8.3333e-002	42.483	81.72	0.	19.456	1.0672	19.311	3.7681e-002	19.294
0.16667	42.567	81.72	0.	19.456	1.0219	19.317	3.4279e-002	19.3
0.25	42.65	81.72	0.	19.456	0.97657	19.323	3.0965e-002	19.307
0.33333	42.733	81.72	0.	19.456	0.93127	19.329	2.7757e-002	19.314
0.41667	42.817	81.72	0.	19.456	0.88598	19.335	2.4676e-002	19.321
0.5	42.9	81.72	0.	19.456	0.84068	19.341	2.1759e-002	19.328
0.58333	42.983	81.72	0.	19.456	0.79539	19.347	1.906e-002	19.335
0.66667	43.067	81.72	0.	19.456	0.7501	19.353	1.6933e-002	19.342
0.75	43.15	81.72	0.	19.456	0.70481	19.359	1.5045e-002	19.349
0.83333	43.233	81.72	0.	19.456	0.65952	19.366	1.3385e-002	19.356
0.91667	43.317	81.72	0.	19.456	0.61423	19.372	1.2045e-002	19.364
1.	43.4	81.72	0.	19.456	0.56895	19.379	1.1136e-002	19.371
1.0833	43.483	81.72	0.	19.456	0.52366	19.386	1.0763e-002	19.379
1.1667	43.567	81.72	0.	19.456	0.47839	19.393	1.0976e-002	19.386
1.25	43.65	81.72	0.	19.456	0.43311	19.4	1.1129e-002	19.394
1.3333	43.733	81.72	0.	19.456	0.38784	19.407	1.1462e-002	19.402
1.4167	43.817	81.72	0.	19.456	0.34259	19.414	1.1971e-002	19.409
1.5	43.9	81.72	0.	19.456	0.29734	19.421	1.262e-002	19.417
1.5833	43.983	81.72	0.	19.456	0.25211	19.428	1.3377e-002	19.425
1.6667	44.067	81.72	0.	19.456	0.20692	19.436	1.4214e-002	19.433
1.75	44.15	81.72	0.	19.456	0.16179	19.444	1.5111e-002	19.441
1.8333	44.233	81.72	0.	19.456	0.11678	19.451	1.5258e-002	19.449
1.9167	44.317	81.72	0.	19.456	7.2157e-002	19.459	1.5163e-002	19.457
2.	44.4	81.72	0.	19.456	2.9648e-002	19.467	1.5083e-002	19.465
2.0833	44.483	81.72	0.	19.456	2.561e-002	19.475	1.5016e-002	19.473
2.1667	44.567	81.72	0.	19.456	6.7358e-002	19.483	1.4965e-002	19.481
2.25	44.65	81.72	0.	19.456	0.11191	19.491	1.493e-002	19.49
2.3333	44.733	81.72	0.	19.456	0.15689	19.499	1.4912e-002	19.498
2.4167	44.817	81.72	0.	19.456	0.20201	19.508	1.3887e-002	19.506
2.5	44.9	81.72	0.	19.456	0.2472	19.516	1.2677e-002	19.515
2.5833	44.983	81.72	0.	19.456	0.29242	19.525	1.1473e-002	19.523
2.6667	45.067	81.72	0.	19.456	0.33766	19.534	1.0281e-002	19.531
2.75	45.15	81.72	0.	19.456	0.38292	19.543	9.1159e-003	19.54
2.8333	45.233	81.72	0.	19.456	0.42819	19.551	8.0007e-003	19.548
2.9167	45.317	81.72	0.	19.456	0.47346	19.56	6.8588e-003	19.557
3.	45.4	81.72	0.	19.456	0.51874	19.57	5.7007e-003	19.565
3.0833	45.483	81.72	0.	19.456	0.56402	19.579	5.7556e-003	19.573
3.1667	45.567	81.72	0.	19.456	0.60931	19.588	6.9958e-003	19.582
3.25	45.65	81.72	0.	19.456	0.6546	19.597	8.9413e-003	19.59
3.3333	45.733	81.72	0.	19.456	0.69988	19.607	1.1232e-002	19.599
3.4167	45.817	81.72	0.	19.456	0.74518	19.617	1.3696e-002	19.607
3.5	45.9	81.72	0.	19.456	0.79047	19.626	1.6866e-002	19.616
3.5833	45.983	81.72	0.	19.456	0.83576	19.636	2.1087e-002	19.624
3.6667	46.067	81.72	0.	19.456	0.88105	19.646	2.536e-002	19.633
3.75	46.15	81.72	0.	19.456	0.92635	19.656	2.9664e-002	19.641
3.8333	46.233	81.72	0.	19.456	0.97164	19.666	3.3986e-002	19.649
3.9167	46.317	81.72	0.	19.456	1.0169	19.676	3.8321e-002	19.658
4.	46.4	81.72	0.	19.456	1.0622	19.687	4.2665e-002	19.667
