	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.2851	-0.87064	-3.621	-0.25475	0.	0.	-0.18979	-0.96596	-3.621	3.4312	3.1165
Bending (Inside)	-0.69252	-6.102	-7.0314	0.	0.	0.	-0.69252	-6.102	-7.0314	6.3389	5.9291
Bending (Outside)	0.61785	5.6379	7.0314	0.	0.	0.	7.0314	5.6379	0.61785	6.4136	5.8428
Membrane+Bending (Inside)	-0.97762	-6.9726	-10.652	-0.25475	0.	0.	-0.96681	-6.9834	-10.652	9.6856	8.4697
Membrane+Bending (Center)	-0.32244	-1.1027	-3.621	-0.25475	0.	0.	-0.24663	-1.1785	-3.621	3.3744	3.0183
Membrane+Bending (Outside)	0.33275	4.7673	3.4104	-0.25475	0.	0.	4.7819	3.4104	0.31816	4.4637	3.9603
Peak (Inside)	0.	0.51602	3.2769	0.79699	0.	0.	3.2769	1.0957	-0.5797	3.8566	3.3495
Peak (Center)	-4.2667e-002	-0.24742	0.35745	-3.1798e-003	0.	0.	0.35745	-4.2618e-002	-0.24747	0.60492	0.53289
Peak (Outside)	0.	1.1815	-0.56387	-1.0512	0.	0.	1.7966	-0.56387	-0.6151	2.4117	2.3865
Total (Inside)	-0.97762	-6.4566	-7.3755	0.54224	0.	0.	-0.92447	-6.5098	-7.3755	6.4511	6.0647
Total (Center)	-0.3651	-1.3501	-3.2636	-0.25793	0.	0.	-0.30165	-1.4135	-3.2636	2.9619	2.5915
Total (Outside)	0.33275	5.9488	2.8465	-1.306	0.	0.	6.2376	2.8465	4.3907e-002	6.1937	5.372

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.	2.1511e-013	0.	3.1165	5.9291	8.4697	3.3495	6.0647
8.4086e-002	15.084	2.1511e-013	0.	3.1165	5.6841	8.2307	2.4362	6.5039
0.16817	15.168	2.1511e-013	0.	3.1165	5.4392	7.9921	1.6046	7.012
0.25226	15.252	2.1511e-013	0.	3.1165	5.1943	7.7539	1.0639	7.5746
0.33634	15.336	2.1511e-013	0.	3.1165	4.9495	7.5162	1.2647	8.1802
0.42043	15.42	2.1511e-013	0.	3.1165	4.7046	7.2789	1.4306	8.1926
0.50451	15.505	2.1511e-013	0.	3.1165	4.4598	7.0422	1.4001	7.9446
0.5886	15.589	2.1511e-013	0.	3.1165	4.215	6.806	1.3757	7.706
0.67269	15.673	2.1511e-013	0.	3.1165	3.9702	6.5705	1.3583	7.4781
0.75677	15.757	2.1511e-013	0.	3.1165	3.7255	6.3358	1.2989	7.2184
0.84086	15.841	2.1511e-013	0.	3.1165	3.4808	6.1018	1.1807	6.9096
0.92494	15.925	2.1511e-013	0.	3.1165	3.2362	5.8688	1.0335	6.5733
1.009	16.009	2.1511e-013	0.	3.1165	2.9917	5.6368	0.86832	6.2173
1.0931	16.093	2.1511e-013	0.	3.1165	2.7473	5.4059	0.68957	5.8449
1.1772	16.177	2.1511e-013	0.	3.1165	2.503	5.1764	0.54334	5.4932
1.2613	16.261	2.1511e-013	0.	3.1165	2.2589	4.9483	0.41806	5.1583
1.3454	16.345	2.1511e-013	0.	3.1165	2.015	4.722	0.31478	4.8388
1.4295	16.429	2.1511e-013	0.	3.1165	1.7714	4.4976	0.2388	4.5276
1.5135	16.514	2.1511e-013	0.	3.1165	1.5284	4.2754	0.20424	4.2251
1.5976	16.598	2.1511e-013	0.	3.1165	1.2861	4.056	0.22232	3.9374
1.6817	16.682	2.1511e-013	0.	3.1165	1.0451	3.8396	0.2723	3.6539
1.7658	16.766	2.1511e-013	0.	3.1165	0.80663	3.6269	0.33844	3.3737
1.8499	16.85	2.1511e-013	0.	3.1165	0.57372	3.4185	0.41194	3.0975
1.934	16.934	2.1511e-013	0.	3.1165	0.35748	3.2153	0.48853	2.8258
2.0181	17.018	2.1511e-013	0.	3.1165	0.2158	3.0183	0.53289	2.5915
2.1021	17.102	2.1511e-013	0.	3.1165	0.29237	2.8289	0.56353	2.3772
2.1862	17.186	2.1511e-013	0.	3.1165	0.4945	2.6486	0.59647	2.1688
2.2703	17.27	2.1511e-013	0.	3.1165	0.72368	2.4795	0.63146	1.9683
2.3544	17.354	2.1511e-013	0.	3.1165	0.96075	2.3239	0.66831	1.7786
2.4385	17.438	2.1511e-013	0.	3.1165	1.201	2.1848	0.6781	1.6318
2.5226	17.523	2.1511e-013	0.	3.1165	1.4429	2.0655	0.66525	1.5299
2.6067	17.607	2.1511e-013	0.	3.1165	1.6858	1.9696	0.65655	1.4523
2.6907	17.691	2.1511e-013	0.	3.1165	1.9292	1.9007	0.65502	1.3997
2.7748	17.775	2.1511e-013	0.	3.1165	2.173	1.8618	0.65624	1.3816
2.8589	17.859	2.1511e-013	0.	3.1165	2.417	1.8546	0.64037	1.4191
2.943	17.943	2.1511e-013	0.	3.1165	2.6612	1.8797	0.60159	1.5159
3.0271	18.027	2.1511e-013	0.	3.1165	2.9056	1.9358	0.57134	1.6371
3.1112	18.111	2.1511e-013	0.	3.1165	3.1501	2.0202	0.55088	1.7779
3.1953	18.195	2.1511e-013	0.	3.1165	3.3947	2.1296	0.54118	1.9344
3.2793	18.279	2.1511e-013	0.	3.1165	3.6393	2.2604	0.5337	2.1273
3.3634	18.363	2.1511e-013	0.	3.1165	3.884	2.4091	0.54244	2.3589
3.4475	18.448	2.1511e-013	0.	3.1165	4.1288	2.5726	0.58359	2.5956
3.5316	18.532	2.1511e-013	0.	3.1165	4.3736	2.7483	0.65095	2.8363
3.6157	18.616	2.1511e-013	0.	3.1165	4.6184	2.9339	0.73726	3.0804
3.6998	18.7	2.1511e-013	0.	3.1165	4.8632	3.1277	0.92251	3.4728
3.7839	18.784	2.1511e-013	0.	3.1165	5.1081	3.3283	1.2308	3.951
3.8679	18.868	2.1511e-013	0.	3.1165	5.353	3.5345	1.5866	4.4263
