	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.57447	-0.81406	-6.4968	0.24	0.	0.	-0.42603	-0.9625	-6.4968	6.0707	5.8211
Bending (Inside)	-0.16367	-5.9793	-12.959	0.	0.	0.	-0.16367	-5.9793	-12.959	12.796	11.097
Bending (Outside)	0.88811	5.5191	12.959	0.	0.	0.	12.959	5.5191	0.88811	12.071	10.548
Membrane+Bending (Inside)	-0.73814	-6.7933	-19.456	0.24	0.	0.	-0.72864	-6.8028	-19.456	18.727	16.549
Membrane+Bending (Center)	-0.21225	-1.0441	-6.4968	0.24	0.	0.	-0.14797	-1.1084	-6.4968	6.3488	5.9272
Membrane+Bending (Outside)	0.31365	4.7051	6.4626	0.24	0.	0.	6.4626	4.7181	0.30057	6.162	5.5013
Peak (Inside)	0.	-0.2424	-10.072	1.4648	0.	0.	1.3486	-1.591	-10.072	11.421	10.272
Peak (Center)	-0.47209	6.4162e-002	2.4861	0.10507	0.	0.	2.4861	8.4012e-002	-0.49194	2.978	2.7359
Peak (Outside)	5.8208e-017	-0.1695	-3.9643	-1.4355	0.	0.	1.3532	-1.5227	-3.9643	5.3175	4.6102
Total (Inside)	-0.73814	-7.0357	-29.528	1.7048	0.	0.	-0.30627	-7.4676	-29.528	29.222	26.381
Total (Center)	-0.68434	-0.97998	-4.0107	0.34507	0.	0.	-0.45676	-1.2076	-4.0107	3.5539	3.2443
Total (Outside)	0.31365	4.5355	2.4983	-1.1955	0.	0.	4.8505	2.4983	-1.3495e-003	4.8519	4.2025

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.178	-1.0635	0.	5.8211	11.097	16.549	10.272	26.381
8.6287e-002	15.265	-1.0635	0.	5.8211	10.646	16.101	8.4888	24.165
0.17257	15.351	-1.0635	0.	5.8211	10.196	15.654	6.7014	21.937
0.25886	15.437	-1.0635	0.	5.8211	9.7462	15.206	4.9202	19.699
0.34515	15.523	-1.0635	0.	5.8211	9.2961	14.759	3.1796	17.452
0.43144	15.61	-1.0635	0.	5.8211	8.8461	14.312	2.1405	15.839
0.51772	15.696	-1.0635	0.	5.8211	8.3961	13.866	1.6051	14.664
0.60401	15.782	-1.0635	0.	5.8211	7.9462	13.419	1.2982	13.474
0.6903	15.869	-1.0635	0.	5.8211	7.4963	12.973	1.3943	12.298
0.77658	15.955	-1.0635	0.	5.8211	7.0466	12.527	1.8091	11.142
0.86287	16.041	-1.0635	0.	5.8211	6.597	12.082	2.0514	10.362
0.94916	16.127	-1.0635	0.	5.8211	6.1475	11.637	2.3008	9.6033
1.0354	16.214	-1.0635	0.	5.8211	5.6982	11.192	2.5472	8.8657
1.1217	16.3	-1.0635	0.	5.8211	5.2491	10.748	2.7851	8.1483
1.208	16.386	-1.0635	0.	5.8211	4.8002	10.304	2.9771	7.4869
1.2943	16.473	-1.0635	0.	5.8211	4.3517	9.8615	3.0393	6.9658
1.3806	16.559	-1.0635	0.	5.8211	3.9037	9.4193	3.0953	6.4524
1.4669	16.645	-1.0635	0.	5.8211	3.4564	8.9779	3.1457	5.9463
1.5532	16.731	-1.0635	0.	5.8211	3.01	8.5375	3.1911	5.447
1.6395	16.818	-1.0635	0.	5.8211	2.5651	8.0982	3.1834	5.0033
1.7257	16.904	-1.0635	0.	5.8211	2.1226	7.6603	3.1027	4.6359
1.812	16.99	-1.0635	0.	5.8211	1.6843	7.2238	3.0222	4.2708
1.8983	17.077	-1.0635	0.	5.8211	1.2547	6.7892	2.9421	3.9089
1.9846	17.163	-1.0635	0.	5.8211	0.8473	6.3569	2.8623	3.5509
2.0709	17.249	-1.0635	0.	5.8211	0.51718	5.9272	2.7359	3.2443
2.1572	17.335	-1.0635	0.	5.8211	0.47228	5.5009	2.5637	2.9902
2.2435	17.422	-1.0635	0.	5.8211	0.7646	5.0788	2.3918	2.7452
2.3298	17.508	-1.0635	0.	5.8211	1.1628	4.662	2.2203	2.5121
