	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.42349	-0.83582	-6.2138	-7.6964e-003	0.	0.	-0.42335	-0.83596	-6.2138	5.7905	5.5956
Bending (Inside)	-0.38833	-6.0446	-12.232	0.	0.	0.	-0.38833	-6.0446	-12.232	11.844	10.261
Bending (Outside)	0.78701	5.5783	12.232	0.	0.	0.	12.232	5.5783	0.78701	11.445	9.9555
Membrane+Bending (Inside)	-0.81182	-6.8804	-18.446	-7.6964e-003	0.	0.	-0.81181	-6.8804	-18.446	17.634	15.517
Membrane+Bending (Center)	-0.22415	-1.069	-6.2138	-7.6964e-003	0.	0.	-0.22408	-1.0691	-6.2138	5.9898	5.6152
Membrane+Bending (Outside)	0.36352	4.7425	6.0184	-7.6964e-003	0.	0.	6.0184	4.7425	0.3635	5.6549	5.1372
Peak (Inside)	0.	0.31163	-7.8725	1.032	0.	0.	1.1995	-0.88791	-7.8725	9.072	8.2293
Peak (Center)	-0.29667	-0.11412	2.2125	7.4536e-002	0.	0.	2.2125	-8.7548e-002	-0.32324	2.5357	2.4264
Peak (Outside)	0.	0.1534	-3.5437	-1.3294	0.	0.	1.4083	-1.2549	-3.5437	4.9519	4.2926
Total (Inside)	-0.81182	-6.5688	-26.319	1.0243	0.	0.	-0.635	-6.7456	-26.319	25.684	23.239
Total (Center)	-0.52082	-1.1831	-4.0014	6.684e-002	0.	0.	-0.51414	-1.1898	-4.0014	3.4872	3.2033
Total (Outside)	0.36352	4.8959	2.4747	-1.3371	0.	0.	5.2609	2.4747	-1.532e-003	5.2624	4.56

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.064	-0.53596	0.	5.5956	10.261	15.517	8.2293	23.239
8.5894e-002	15.15	-0.53671	0.	5.5956	9.8399	15.099	6.9304	21.555
0.17179	15.236	-0.53747	0.	5.5956	9.4192	14.681	5.6327	19.868
0.25768	15.322	-0.53822	0.	5.5956	8.9986	14.264	4.3432	18.179
0.34358	15.408	-0.53898	0.	5.5956	8.578	13.847	3.0798	16.487
0.42947	15.493	-0.53973	0.	5.5956	8.1574	13.43	2.2985	15.251
0.51536	15.579	-0.54049	0.	5.5956	7.7369	13.013	1.6688	14.119
0.60126	15.665	-0.54124	0.	5.5956	7.3164	12.596	1.179	12.985
0.68715	15.751	-0.54199	0.	5.5956	6.8959	12.18	1.0541	11.85
0.77304	15.837	-0.54275	0.	5.5956	6.4756	11.764	1.2304	10.958
0.85894	15.923	-0.5435	0.	5.5956	6.0553	11.348	1.4917	10.144
0.94483	16.009	-0.54426	0.	5.5956	5.6351	10.933	1.7828	9.362
1.0307	16.095	-0.54501	0.	5.5956	5.215	10.519	2.0778	8.608
1.1166	16.181	-0.54577	0.	5.5956	4.795	10.104	2.2613	7.985
1.2025	16.267	-0.54652	0.	5.5956	4.3753	9.6908	2.3248	7.4901
1.2884	16.352	-0.54728	0.	5.5956	3.9558	9.2779	2.443	6.9449
1.3743	16.438	-0.54803	0.	5.5956	3.5366	8.8657	2.5783	6.3859
1.4602	16.524	-0.54878	0.	5.5956	3.118	8.4544	2.7062	5.8364
1.5461	16.61	-0.54954	0.	5.5956	2.7	8.0441	2.7869	5.3355
1.632	16.696	-0.55029	0.	5.5956	2.2831	7.6349	2.7391	4.963
1.7179	16.782	-0.55105	0.	5.5956	1.868	7.2271	2.6919	4.5913
1.8038	16.868	-0.5518	0.	5.5956	1.4562	6.8208	2.6455	4.2206
1.8897	16.954	-0.55256	0.	5.5956	1.0518	6.4165	2.5997	3.8515
1.9756	17.04	-0.55331	0.	5.5956	0.66801	6.0145	2.5547	3.4843
2.0615	17.125	-0.55407	0.	5.5956	0.37495	5.6152	2.4264	3.2033
2.1473	17.211	-0.55482	0.	5.5956	0.43507	5.2193	2.2826	2.9432
2.2332	17.297	-0.55558	0.	5.5956	0.76964	4.8276	2.1397	2.6894
2.3191	17.383	-0.55633	0.	5.5956	1.1618	4.4413	1.9976	2.4441
2.405	17.469	-0.55708	0.	5.5956	1.5689	4.0619	1.8567	2.21
2.4909	17.555	-0.55784	0.	5.5956	1.9818	3.6915	1.68	2.0293
2.5768	17.641	-0.55859	0.	5.5956	2.3975	3.3331	1.4705	1.9045
2.6627	17.727	-0.55935	0.	5.5956	2.8148	2.9911	1.2638	1.805
2.7486	17.813	-0.5601	0.	5.5956	3.233	2.6717	1.0616	1.7353
2.8345	17.898	-0.56086	0.	5.5956	3.6518	2.384	0.86722	1.6992
2.9204	17.984	-0.56161	0.	5.5956	4.0711	2.1409	0.67788	1.7124
3.0063	18.07	-0.56237	0.	5.5956	4.4907	1.959	0.50453	1.802
3.0922	18.156	-0.56312	0.	5.5956	4.9105	1.8565	0.45182	1.9178
3.1781	18.242	-0.56387	0.	5.5956	5.3304	1.8465	0.5561	2.0556
3.264	18.328	-0.56463	0.	5.5956	5.7506	1.9305	0.75556	2.2116
3.3499	18.414	-0.56538	0.	5.5956	6.1708	2.0973	1.0144	2.4004
3.4358	18.5	-0.56614	0.	5.5956	6.5911	2.3291	1.3416	2.6449
3.5216	18.586	-0.56689	0.	5.5956	7.0115	2.6087	1.6761	2.8923
3.6075	18.671	-0.56765	0.	5.5956	7.432	2.9223	2.0017	3.1296
3.6934	18.757	-0.5684	0.	5.5956	7.8525	3.2603	2.3367	3.3711
3.7793	18.843	-0.56916	0.	5.5956	8.273	3.6156	2.7366	3.6093
3.8652	18.929	-0.56991	0.	5.5956	8.6936	3.9838	3.1318	3.8479
3.9511	19.015	-0.57067	0.	5.5956	9.1142	4.3615	3.5226	4.0862
4.037	19.101	-0.57142	0.	5.5956	9.5348	4.7465	3.9094	4.3237
4.1229	19.187	-0.57217	0.	5.5956	9.9555	5.1372	4.2926	4.56
