	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.49557	-0.83056	-6.7733	0.10345	0.	0.	-0.4662	-0.85993	-6.7733	6.3071	6.1197
Bending (Inside)	-0.38739	-6.0516	-13.487	0.	0.	0.	-0.38739	-6.0516	-13.487	13.1	11.379
Bending (Outside)	0.78837	5.586	13.487	0.	0.	0.	13.487	5.586	0.78837	12.699	11.107
Membrane+Bending (Inside)	-0.88296	-6.8822	-20.261	0.10345	0.	0.	-0.88118	-6.8839	-20.261	19.38	17.183
Membrane+Bending (Center)	-0.29508	-1.0634	-6.7733	0.10345	0.	0.	-0.2814	-1.077	-6.7733	6.4919	6.1329
Membrane+Bending (Outside)	0.29279	4.7554	6.7141	0.10345	0.	0.	6.7141	4.7578	0.2904	6.4237	5.7031
Peak (Inside)	0.	-5.814e-004	-11.936	1.2462	0.	0.	1.2459	-1.2465	-11.936	13.182	12.129
Peak (Center)	-0.29546	-4.0471e-002	2.6473	8.6223e-002	0.	0.	2.6473	-1.4052e-002	-0.32187	2.9692	2.8278
Peak (Outside)	5.8208e-017	2.4214e-002	-4.2713	-1.3166	0.	0.	1.3287	-1.3045	-4.2713	5.6001	4.8527
Total (Inside)	-0.88296	-6.8827	-32.197	1.3497	0.	0.	-0.59333	-7.1724	-32.197	31.603	28.881
Total (Center)	-0.59054	-1.1038	-4.126	0.18967	0.	0.	-0.52806	-1.1663	-4.126	3.598	3.3251
Total (Outside)	0.29279	4.7797	2.4428	-1.2131	0.	0.	5.0867	2.4428	-1.4198e-002	5.1009	4.4185

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.115	-0.80108	0.	6.1197	11.379	17.183	12.129	28.881
8.5902e-002	15.201	-0.80032	0.	6.1197	10.911	16.718	9.9053	26.227
0.1718	15.287	-0.79957	0.	6.1197	10.444	16.253	7.6533	23.543
0.25771	15.373	-0.79881	0.	6.1197	9.9755	15.788	5.442	20.889
0.34361	15.459	-0.79805	0.	6.1197	9.5076	15.323	3.2803	18.249
0.42951	15.544	-0.79729	0.	6.1197	9.0397	14.858	2.1898	16.623
0.51541	15.63	-0.79654	0.	6.1197	8.5719	14.394	1.4693	15.269
0.60132	15.716	-0.79578	0.	6.1197	8.104	13.929	1.0868	13.927
0.68722	15.802	-0.79502	0.	6.1197	7.6363	13.466	1.3408	12.599
0.77312	15.888	-0.79427	0.	6.1197	7.1685	13.002	1.775	11.526
0.85902	15.974	-0.79351	0.	6.1197	6.7009	12.539	2.1098	10.66
0.94493	16.06	-0.79275	0.	6.1197	6.2334	12.076	2.4379	9.8276
1.0308	16.146	-0.79199	0.	6.1197	5.7659	11.613	2.7518	9.0233
1.1167	16.232	-0.79124	0.	6.1197	5.2986	11.151	3.0496	8.2436
1.2026	16.317	-0.79048	0.	6.1197	4.8315	10.69	3.1541	7.6649
1.2885	16.403	-0.78972	0.	6.1197	4.3646	10.229	3.2191	7.1274
1.3744	16.489	-0.78896	0.	6.1197	3.8981	9.7691	3.2755	6.5994
1.4603	16.575	-0.78821	0.	6.1197	3.432	9.3098	3.3238	6.0804
1.5462	16.661	-0.78745	0.	6.1197	2.9666	8.8515	3.3643	5.57
1.6321	16.747	-0.78669	0.	6.1197	2.5022	8.3942	3.3235	5.142
1.718	16.833	-0.78594	0.	6.1197	2.0397	7.9382	3.2379	4.7603
