Node Number	Maximum Principal Stress (MPa)
1	1.0524e-002
2	2.7819
3	0.33732
4	1.0626
5	1.6007
6	2.0394
7	2.4235
8	5.8659
9	5.3468
10	5.0453
11	4.6707
12	4.1815
13	3.5757
14	3.2413
15	3.8395
16	4.3866
17	4.8428
18	5.1766
19	5.3857
20	5.4783
21	5.4722
22	5.3892
23	5.2499
24	5.073
25	4.8735
26	4.6636
27	4.4525
28	4.2475
29	4.053
30	3.8719
31	3.7062
32	3.5562
33	3.4221
34	3.3034
35	3.1996
36	3.1095
37	3.0323
38	2.9676
39	2.9137
40	2.8704
41	2.8363
42	2.8108
43	2.7929
44	2.7819
45	2.7767
46	2.7764
47	2.7809
48	2.7888
49	2.8
50	2.8138
51	2.8291
52	2.8456
53	2.8623
54	2.8785
55	2.8935
56	2.9064
57	2.9169
58	2.9245
59	2.9291
60	2.9312
61	2.9309
62	2.9287
63	2.925
64	2.9202
65	2.915
66	2.9094
67	2.9036
68	2.8976
69	2.8916
70	2.8851
71	2.8782
72	2.87
73	2.8605
74	2.8491
75	2.8356
76	2.82
77	2.8021
78	2.7827
79	2.762
80	2.74
81	2.7181
82	2.6959
83	2.6738
84	2.6521
85	2.6304
86	2.6091
87	2.5876
88	2.5656
89	2.5426
90	2.5185
91	2.493
92	2.4661
93	2.4381
94	2.4094
95	2.3804
96	2.3512
97	2.3227
98	2.2948
99	2.2678
100	2.242
101	2.2173
102	2.1934
103	2.1704
104	2.1482
105	2.1267
106	2.106
107	2.0866
108	2.0687
109	2.0532
110	2.0407
111	2.0316
112	2.0265
113	2.0257
114	2.0298
115	2.0391
116	2.0534
117	2.0738
118	2.1008
119	2.1359
120	2.1816
121	2.2427
122	2.3245
123	2.4352
124	2.5878
125	5.5905
126	6.1178
127	23.616
128	23.264
129	22.856
130	22.42
131	21.968
132	21.499
133	21.018
134	20.527
135	20.027
136	19.521
137	19.009
138	18.493
139	17.974
140	17.455
141	16.937
142	16.422
143	15.91
144	15.405
145	14.906
146	14.416
147	13.937
148	13.468
149	13.012
150	12.569
151	12.14
152	11.727
153	11.329
154	10.949
155	10.585
156	10.238
157	9.9103
158	9.5998
159	9.3072
160	9.032
161	8.7736
162	8.5304
163	8.3017
164	8.0856
165	7.8798
166	7.6825
167	7.4909
168	7.3031
169	7.1161
170	6.9274
171	6.734
172	6.5329
173	6.3202
174	6.0918
175	5.8427
176	5.5677
177	5.2615
178	4.9192
179	4.5377
180	4.118
181	3.666
182	3.8572
183	4.3554
184	4.8666
185	30.542
186	30.673
187	30.8
188	30.916
189	31.008
190	31.066
191	31.076
192	31.047
193	30.971
194	30.847
195	30.683
196	30.473
197	30.224
198	29.938
199	29.617
200	29.263
201	28.876
202	28.462
203	28.02
204	27.553
205	27.061
206	26.544
207	26.012
208	25.472
209	24.963
210	24.49
211	24.044
212	3.0258
213	30.424
214	30.295
215	30.155
216	30.001
217	29.834
218	29.655
219	29.463
220	29.257
221	29.038
222	28.806
223	28.56
224	28.301
225	28.028
226	27.741
227	27.461
228	27.289
229	27.092
230	26.868
231	26.616
232	26.336
233	26.029
234	25.691
235	25.324
236	24.926
237	24.497
238	24.036
239	23.542
240	23.015
241	22.455
242	21.861
243	21.233
244	20.571
245	19.88
246	19.136
247	18.442
248	17.845
249	17.235
250	16.612
251	15.977
252	15.328
253	14.668
254	13.996
255	13.312
256	12.616
257	11.909
258	11.19
259	10.46
260	9.7189
261	8.9669
262	8.2043
263	7.4292
264	6.6438
265	5.8469
266	5.0387
267	4.22
268	3.3923
269	2.5584
270	1.7224
271	0.89256
272	7.8996e-002
273	-1.1093e-002
274	-2.6884e-002
275	-3.6403e-002
276	-3.7485e-002
277	-4.3661e-002
278	-5.2013e-002
279	-6.5394e-002
280	-8.1577e-002
281	-9.1863e-002
282	-0.11181
283	-5.1516e-002
284	0.8218
285	27.978
286	27.784
287	27.581
288	27.369
289	27.148
290	26.918
291	26.679
292	26.43
293	26.171
294	25.903
295	25.624
296	25.336
297	25.037
298	24.728
299	24.407
300	24.077
301	23.735
302	23.383
303	23.018
304	22.644
305	22.257
306	21.86
307	21.45
308	21.029
309	20.597
310	20.153
311	19.697
312	19.23
313	18.751
314	18.259
315	17.757
316	17.243
317	16.717
318	16.18
319	15.632
320	15.071
321	14.502
322	13.92
323	13.328
324	12.725
325	12.113
326	11.49
327	10.858
328	10.217
329	9.5662
330	8.9074
331	8.2396
332	7.5635
333	6.8796
334	6.1877
335	5.4883
336	4.7817
337	4.0684
338	3.3492
339	2.6221
340	1.8916
341	1.1546
342	0.41849
343	8.1844e-003
344	-1.819e-003
345	-6.4941e-003
346	-1.3534e-002
347	-2.5032e-002
348	-4.1302e-002
349	-5.9311e-002
350	-7.921e-002
351	-8.662e-002
352	-8.1787e-002
353	-7.6475e-002
354	-9.0058e-002
355	-0.10569
356	-6.7283e-002
357	0.67191
358	28.983
359	28.981
360	28.978
361	28.973
362	28.968
363	28.963
364	28.96
365	28.957
366	28.957
367	28.957
368	28.958
369	28.959
370	28.961
371	28.964
372	28.966
373	28.968
374	28.97
375	28.971
376	28.973
377	28.974
378	28.974
379	28.975
380	28.975
381	28.975
382	28.975
383	28.975
384	28.974
385	28.973
386	28.972
387	28.971
388	28.97
389	28.968
390	28.967
391	28.965
392	28.964
393	28.962
394	28.96
395	28.959
396	28.957
397	28.955
398	28.953
399	28.951
400	28.949
401	28.947
402	28.945
403	28.943
404	28.941
405	28.939
406	28.936
407	28.934
408	28.931
409	28.929
410	28.927
411	28.924
412	28.922
413	28.919
414	28.917
415	28.914
416	28.911
417	28.909
418	28.906
419	28.903
420	28.901
421	28.898
422	28.895
423	28.893
424	28.89
425	28.888
426	28.886
427	28.884
428	28.882
429	28.88
430	28.878
431	28.877
432	28.876
433	28.876
434	28.876
435	28.876
436	28.877
437	28.879
438	28.881
439	28.884
440	28.887
441	28.892
442	28.897
443	28.904
444	28.912
445	28.92
446	28.93
447	28.941
448	28.954
449	28.968
450	28.984
451	29.002
452	29.021
453	29.042
454	29.065
455	29.09
456	29.117
457	29.146
458	29.178
459	29.211
460	29.247
461	29.286
462	29.327
463	29.37
464	29.416
465	29.464
466	29.514
467	29.567
468	29.622
469	29.679
470	29.738
471	29.799
472	29.862
473	29.926
474	29.991
475	30.058
476	30.124
477	30.192
478	30.258
479	30.324
480	30.388
481	30.451
482	30.511
483	30.568
484	30.621
485	30.67
486	30.712
487	30.748
488	30.776
489	30.795
490	30.803
491	30.801
492	30.786
493	30.756
494	30.711
495	30.648
496	30.566
497	30.463
498	30.338
499	30.189
500	30.013
501	29.809
502	29.578
503	29.326
504	29.066
505	28.812
506	28.565
507	28.331
508	28.158
509	27.515
510	28.68
511	28.372
512	28.052
513	27.737
514	20.83
515	27.419
516	27.338
517	27.269
518	27.295
519	27.27
520	27.271
521	27.28
522	27.298
523	27.301
524	27.307
525	27.327
526	27.329
527	27.333
528	27.35
529	27.351
530	27.354
531	27.368
532	27.368
533	27.37
534	27.38
535	27.379
536	27.38
537	27.387
538	27.385
539	27.385
540	27.391
541	27.388
542	27.387
543	27.391
544	27.388
545	27.386
546	27.389
547	27.386
548	27.384
549	27.385
550	27.382
551	27.38
552	27.38
553	27.377
554	27.374
555	27.375
556	27.371
557	27.368
558	27.368
559	27.365
560	27.362
561	27.362
562	27.359
563	27.356
564	27.356
565	27.353
566	27.351
567	27.351
568	27.348
569	27.347
570	27.347
571	27.345
572	27.344
573	27.344
574	27.343
575	27.344
576	27.344
577	27.343
578	27.345
579	27.346
580	27.347
581	27.35
582	27.352
583	27.354
584	27.359
585	27.362
586	27.366
587	27.372
588	27.378
589	27.383
590	27.391
591	27.399
592	27.407
593	27.417
594	27.427
595	27.437
596	27.45
597	27.463
598	27.475
599	27.491
600	27.506
601	27.522
602	27.54
603	27.558
604	27.577
605	27.598
606	27.619
607	27.64
608	27.663
609	27.686
610	27.71
611	27.735
612	27.76
613	27.785
614	27.811
615	27.837
616	27.862
617	27.888
618	27.913
619	27.936
620	27.96
621	27.982
622	28.003
623	28.022
624	28.039
625	28.052
626	28.065
627	28.072
628	28.076
629	28.076
630	28.071
631	28.06
632	28.045
633	28.021
634	27.991
635	27.954
636	27.907
637	27.851
638	27.786
639	27.709
640	27.621
641	27.521
642	27.407
643	27.279
644	27.137
645	26.979
646	26.803
647	26.612
648	26.402
649	26.172
650	25.925
651	25.655
652	25.365
653	25.054
654	24.72
655	24.365
656	23.986
657	23.585
658	23.168
659	22.746
660	22.339
661	21.96
662	21.633
663	21.354
664	21.095
665	135.92
666	20.589
667	20.344
668	20.095
669	19.842
670	19.586
671	19.326
672	19.063
673	18.797
674	18.529
675	18.258
676	17.985
677	17.709
678	17.432
679	17.152
680	16.873
681	16.592
682	16.31
683	16.027
684	15.745
685	15.463
686	15.181
687	14.901
688	14.622
689	14.345
690	14.071
691	13.8
692	13.532
693	13.267
694	13.008
695	12.753
696	12.504
697	12.261
698	12.025
699	11.795
700	11.577
701	11.364
702	11.162
703	10.971
704	11.28
705	12.1
706	12.96
707	13.859
708	14.799
709	15.78
710	16.803
711	17.867
712	18.973
713	20.12
714	21.306
715	22.531
716	23.784
717	25.097
718	26.431
719	27.802
720	29.204
721	30.637
722	32.106
723	33.619
724	35.196
725	36.88
726	38.727
727	40.883
728	43.598
729	47.408
730	53.37
731	71.624
732	16.832
733	16.517
734	16.192
735	15.864
736	15.542
737	15.209
738	14.886
739	14.551
740	14.218
741	13.896
742	13.561
743	13.231
744	12.908
745	12.577
746	12.26
747	11.938
748	11.619
749	11.311
750	10.996
751	10.697
752	10.396
753	10.099
754	9.8173
755	9.5308
756	9.2547
757	8.9931
758	8.729
759	8.4845
760	8.2431
761	8.0112
762	7.7966
763	7.5841
764	7.3931
765	7.2096
766	7.039
767	6.8902
768	6.7465
769	6.6222
770	7.1944
771	8.142
772	9.1294
773	10.152
774	11.214
775	12.314
776	13.453
777	14.629
778	15.843
779	17.094
780	18.384
781	19.709
782	21.068
783	22.46
784	23.883
785	25.333
786	26.808
787	28.307
788	29.829
789	31.38
790	32.967
791	34.613
792	36.354
793	38.265
794	40.479
795	43.274
796	47.152
797	53.133
798	71.784
799	24.4
800	24.666
801	24.845
802	24.952
803	25.086
804	25.102
805	25.113
806	25.072
807	24.953
808	24.851
809	24.629
810	24.38
811	24.11
812	23.826
813	23.463
814	23.059
815	22.616
816	22.138
817	21.629
818	21.091
819	20.514
820	19.919
821	19.325
822	18.753
823	18.235
824	17.752
825	17.301
826	-0.98469
827	24.134
828	23.854
829	23.743
830	23.7
831	23.502
832	23.407
833	23.301
834	23.026
835	22.912
836	22.744
837	22.36
838	22.244
839	22.031
840	21.546
841	21.467
842	21.126
843	20.605
844	20.499
845	19.867
846	19.632
847	19.396
848	18.721
849	18.576
850	18.192
851	17.47
852	17.361
853	16.897
854	16.191
855	16.02
856	15.591
857	14.838
858	14.88
859	14.208
860	13.663
861	13.277
862	12.63
863	12.234
864	12.154
865	11.224
866	11.429
867	10.849
868	9.8364
869	10.482
870	9.6878
871	9.4169
872	8.9382
873	8.8005
874	7.9019
875	8.55
876	6.4521
877	6.9783
878	7.5842
879	4.5945
880	5.6469
881	5.0863
882	1.8094
883	5.3885
884	6.0466
885	2.7768
886	3.4949
887	2.3295
888	2.464
889	1.3024
890	-0.32805
891	0.24407
892	-0.88006
893	-9.4233e-002
894	-0.57582
895	-0.62543
896	-0.65488
897	-1.2803
898	0.89655
899	0.71596
900	-2.45
901	-2.8858
902	2.2494
903	1.688
904	4.0755
905	5.5413
906	5.6025
907	5.5303
908	5.4412
909	5.2839
910	4.9449
911	4.6696
912	4.3837
913	3.9917
914	3.6711
915	3.371
916	3.
917	2.7032
918	2.4413
919	2.1254
920	1.8825
921	1.6679
922	1.3895
923	1.1581
924	0.95496
925	0.71958
926	0.53287
927	0.37889
928	0.19617
929	5.6588e-002
930	-5.3789e-002
931	-0.16573
932	-0.24785
933	-0.24748
934	-0.23703
935	-0.23418
936	-0.23387
937	-0.22367
938	-0.22097
939	-0.22122
940	-0.2108
941	-0.20833
942	-0.20915
943	-0.19832
944	-0.19665
945	-0.19706
946	-0.1878
947	-0.18577
948	-0.18534
949	-0.1777
950	-0.17535
951	-0.17518
952	-0.16768
953	-0.16556
954	-0.16578
955	-0.15811
956	-0.15688
957	-0.15382
958	-0.15164
959	-0.1505
960	-0.14216
961	-0.14374
962	-0.14222
963	-0.13497
964	-0.13572
965	-0.13397
966	-0.12833
967	-0.12862
968	-0.12704
969	-0.12144
970	-0.12194
971	-0.12065
972	-0.1148
973	-0.11575
974	-0.11473
975	-0.10843
976	-0.10978
977	-0.10887
978	-0.1039
979	-0.10445
980	-0.10076
981	-9.9805e-002
982	-9.9682e-002
983	-9.5833e-002
984	-9.4845e-002
985	-9.4906e-002
986	-9.1059e-002
987	-9.0153e-002
988	-9.0537e-002
989	-8.6476e-002
990	-8.5521e-002
991	-8.6021e-002
992	-8.2603e-002
993	-8.154e-002
994	-8.1548e-002
995	-7.8685e-002
996	-7.7945e-002
997	-7.7382e-002
998	-7.5116e-002
999	-7.4011e-002
1000	-7.3748e-002
1001	-7.1278e-002
1002	-7.0474e-002
1003	-7.0689e-002
1004	-6.7572e-002
1005	-6.7373e-002
1006	-6.6209e-002
1007	-6.8212e-002
1008	-5.2661e-002
1009	-7.5927e-002
1010	-2.5131e-002
1011	12.445
1012	19.735
1013	15.702
1014	13.084
1015	13.706
1016	23.515
1017	12.312
1018	12.545
1019	12.49
1020	16.703
1021	17.269
1022	19.402
1023	20.596
1024	22.322
1025	20.863
1026	18.311
1027	17.927
1028	17.452
1029	15.203
1030	13.952
1031	12.945
1032	12.183
1033	12.59
1034	12.836
1035	13.385
1036	14.021
1037	12.667
1038	13.973
1039	14.043
1040	12.786
1041	12.306
1042	12.654
1043	12.1
1044	12.613
1045	21.679
1046	24.496
1047	21.851
1048	22.744
1049	23.09
1050	24.034
1051	13.228
1052	21.54
1053	14.242
1054	13.158
1055	16.368
1056	11.857
1057	23.558
1058	22.987
1059	24.589
1060	24.179
1061	23.806
1062	24.115
1063	22.588
1064	22.654
1065	21.407
1066	21.094
1067	19.804
1068	19.068
1069	24.949
1070	8.5037
1071	24.57
1072	18.542
1073	17.811
1074	17.053
1075	16.154
1076	15.238
1077	13.212
1078	12.04
1079	11.438
1080	11.091
1081	10.911
1082	10.703
1083	10.702
1084	10.847
1085	11.061
1086	7.7389
1087	10.325
1088	10.86
1089	11.093
1090	4.3719
1091	6.6615
1092	8.0632
1093	9.8132
1094	10.181
1095	10.999
1096	10.507
1097	11.513
1098	11.704
1099	11.905
1100	12.359
1101	12.755
1102	14.881
1103	16.626
1104	17.155
1105	17.895
1106	18.377
1107	18.918
1108	19.725
1109	19.953
1110	21.029
1111	22.217
1112	22.763
1113	23.026
1114	24.302
1115	24.3
1116	15.18
1117	14.413
1118	13.84
1119	13.347
1120	13.014
1121	11.826
1122	10.387
1123	6.2701
1124	4.1094
1125	0.1278
1126	-0.26863
1127	-0.43605
1128	0.23351
1129	1.3005
1130	4.5814
1131	5.8413
1132	6.2003
1133	6.718
1134	7.1227
1135	7.8883
1136	8.2214
1137	8.5324
1138	9.7139
1139	12.169
1140	12.609
1141	13.413
1142	14.268
1143	14.77
1144	15.307
1145	18.086
1146	18.554
1147	19.12
1148	19.547
1149	20.049
1150	20.391
