Node Number	Temperature (K)
1	793.95
2	792.76
3	793.57
4	793.32
5	793.15
6	793.01
7	792.88
8	801.31
9	801.21
10	801.02
11	800.73
12	800.37
13	799.94
14	799.47
15	798.98
16	798.5
17	798.05
18	797.65
19	797.28
20	796.97
21	796.69
22	796.46
23	796.26
24	796.09
25	795.94
26	795.8
27	795.69
28	795.58
29	795.49
30	795.41
31	795.33
32	795.26
33	795.19
34	795.13
35	795.07
36	795.02
37	794.97
38	794.92
39	794.88
40	794.83
41	794.79
42	794.75
43	794.71
44	794.67
45	794.63
46	794.59
47	794.55
48	794.51
49	794.47
50	794.43
51	794.39
52	794.35
53	794.31
54	794.27
55	794.23
56	794.19
57	794.16
58	794.12
59	794.09
60	794.05
61	794.02
62	793.99
63	793.96
64	793.93
65	793.9
66	793.86
67	793.83
68	793.8
69	793.77
70	793.74
71	793.71
72	793.68
73	793.65
74	793.62
75	793.6
76	793.57
77	793.54
78	793.52
79	793.49
80	793.47
81	793.45
82	793.43
83	793.4
84	793.38
85	793.36
86	793.34
87	793.31
88	793.29
89	793.27
90	793.25
91	793.23
92	793.21
93	793.19
94	793.18
95	793.16
96	793.14
97	793.13
98	793.11
99	793.1
100	793.08
101	793.07
102	793.05
103	793.04
104	793.02
105	793.01
106	793.
107	792.99
108	792.97
109	792.96
110	792.95
111	792.94
112	792.93
113	792.92
114	792.91
115	792.91
116	792.9
117	792.89
118	792.88
119	792.87
120	792.86
121	792.85
122	792.84
123	792.82
124	792.79
125	801.32
126	801.34
127	799.83
128	799.86
129	799.88
130	799.9
131	799.93
132	799.95
133	799.97
134	799.98
135	800.
136	800.02
137	800.03
138	800.05
139	800.06
140	800.07
141	800.08
142	800.09
143	800.1
144	800.11
145	800.12
146	800.13
147	800.14
148	800.15
149	800.16
150	800.16
151	800.17
152	800.17
153	800.18
154	800.18
155	800.19
156	800.19
157	800.2
158	800.2
159	800.2
160	800.2
161	800.21
162	800.21
163	800.21
164	800.22
165	800.22
166	800.23
167	800.24
168	800.26
169	800.27
170	800.3
171	800.32
172	800.35
173	800.39
174	800.43
175	800.48
176	800.54
177	800.61
178	800.68
179	800.77
180	800.87
181	800.97
182	801.08
183	801.18
184	801.26
185	799.37
186	799.37
187	799.38
188	799.38
189	799.39
190	799.39
191	799.4
192	799.41
193	799.42
194	799.42
195	799.43
196	799.44
197	799.46
198	799.47
199	799.48
200	799.5
201	799.52
202	799.54
203	799.56
204	799.58
205	799.61
206	799.64
207	799.67
208	799.7
209	799.74
210	799.77
211	799.8
212	798.88
213	799.37
214	799.37
215	799.36
216	799.36
217	799.36
218	799.36
219	799.35
220	799.35
221	799.35
222	799.35
223	799.34
224	799.34
225	799.34
226	799.34
227	799.34
228	799.33
229	799.33
230	799.33
231	799.33
232	799.32
233	799.32
234	799.32
235	799.32
236	799.31
237	799.31
238	799.31
239	799.31
240	799.31
241	799.3
242	799.3
243	799.3
244	799.3
245	799.29
246	799.29
247	799.29
248	799.28
249	799.28
250	799.28
251	799.28
252	799.27
253	799.27
254	799.26
255	799.26
256	799.26
257	799.25
258	799.25
259	799.24
260	799.24
261	799.23
