	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.4062	11.127	4.9919	4.3193	0.	0.	12.769	4.9919	-0.2357	13.005	11.334
Bending (Inside)	-3.6359	32.962	8.3413	0.	0.	0.	32.962	8.3413	-3.6359	36.598	32.319
Bending (Outside)	-1.453	-32.22	-8.3413	0.	0.	0.	-1.453	-8.3413	-32.22	30.767	27.966
Membrane+Bending (Inside)	-2.2298	44.09	13.333	4.3193	0.	0.	44.489	13.333	-2.6291	47.118	41.506
Membrane+Bending (Center)	-1.1383	11.498	4.9919	4.3193	0.	0.	12.834	4.9919	-2.4736	15.307	13.258
Membrane+Bending (Outside)	-4.6821e-002	-21.093	-3.3494	4.3193	0.	0.	0.80516	-3.3494	-21.945	22.75	20.983
Peak (Inside)	0.	0.28356	-0.8676	-4.3175	0.	0.	4.4616	-0.8676	-4.178	8.6396	7.5499
Peak (Center)	4.285	-1.5686	4.6743e-002	1.3737	0.	0.	4.5913	4.6743e-002	-1.875	6.4663	5.7515
Peak (Outside)	9.4587e-017	0.81712	-0.27705	-4.2846	0.	0.	4.7126	-0.27705	-3.8954	8.608	7.4862
Total (Inside)	-2.2298	44.373	12.466	1.8601e-003	0.	0.	44.373	12.466	-2.2298	46.603	41.267
Total (Center)	3.1467	9.9298	5.0387	5.693	0.	0.	13.165	5.0387	-8.8408e-002	13.253	11.575
Total (Outside)	-4.6821e-002	-20.275	-3.6264	3.4757e-002	0.	0.	-4.6761e-002	-3.6264	-20.276	20.229	18.698

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	12.769	32.962	44.489	4.4616	44.373
6.25e-002	42.462	37.57	0.	12.769	31.604	43.143	3.7846	43.385
0.125	42.525	37.57	0.	12.769	30.246	41.798	3.1469	42.45
0.1875	42.587	37.57	0.	12.769	28.888	40.454	2.5593	41.565
0.25	42.65	37.57	0.	12.769	27.53	39.111	2.0811	40.731
0.3125	42.712	37.57	0.	12.769	26.172	37.769	2.11	39.873
0.375	42.775	37.57	0.	12.769	24.815	36.428	2.4266	38.364
0.4375	42.837	37.57	0.	12.769	23.457	35.088	3.0942	36.913
0.5	42.9	37.57	0.	12.769	22.099	33.75	3.8131	35.525
0.5625	42.962	37.57	0.	12.769	20.741	32.413	4.5378	34.206
0.625	43.025	37.57	0.	12.769	19.383	31.078	5.0987	32.864
0.6875	43.087	37.57	0.	12.769	18.025	29.745	5.2645	31.316
0.75	43.15	37.57	0.	12.769	16.667	28.414	5.4454	29.786
0.8125	43.212	37.57	0.	12.769	15.309	27.086	5.6389	28.279
0.875	43.275	37.57	0.	12.769	13.951	25.76	5.8352	26.755
0.9375	43.337	37.57	0.	12.769	12.593	24.438	5.9312	25.212
1.	43.4	37.57	0.	12.769	11.235	23.12	5.8087	23.783
1.0625	43.462	37.57	0.	12.769	9.8769	21.806	5.7009	22.37
1.125	43.525	37.57	0.	12.769	8.519	20.498	5.6074	20.975
1.1875	43.587	37.57	0.	12.769	7.161	19.196	5.528	19.602
1.25	43.65	37.57	0.	12.769	5.803	17.901	5.4634	18.243
1.3125	43.712	37.57	0.	12.769	4.4451	16.615	5.3285	16.923
1.375	43.775	37.57	0.	12.769	3.0871	15.34	5.0632	15.641
1.4375	43.837	37.57	0.	12.769	1.7292	14.079	4.8173	14.387
1.5	43.9	37.57	0.	12.769	0.3712	12.834	4.5913	13.165
1.5625	43.962	37.57	0.	12.769	-0.34755	11.609	4.3853	11.982
1.625	44.025	37.57	0.	12.769	-0.69511	10.411	4.1996	10.844
1.6875	44.087	37.57	0.	12.769	-1.0427	9.2453	3.9377	9.7541
1.75	44.15	37.57	0.	12.769	-1.3902	8.1217	3.6692	8.7004
1.8125	44.212	37.57	0.	12.769	-1.7378	7.0517	3.4235	7.691
1.875	44.275	37.57	0.	12.769	-2.0853	6.0489	3.2056	6.7359
1.9375	44.337	37.57	0.	12.769	-2.2261	5.1289	3.0219	5.8466
2.	44.4	37.57	0.	12.769	-2.1806	4.3066	2.8683	5.0324
2.0625	44.462	37.57	0.	12.769	-2.1352	3.5932	2.7372	4.2917
2.125	44.525	37.57	0.	12.769	-2.0897	2.9932	2.6612	3.6275
2.1875	44.587	37.57	0.	12.769	-2.0442	2.5021	2.6458	3.0396
2.25	44.65	37.57	0.	12.769	-1.9987	2.1089	2.6903	2.5237
2.3125	44.712	37.57	0.	12.769	-1.9533	1.7986	2.7877	2.0727
2.375	44.775	37.57	0.	12.769	-1.9078	1.5557	2.9111	1.6931
2.4375	44.837	37.57	0.	12.769	-1.8623	1.3663	3.0562	1.3647
2.5	44.9	37.57	0.	12.769	-1.8168	1.219	3.2192	1.0763
2.5625	44.962	37.57	0.	12.769	-1.7713	1.1048	3.3961	0.82011
2.625	45.025	37.57	0.	12.769	-1.7259	1.0166	3.5841	0.58986
2.6875	45.087	37.57	0.	12.769	-1.6804	0.94903	3.7714	0.41073
2.75	45.15	37.57	0.	12.769	-1.6349	0.89796	3.9519	0.28912
2.8125	45.212	37.57	0.	12.769	-1.5894	0.86024	4.1361	0.1857
2.875	45.275	37.57	0.	12.769	-1.544	0.83341	4.3241	9.6887e-002
2.9375	45.337	37.57	0.	12.769	-1.4985	0.81555	4.5162	2.0054e-002
3.	45.4	37.57	0.	12.769	-1.453	0.80516	4.7126	-4.6761e-002
