	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	3.5052	11.212	5.7436	-4.5281	0.	0.	13.304	5.7436	1.4128	11.891	10.424
Bending (Inside)	-6.9152	36.531	9.1405	0.	0.	0.	36.531	9.1405	-6.9152	43.446	38.05
Bending (Outside)	-3.5725	-35.944	-9.1405	0.	0.	0.	-3.5725	-9.1405	-35.944	32.371	29.978
Membrane+Bending (Inside)	-3.4099	47.742	14.884	-4.5281	0.	0.	48.14	14.884	-3.8077	51.948	45.574
Membrane+Bending (Center)	-1.7386	11.505	5.7436	-4.5281	0.	0.	12.905	5.7436	-3.1387	16.044	13.921
Membrane+Bending (Outside)	-6.7219e-002	-24.732	-3.3969	-4.5281	0.	0.	0.73781	-3.3969	-25.537	26.275	24.471
Peak (Inside)	0.	5.3497	-1.0619	6.0588	0.	0.	9.2978	-1.0619	-3.9481	13.246	12.065
Peak (Center)	7.2354	-3.4469	-0.42107	-0.19683	0.	0.	7.239	-0.42107	-3.4505	10.689	9.5425
Peak (Outside)	-5.8208e-017	2.7978	0.23019	3.8769	0.	0.	5.5205	0.23019	-2.7227	8.2432	7.2338
Total (Inside)	-3.4099	53.092	13.822	1.5307	0.	0.	53.133	13.822	-3.4513	56.585	50.227
Total (Center)	5.4968	8.0583	5.3225	-4.725	0.	0.	11.673	5.3225	1.8821	9.791	8.6031
Total (Outside)	-6.7219e-002	-21.934	-3.1667	-0.65122	0.	0.	-4.7842e-002	-3.1667	-21.954	21.906	20.525

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.07	36.417	0.	13.304	36.531	48.14	9.2978	53.133
6.2527e-002	42.114	36.372	0.	13.304	35.021	46.643	7.5394	51.678
0.12505	42.158	36.328	0.	13.304	33.511	45.146	6.0512	50.466
0.18758	42.201	36.283	0.	13.304	32.001	43.65	5.9502	49.491
0.25011	42.245	36.238	0.	13.304	30.491	42.156	8.0741	48.742
0.31264	42.288	36.193	0.	13.304	28.981	40.662	10.507	48.203
0.37516	42.332	36.148	0.	13.304	27.471	39.169	10.408	45.48
0.43769	42.376	36.104	0.	13.304	25.961	37.678	10.268	42.519
0.50022	42.419	36.059	0.	13.304	24.452	36.188	10.456	39.736
0.56275	42.463	36.014	0.	13.304	22.942	34.7	10.863	37.138
0.62527	42.507	35.969	0.	13.304	21.432	33.214	11.409	34.737
0.6878	42.55	35.925	0.	13.304	19.922	31.73	11.451	32.612
0.75033	42.594	35.88	0.	13.304	18.412	30.248	11.11	30.607
0.81286	42.638	35.835	0.	13.304	16.902	28.77	10.829	28.633
0.87538	42.681	35.79	0.	13.304	15.392	27.294	10.604	26.695
0.93791	42.725	35.745	0.	13.304	13.882	25.822	10.432	24.799
1.0004	42.769	35.701	0.	13.304	12.372	24.354	10.276	22.975
1.063	42.812	35.656	0.	13.304	10.863	22.891	9.837	21.438
1.1255	42.856	35.611	0.	13.304	9.3527	21.434	9.4254	19.917
1.188	42.899	35.566	0.	13.304	7.8428	19.984	9.0421	18.413
1.2505	42.943	35.522	0.	13.304	6.333	18.542	8.6875	16.932
1.3131	42.987	35.477	0.	13.304	4.8231	17.111	8.3622	15.478
1.3756	43.03	35.432	0.	13.304	3.3132	15.692	8.0382	14.084
1.4381	43.074	35.387	0.	13.304	1.8033	14.289	7.6071	12.862
1.5007	43.118	35.342	0.	13.304	0.29344	12.905	7.239	11.673
1.5632	43.161	35.298	0.	13.304	-0.38085	11.547	6.9106	10.505
1.6257	43.205	35.253	0.	13.304	-0.76171	10.22	6.6033	9.3779
1.6882	43.249	35.208	0.	13.304	-1.1426	8.9349	6.3189	8.3059
1.7508	43.292	35.163	0.	13.304	-1.5234	7.7033	5.9757	7.3485
1.8133	43.336	35.119	0.	13.304	-1.9043	6.541	5.6771	6.4616
1.8758	43.38	35.074	0.	13.304	-2.2851	5.4667	5.4279	5.6582
1.9384	43.423	35.029	0.	13.304	-2.666	4.5008	5.232	4.9489
2.0009	43.467	34.984	0.	13.304	-3.0468	3.6607	5.0861	4.3371
2.0634	43.511	34.94	0.	13.304	-3.4277	2.9564	4.9304	3.789
2.1259	43.554	34.895	0.	13.304	-3.8085	2.3865	4.8346	3.2909
2.1885	43.598	34.85	0.	13.304	-4.1894	1.9389	4.8046	2.8327
2.251	43.641	34.805	0.	13.304	-4.4081	1.595	4.8351	2.409
2.3135	43.685	34.76	0.	13.304	-4.3385	1.3347	4.8991	2.0703
2.376	43.729	34.716	0.	13.304	-4.2689	1.1397	4.9703	1.7474
2.4386	43.772	34.671	0.	13.304	-4.1992	0.99523	5.0731	1.4308
2.5011	43.816	34.626	0.	13.304	-4.1296	0.8897	5.212	1.1245
2.5636	43.86	34.581	0.	13.304	-4.0599	0.81433	5.2948	0.90493
2.6262	43.903	34.537	0.	13.304	-3.9903	0.76251	5.3884	0.69254
2.6887	43.947	34.492	0.	13.304	-3.9207	0.7293	5.4936	0.48391
2.7512	43.991	34.447	0.	13.304	-3.851	0.71095	5.6012	0.28512
2.8137	44.034	34.402	0.	13.304	-3.7814	0.70459	5.583	0.19984
2.8763	44.078	34.357	0.	13.304	-3.7117	0.70803	5.5636	0.11619
2.9388	44.122	34.313	0.	13.304	-3.6421	0.71956	5.5427	3.3738e-002
3.0013	44.165	34.268	0.	13.304	-3.5725	0.73781	5.5205	-4.7842e-002
