S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	42.4	37.57	0.	799.98
6.25e-002	42.462	37.57	0.	799.96
0.125	42.525	37.57	0.	799.93
0.1875	42.587	37.57	0.	799.91
0.25	42.65	37.57	0.	799.89
0.3125	42.712	37.57	0.	799.87
0.375	42.775	37.57	0.	799.84
0.4375	42.837	37.57	0.	799.82
0.5	42.9	37.57	0.	799.8
0.5625	42.962	37.57	0.	799.78
0.625	43.025	37.57	0.	799.76
0.6875	43.087	37.57	0.	799.74
0.75	43.15	37.57	0.	799.71
0.8125	43.212	37.57	0.	799.69
0.875	43.275	37.57	0.	799.67
0.9375	43.337	37.57	0.	799.65
1.	43.4	37.57	0.	799.63
1.0625	43.462	37.57	0.	799.61
1.125	43.525	37.57	0.	799.59
1.1875	43.587	37.57	0.	799.57
1.25	43.65	37.57	0.	799.55
1.3125	43.712	37.57	0.	799.54
1.375	43.775	37.57	0.	799.52
1.4375	43.837	37.57	0.	799.5
1.5	43.9	37.57	0.	799.48
1.5625	43.962	37.57	0.	799.46
1.625	44.025	37.57	0.	799.44
1.6875	44.087	37.57	0.	799.42
1.75	44.15	37.57	0.	799.41
1.8125	44.212	37.57	0.	799.39
1.875	44.275	37.57	0.	799.37
1.9375	44.337	37.57	0.	799.35
2.	44.4	37.57	0.	799.34
2.0625	44.462	37.57	0.	799.32
2.125	44.525	37.57	0.	799.3
2.1875	44.587	37.57	0.	799.28
2.25	44.65	37.57	0.	799.27
2.3125	44.712	37.57	0.	799.25
2.375	44.775	37.57	0.	799.23
2.4375	44.837	37.57	0.	799.22
2.5	44.9	37.57	0.	799.2
2.5625	44.962	37.57	0.	799.19
2.625	45.025	37.57	0.	799.17
2.6875	45.087	37.57	0.	799.15
2.75	45.15	37.57	0.	799.14
2.8125	45.212	37.57	0.	799.12
2.875	45.275	37.57	0.	799.11
2.9375	45.337	37.57	0.	799.09
3.	45.4	37.57	0.	799.08
