S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	42.07	36.417	0.	799.98
6.2527e-002	42.114	36.372	0.	799.96
0.12505	42.158	36.328	0.	799.93
0.18758	42.201	36.283	0.	799.91
0.25011	42.245	36.238	0.	799.88
0.31264	42.288	36.193	0.	799.86
0.37516	42.332	36.148	0.	799.83
0.43769	42.376	36.104	0.	799.81
0.50022	42.419	36.059	0.	799.79
0.56275	42.463	36.014	0.	799.76
0.62527	42.507	35.969	0.	799.74
0.6878	42.55	35.925	0.	799.72
0.75033	42.594	35.88	0.	799.7
0.81286	42.638	35.835	0.	799.67
0.87538	42.681	35.79	0.	799.65
0.93791	42.725	35.745	0.	799.63
1.0004	42.769	35.701	0.	799.61
1.063	42.812	35.656	0.	799.59
1.1255	42.856	35.611	0.	799.57
1.188	42.899	35.566	0.	799.55
1.2505	42.943	35.522	0.	799.53
1.3131	42.987	35.477	0.	799.51
1.3756	43.03	35.432	0.	799.49
1.4381	43.074	35.387	0.	799.47
1.5007	43.118	35.342	0.	799.46
1.5632	43.161	35.298	0.	799.44
1.6257	43.205	35.253	0.	799.42
1.6882	43.249	35.208	0.	799.4
1.7508	43.292	35.163	0.	799.38
1.8133	43.336	35.119	0.	799.36
1.8758	43.38	35.074	0.	799.35
1.9384	43.423	35.029	0.	799.33
2.0009	43.467	34.984	0.	799.31
2.0634	43.511	34.94	0.	799.29
2.1259	43.554	34.895	0.	799.28
2.1885	43.598	34.85	0.	799.26
2.251	43.641	34.805	0.	799.24
2.3135	43.685	34.76	0.	799.23
2.376	43.729	34.716	0.	799.21
2.4386	43.772	34.671	0.	799.19
2.5011	43.816	34.626	0.	799.18
2.5636	43.86	34.581	0.	799.16
2.6262	43.903	34.537	0.	799.14
2.6887	43.947	34.492	0.	799.13
2.7512	43.991	34.447	0.	799.11
2.8137	44.034	34.402	0.	799.1
2.8763	44.078	34.357	0.	799.08
2.9388	44.122	34.313	0.	799.07
3.0013	44.165	34.268	0.	799.05
