S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Temperature (K)
0.	15.	2.099e-013	0.	801.91
6.298e-002	15.063	-8.3639e-004	0.	802.3
0.12596	15.126	-1.6728e-003	0.	802.59
0.18894	15.189	-2.5092e-003	0.	802.8
0.25192	15.252	-3.3456e-003	0.	802.92
0.3149	15.315	-4.1819e-003	0.	802.98
0.37788	15.378	-5.0183e-003	0.	803.02
0.44086	15.441	-5.8547e-003	0.	803.05
0.50384	15.504	-6.6911e-003	0.	803.05
0.56682	15.567	-7.5275e-003	0.	803.04
0.6298	15.63	-8.3639e-003	0.	803.01
0.69278	15.693	-9.2003e-003	0.	802.97
0.75576	15.756	-1.0037e-002	0.	802.92
0.81874	15.819	-1.0873e-002	0.	802.87
0.88172	15.882	-1.1709e-002	0.	802.82
0.9447	15.945	-1.2546e-002	0.	802.76
1.0077	16.008	-1.3382e-002	0.	802.7
1.0707	16.071	-1.4219e-002	0.	802.64
1.1336	16.134	-1.5055e-002	0.	802.59
1.1966	16.197	-1.5891e-002	0.	802.53
1.2596	16.259	-1.6728e-002	0.	802.47
1.3226	16.322	-1.7564e-002	0.	802.41
1.3856	16.385	-1.8401e-002	0.	802.35
1.4485	16.448	-1.9237e-002	0.	802.29
1.5115	16.511	-2.0073e-002	0.	802.23
1.5745	16.574	-2.091e-002	0.	802.18
1.6375	16.637	-2.1746e-002	0.	802.12
1.7005	16.7	-2.2582e-002	0.	802.07
1.7634	16.763	-2.3419e-002	0.	802.02
1.8264	16.826	-2.4255e-002	0.	801.97
1.8894	16.889	-2.5092e-002	0.	801.92
1.9524	16.952	-2.5928e-002	0.	801.87
2.0154	17.015	-2.6764e-002	0.	801.83
2.0783	17.078	-2.7601e-002	0.	801.78
2.1413	17.141	-2.8437e-002	0.	801.74
2.2043	17.204	-2.9274e-002	0.	801.7
2.2673	17.267	-3.011e-002	0.	801.66
2.3303	17.33	-3.0946e-002	0.	801.63
2.3932	17.393	-3.1783e-002	0.	801.59
2.4562	17.456	-3.2619e-002	0.	801.56
2.5192	17.519	-3.3456e-002	0.	801.53
2.5822	17.582	-3.4292e-002	0.	801.5
2.6452	17.645	-3.5128e-002	0.	801.47
2.7081	17.708	-3.5965e-002	0.	801.44
2.7711	17.771	-3.6801e-002	0.	801.42
2.8341	17.834	-3.7637e-002	0.	801.39
2.8971	17.897	-3.8474e-002	0.	801.37
2.9601	17.96	-3.931e-002	0.	801.36
3.023	18.023	-4.0147e-002	0.	801.34
