	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98509	11.112	28.188	4.2231e-004	0.	0.	28.188	11.112	-0.98509	29.173	25.387
Bending (Inside)	-1.0142	-1.8953	-0.78428	0.	0.	0.	-0.78428	-1.0142	-1.8953	1.111	1.0158
Bending (Outside)	0.98581	1.8526	0.78428	0.	0.	0.	1.8526	0.98581	0.78428	1.0683	0.98318
Membrane+Bending (Inside)	-1.9993	9.217	27.404	4.2231e-004	0.	0.	27.404	9.217	-1.9993	29.403	25.701
Membrane+Bending (Center)	-0.9993	11.091	28.188	4.2231e-004	0.	0.	28.188	11.091	-0.9993	29.187	25.401
Membrane+Bending (Outside)	7.1917e-004	12.965	28.972	4.2231e-004	0.	0.	28.972	12.965	7.1916e-004	28.971	25.136
Peak (Inside)	0.	-2.3483e-002	1.498e-002	-1.267e-003	0.	0.	1.498e-002	6.8165e-005	-2.3551e-002	3.8531e-002	3.3652e-002
Peak (Center)	2.1314e-002	1.0186e-002	-6.2728e-003	2.2364e-004	0.	0.	2.1318e-002	1.0181e-002	-6.2728e-003	2.7591e-002	2.4042e-002
Peak (Outside)	5.0477e-017	-1.7877e-002	9.2458e-003	-5.2674e-004	0.	0.	9.2458e-003	1.5507e-005	-1.7892e-002	2.7138e-002	2.39e-002
Total (Inside)	-1.9993	9.1935	27.419	-8.4471e-004	0.	0.	27.419	9.1935	-1.9993	29.418	25.718
Total (Center)	-0.97798	11.101	28.182	6.4595e-004	0.	0.	28.182	11.101	-0.97798	29.16	25.376
Total (Outside)	7.1917e-004	12.947	28.981	-1.0443e-004	0.	0.	28.981	12.947	7.1917e-004	28.981	25.145

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.22	0.	25.387	1.0158	25.701	3.3652e-002	25.718
6.25e-002	42.462	126.22	0.	25.387	0.97411	25.688	3.0195e-002	25.702
0.125	42.525	126.22	0.	25.387	0.93247	25.675	2.6859e-002	25.685
0.1875	42.587	126.22	0.	25.387	0.89083	25.662	2.3691e-002	25.669
0.25	42.65	126.22	0.	25.387	0.84919	25.649	2.0767e-002	25.653
0.3125	42.712	126.22	0.	25.387	0.80755	25.636	1.8199e-002	25.636
0.375	42.775	126.22	0.	25.387	0.76591	25.623	1.6155e-002	25.62
0.4375	42.837	126.22	0.	25.387	0.72427	25.61	1.4848e-002	25.604
0.5	42.9	126.22	0.	25.387	0.68263	25.597	1.4474e-002	25.588
0.5625	42.962	126.22	0.	25.387	0.64099	25.584	1.5098e-002	25.572
0.625	43.025	126.22	0.	25.387	0.59936	25.572	1.5878e-002	25.558
0.6875	43.087	126.22	0.	25.387	0.55772	25.559	1.6743e-002	25.544
0.75	43.15	126.22	0.	25.387	0.51608	25.546	1.7759e-002	25.53
0.8125	43.212	126.22	0.	25.387	0.47445	25.534	1.8897e-002	25.516
0.875	43.275	126.22	0.	25.387	0.43281	25.521	2.0132e-002	25.502
0.9375	43.337	126.22	0.	25.387	0.39118	25.509	2.1445e-002	25.488
1.	43.4	126.22	0.	25.387	0.34955	25.497	2.2817e-002	25.474
1.0625	43.462	126.22	0.	25.387	0.30793	25.484	2.4236e-002	25.46
1.125	43.525	126.22	0.	25.387	0.26631	25.472	2.4927e-002	25.447
1.1875	43.587	126.22	0.	25.387	0.2247	25.46	2.4747e-002	25.435
1.25	43.65	126.22	0.	25.387	0.1831	25.448	2.4577e-002	25.424
1.3125	43.712	126.22	0.	25.387	0.14153	25.436	2.4419e-002	25.412
1.375	43.775	126.22	0.	25.387	0.10002	25.424	2.4273e-002	25.4
