	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98396	11.112	28.167	6.7586e-004	0.	0.	28.167	11.112	-0.98396	29.151	25.367
Bending (Inside)	-1.0087	-1.8941	-0.81632	0.	0.	0.	-0.81632	-1.0087	-1.8941	1.0778	0.99567
Bending (Outside)	0.98446	1.8515	0.81632	0.	0.	0.	1.8515	0.98446	0.81632	1.0351	0.96216
Membrane+Bending (Inside)	-1.9926	9.2182	27.351	6.7586e-004	0.	0.	27.351	9.2182	-1.9926	29.344	25.647
Membrane+Bending (Center)	-0.99606	11.091	28.167	6.7586e-004	0.	0.	28.167	11.091	-0.99606	29.163	25.379
Membrane+Bending (Outside)	5.0098e-004	12.964	28.984	6.7586e-004	0.	0.	28.984	12.964	5.0094e-004	28.983	25.147
Peak (Inside)	0.	-1.97e-002	-1.2759e-002	-6.4098e-004	0.	0.	2.0834e-005	-1.2759e-002	-1.9721e-002	1.9742e-002	1.7342e-002
Peak (Center)	1.8361e-002	9.6427e-003	3.7901e-003	3.845e-004	0.	0.	1.8378e-002	9.6258e-003	3.7901e-003	1.4588e-002	1.2717e-002
Peak (Outside)	3.7744e-017	-1.7569e-002	-5.9094e-003	-9.0551e-004	0.	0.	4.6546e-005	-5.9094e-003	-1.7616e-002	1.7662e-002	1.5564e-002
Total (Inside)	-1.9926	9.1985	27.338	3.4874e-005	0.	0.	27.338	9.1985	-1.9926	29.331	25.638
Total (Center)	-0.9777	11.101	28.171	1.0604e-003	0.	0.	28.171	11.101	-0.9777	29.149	25.367
Total (Outside)	5.0098e-004	12.946	28.978	-2.2966e-004	0.	0.	28.978	12.946	5.0097e-004	28.977	25.142

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	125.71	0.	25.367	0.99567	25.647	1.7342e-002	25.638
6.25e-002	42.462	125.71	0.	25.367	0.95488	25.635	1.6698e-002	25.626
0.125	42.525	125.71	0.	25.367	0.9141	25.623	1.6055e-002	25.615
0.1875	42.587	125.71	0.	25.367	0.87331	25.612	1.5415e-002	25.603
0.25	42.65	125.71	0.	25.367	0.83253	25.6	1.4776e-002	25.592
0.3125	42.712	125.71	0.	25.367	0.79174	25.588	1.4103e-002	25.58
0.375	42.775	125.71	0.	25.367	0.75096	25.577	1.3465e-002	25.569
0.4375	42.837	125.71	0.	25.367	0.71017	25.565	1.283e-002	25.558
0.5	42.9	125.71	0.	25.367	0.66939	25.554	1.22e-002	25.547
0.5625	42.962	125.71	0.	25.367	0.62861	25.542	1.1575e-002	25.536
0.625	43.025	125.71	0.	25.367	0.58782	25.531	1.1098e-002	25.524
0.6875	43.087	125.71	0.	25.367	0.54704	25.52	1.0978e-002	25.513
0.75	43.15	125.71	0.	25.367	0.50626	25.509	1.091e-002	25.501
0.8125	43.212	125.71	0.	25.367	0.46548	25.498	1.0894e-002	25.489
0.875	43.275	125.71	0.	25.367	0.4247	25.486	1.0932e-002	25.478
0.9375	43.337	125.71	0.	25.367	0.38392	25.475	1.1023e-002	25.466
1.	43.4	125.71	0.	25.367	0.34314	25.465	1.1166e-002	25.455
1.0625	43.462	125.71	0.	25.367	0.30237	25.454	1.1361e-002	25.443
1.125	43.525	125.71	0.	25.367	0.2616	25.443	1.1605e-002	25.432
1.1875	43.587	125.71	0.	25.367	0.22083	25.432	1.1896e-002	25.421
1.25	43.65	125.71	0.	25.367	0.18008	25.421	1.2103e-002	25.41
1.3125	43.712	125.71	0.	25.367	0.13934	25.411	1.2251e-002	25.399
1.375	43.775	125.71	0.	25.367	9.8646e-002	25.4	1.2402e-002	25.388
1.4375	43.837	125.71	0.	25.367	5.8083e-002	25.39	1.2557e-002	25.377
1.5	43.9	125.71	0.	25.367	1.8528e-002	25.379	1.2717e-002	25.367
1.5625	43.962	125.71	0.	25.367	2.53e-002	25.369	1.2881e-002	25.356
1.625	44.025	125.71	0.	25.367	6.5299e-002	25.358	1.3049e-002	25.346
1.6875	44.087	125.71	0.	25.367	0.1059	25.348	1.3221e-002	25.335
1.75	44.15	125.71	0.	25.367	0.14661	25.338	1.3398e-002	25.325
1.8125	44.212	125.71	0.	25.367	0.18735	25.328	1.3578e-002	25.314
1.875	44.275	125.71	0.	25.367	0.2281	25.318	1.3381e-002	25.305
1.9375	44.337	125.71	0.	25.367	0.26887	25.308	1.3193e-002	25.295
2.	44.4	125.71	0.	25.367	0.30964	25.298	1.3025e-002	25.285
2.0625	44.462	125.71	0.	25.367	0.35042	25.288	1.288e-002	25.275
2.125	44.525	125.71	0.	25.367	0.39119	25.278	1.2757e-002	25.266
2.1875	44.587	125.71	0.	25.367	0.43197	25.268	1.2658e-002	25.256
2.25	44.65	125.71	0.	25.367	0.47275	25.258	1.2583e-002	25.247
2.3125	44.712	125.71	0.	25.367	0.51353	25.249	1.2533e-002	25.238
2.375	44.775	125.71	0.	25.367	0.55432	25.239	1.2508e-002	25.228
2.4375	44.837	125.71	0.	25.367	0.5951	25.23	1.2509e-002	25.219
2.5	44.9	125.71	0.	25.367	0.63588	25.22	1.2453e-002	25.21
2.5625	44.962	125.71	0.	25.367	0.67667	25.211	1.2483e-002	25.201
2.625	45.025	125.71	0.	25.367	0.71745	25.201	1.2629e-002	25.193
2.6875	45.087	125.71	0.	25.367	0.75824	25.192	1.2885e-002	25.184
2.75	45.15	125.71	0.	25.367	0.79902	25.183	1.3247e-002	25.176
2.8125	45.212	125.71	0.	25.367	0.8398	25.174	1.3703e-002	25.167
2.875	45.275	125.71	0.	25.367	0.88059	25.165	1.4249e-002	25.159
2.9375	45.337	125.71	0.	25.367	0.92137	25.156	1.4872e-002	25.151
3.	45.4	125.71	0.	25.367	0.96216	25.147	1.5564e-002	25.142
