	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98445	11.112	28.202	-1.68e-005	0.	0.	28.202	11.112	-0.98445	29.186	25.399
Bending (Inside)	-1.0074	-1.8949	-0.75555	0.	0.	0.	-0.75555	-1.0074	-1.8949	1.1393	1.0366
Bending (Outside)	0.98477	1.8522	0.75555	0.	0.	0.	1.8522	0.98477	0.75555	1.0966	1.0019
Membrane+Bending (Inside)	-1.9918	9.2174	27.446	-1.68e-005	0.	0.	27.446	9.2174	-1.9918	29.438	25.735
Membrane+Bending (Center)	-0.99576	11.091	28.202	-1.68e-005	0.	0.	28.202	11.091	-0.99576	29.198	25.41
Membrane+Bending (Outside)	3.1467e-004	12.964	28.958	-1.68e-005	0.	0.	28.958	12.964	3.1467e-004	28.957	25.123
Peak (Inside)	0.	-1.9275e-002	6.8082e-002	3.914e-003	0.	0.	6.8082e-002	7.6445e-004	-2.004e-002	8.8122e-002	7.9781e-002
Peak (Center)	1.7712e-002	9.3401e-003	-1.6296e-002	-2.8282e-004	0.	0.	1.7721e-002	9.3306e-003	-1.6296e-002	3.4017e-002	3.0694e-002
Peak (Outside)	3.2969e-018	-1.7281e-002	2.5045e-002	-4.7001e-005	0.	0.	2.5045e-002	1.2784e-007	-1.7281e-002	4.2326e-002	3.686e-002
Total (Inside)	-1.9918	9.1982	27.515	3.8972e-003	0.	0.	27.515	9.1982	-1.9918	29.506	25.8
Total (Center)	-0.97805	11.1	28.186	-2.9962e-004	0.	0.	28.186	11.1	-0.97805	29.164	25.38
Total (Outside)	3.1467e-004	12.947	28.983	-6.3801e-005	0.	0.	28.983	12.947	3.1467e-004	28.982	25.147

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	126.72	0.	25.399	1.0366	25.735	7.9781e-002	25.8
6.25e-002	42.462	126.72	0.	25.399	0.99413	25.721	6.926e-002	25.777
0.125	42.525	126.72	0.	25.399	0.95166	25.706	5.8778e-002	25.753
0.1875	42.587	126.72	0.	25.399	0.9092	25.692	4.8358e-002	25.729
0.25	42.65	126.72	0.	25.399	0.86673	25.678	3.8052e-002	25.706
0.3125	42.712	126.72	0.	25.399	0.82426	25.664	2.7985e-002	25.682
0.375	42.775	126.72	0.	25.399	0.7818	25.65	1.8551e-002	25.659
0.4375	42.837	126.72	0.	25.399	0.73933	25.636	1.1442e-002	25.636
0.5	42.9	126.72	0.	25.399	0.69686	25.623	1.1978e-002	25.613
0.5625	42.962	126.72	0.	25.399	0.6544	25.609	1.954e-002	25.589
0.625	43.025	126.72	0.	25.399	0.61193	25.595	2.8772e-002	25.567
0.6875	43.087	126.72	0.	25.399	0.56947	25.582	2.9494e-002	25.552
0.75	43.15	126.72	0.	25.399	0.527	25.568	3.0222e-002	25.538
0.8125	43.212	126.72	0.	25.399	0.48454	25.555	3.0955e-002	25.524
0.875	43.275	126.72	0.	25.399	0.44208	25.541	3.1692e-002	25.51
0.9375	43.337	126.72	0.	25.399	0.39961	25.528	3.2433e-002	25.496
1.	43.4	126.72	0.	25.399	0.35715	25.515	3.3179e-002	25.482
1.0625	43.462	126.72	0.	25.399	0.31469	25.501	3.3928e-002	25.468
1.125	43.525	126.72	0.	25.399	0.27224	25.488	3.468e-002	25.454
1.1875	43.587	126.72	0.	25.399	0.22978	25.475	3.5436e-002	25.44
1.25	43.65	126.72	0.	25.399	0.18733	25.462	3.6051e-002	25.427
1.3125	43.712	126.72	0.	25.399	0.1449	25.449	3.4709e-002	25.415
1.375	43.775	126.72	0.	25.399	0.10249	25.436	3.3368e-002	25.403
1.4375	43.837	126.72	0.	25.399	6.0162e-002	25.423	3.203e-002	25.392
1.5	43.9	126.72	0.	25.399	1.8491e-002	25.41	3.0694e-002	25.38
1.5625	43.962	126.72	0.	25.399	2.591e-002	25.398	2.9361e-002	25.369
1.625	44.025	126.72	0.	25.399	6.7881e-002	25.385	2.8031e-002	25.357
1.6875	44.087	126.72	0.	25.399	0.11023	25.373	2.6705e-002	25.346
1.75	44.15	126.72	0.	25.399	0.15265	25.36	2.5383e-002	25.335
1.8125	44.212	126.72	0.	25.399	0.19509	25.348	2.4066e-002	25.324
1.875	44.275	126.72	0.	25.399	0.23754	25.335	2.2397e-002	25.313
1.9375	44.337	126.72	0.	25.399	0.27999	25.323	2.0078e-002	25.303
2.	44.4	126.72	0.	25.399	0.32245	25.311	1.7848e-002	25.293
2.0625	44.462	126.72	0.	25.399	0.36491	25.298	1.5747e-002	25.283
2.125	44.525	126.72	0.	25.399	0.40737	25.286	1.3834e-002	25.273
2.1875	44.587	126.72	0.	25.399	0.44983	25.274	1.2197e-002	25.263
2.25	44.65	126.72	0.	25.399	0.4923	25.262	1.0961e-002	25.253
2.3125	44.712	126.72	0.	25.399	0.53476	25.25	1.0271e-002	25.243
2.375	44.775	126.72	0.	25.399	0.57723	25.238	1.0239e-002	25.234
2.4375	44.837	126.72	0.	25.399	0.61969	25.227	1.0893e-002	25.224
2.5	44.9	126.72	0.	25.399	0.66216	25.215	1.2566e-002	25.215
2.5625	44.962	126.72	0.	25.399	0.70462	25.203	1.4893e-002	25.207
2.625	45.025	126.72	0.	25.399	0.74709	25.192	1.7616e-002	25.198
2.6875	45.087	126.72	0.	25.399	0.78955	25.18	2.0578e-002	25.189
2.75	45.15	126.72	0.	25.399	0.83202	25.169	2.369e-002	25.181
2.8125	45.212	126.72	0.	25.399	0.87449	25.157	2.6901e-002	25.172
2.875	45.275	126.72	0.	25.399	0.91695	25.146	3.0178e-002	25.164
2.9375	45.337	126.72	0.	25.399	0.95942	25.135	3.3502e-002	25.155
3.	45.4	126.72	0.	25.399	1.0019	25.123	3.686e-002	25.147
