	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	1.4062	11.127	4.9919	4.3193	0.	0.	12.769	4.9919	-0.2357	13.005	11.334
Bending (Inside)	-3.6359	32.962	8.3413	0.	0.	0.	32.962	8.3413	-3.6359	36.598	32.319
Bending (Outside)	-1.453	-32.22	-8.3413	0.	0.	0.	-1.453	-8.3413	-32.22	30.767	27.966
Membrane+Bending (Inside)	-2.2298	44.09	13.333	4.3193	0.	0.	44.489	13.333	-2.6291	47.118	41.506
Membrane+Bending (Center)	-1.1383	11.498	4.9919	4.3193	0.	0.	12.834	4.9919	-2.4736	15.307	13.258
Membrane+Bending (Outside)	-4.6821e-002	-21.093	-3.3494	4.3193	0.	0.	0.80516	-3.3494	-21.945	22.75	20.983
Peak (Inside)	0.	0.28356	-0.8676	-4.3175	0.	0.	4.4616	-0.8676	-4.178	8.6396	7.5499
Peak (Center)	4.285	-1.5686	4.6743e-002	1.3737	0.	0.	4.5913	4.6743e-002	-1.875	6.4663	5.7515
Peak (Outside)	9.4587e-017	0.81712	-0.27705	-4.2846	0.	0.	4.7126	-0.27705	-3.8954	8.608	7.4862
Total (Inside)	-2.2298	44.373	12.466	1.8601e-003	0.	0.	44.373	12.466	-2.2298	46.603	41.267
Total (Center)	3.1467	9.9298	5.0387	5.693	0.	0.	13.165	5.0387	-8.8408e-002	13.253	11.575
Total (Outside)	-4.6821e-002	-20.275	-3.6264	3.4757e-002	0.	0.	-4.6761e-002	-3.6264	-20.276	20.229	18.698

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	11.334	32.319	41.506	7.5499	41.267
6.25e-002	42.462	37.57	0.	11.334	31.067	40.276	5.8872	40.145
0.125	42.525	37.57	0.	11.334	29.815	39.047	4.342	39.13
0.1875	42.587	37.57	0.	11.334	28.563	37.82	2.9741	38.217
0.25	42.65	37.57	0.	11.334	27.311	36.594	1.9846	37.401
0.3125	42.712	37.57	0.	11.334	26.06	35.371	1.8234	36.561
0.375	42.775	37.57	0.	11.334	24.808	34.15	2.0849	34.932
0.4375	42.837	37.57	0.	11.334	23.557	32.931	2.8633	33.394
0.5	42.9	37.57	0.	11.334	22.307	31.715	3.8327	31.954
0.5625	42.962	37.57	0.	11.334	21.057	30.502	4.8603	30.622
0.625	43.025	37.57	0.	11.334	19.807	29.292	5.6927	29.304
0.6875	43.087	37.57	0.	11.334	18.558	28.087	6.0222	27.787
0.75	43.15	37.57	0.	11.334	17.309	26.886	6.3793	26.301
0.8125	43.212	37.57	0.	11.334	16.061	25.689	6.7597	24.851
0.875	43.275	37.57	0.	11.334	14.815	24.499	7.1611	23.389
0.9375	43.337	37.57	0.	11.334	13.57	23.315	7.4225	21.923
1.	43.4	37.57	0.	11.334	12.326	22.14	7.2933	20.628
1.0625	43.462	37.57	0.	11.334	11.085	20.973	7.1847	19.355
1.125	43.525	37.57	0.	11.334	9.8473	19.816	7.0964	18.111
1.1875	43.587	37.57	0.	11.334	8.6142	18.673	7.028	16.9
1.25	43.65	37.57	0.	11.334	7.3882	17.544	6.9819	15.711
1.3125	43.712	37.57	0.	11.334	6.1734	16.434	6.8193	14.592
1.375	43.775	37.57	0.	11.334	4.978	15.346	6.4387	13.543
1.4375	43.837	37.57	0.	11.334	3.8205	14.285	6.0826	12.535
1.5	43.9	37.57	0.	11.334	2.7489	13.258	5.7515	11.575
1.5625	43.962	37.57	0.	11.334	1.9136	12.273	5.4456	10.677
1.625	44.025	37.57	0.	11.334	1.7066	11.341	5.1655	9.853
1.6875	44.087	37.57	0.	11.334	2.3039	10.477	4.7639	9.1242
1.75	44.15	37.57	0.	11.334	3.2937	9.6983	4.3524	8.467
1.8125	44.212	37.57	0.	11.334	4.4198	9.0272	3.9765	7.8936
1.875	44.275	37.57	0.	11.334	5.6004	8.4894	3.6447	7.4241
1.9375	44.337	37.57	0.	11.334	6.8074	8.1114	3.3667	7.0799
2.	44.4	37.57	0.	11.334	8.0288	7.916	3.1393	6.8832
2.0625	44.462	37.57	0.	11.334	9.2589	7.9169	2.9562	6.8379
2.125	44.525	37.57	0.	11.334	10.495	8.114	2.8605	6.9361
2.1875	44.587	37.57	0.	11.334	11.734	8.4936	2.8604	7.1725
2.25	44.65	37.57	0.	11.334	12.977	9.0328	2.9551	7.535
2.3125	44.712	37.57	0.	11.334	14.221	9.7049	3.1355	8.0073
2.375	44.775	37.57	0.	11.334	15.467	10.485	3.3938	8.6366
2.4375	44.837	37.57	0.	11.334	16.714	11.349	3.6949	9.3535
2.5	44.9	37.57	0.	11.334	17.962	12.282	4.0284	10.134
2.5625	44.962	37.57	0.	11.334	19.211	13.267	4.3872	10.965
2.625	45.025	37.57	0.	11.334	20.461	14.295	4.766	11.836
2.6875	45.087	37.57	0.	11.334	21.711	15.356	5.1808	12.827
2.75	45.15	37.57	0.	11.334	22.961	16.444	5.6289	13.956
2.8125	45.212	37.57	0.	11.334	24.212	17.555	6.0837	15.113
2.875	45.275	37.57	0.	11.334	25.463	18.683	6.545	16.291
2.9375	45.337	37.57	0.	11.334	26.715	19.827	7.0125	17.488
3.	45.4	37.57	0.	11.334	27.966	20.983	7.4862	18.698
