	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	3.5052	11.212	5.7436	-4.5281	0.	0.	13.304	5.7436	1.4128	11.891	10.424
Bending (Inside)	-6.9152	36.531	9.1405	0.	0.	0.	36.531	9.1405	-6.9152	43.446	38.05
Bending (Outside)	-3.5725	-35.944	-9.1405	0.	0.	0.	-3.5725	-9.1405	-35.944	32.371	29.978
Membrane+Bending (Inside)	-3.4099	47.742	14.884	-4.5281	0.	0.	48.14	14.884	-3.8077	51.948	45.574
Membrane+Bending (Center)	-1.7386	11.505	5.7436	-4.5281	0.	0.	12.905	5.7436	-3.1387	16.044	13.921
Membrane+Bending (Outside)	-6.7219e-002	-24.732	-3.3969	-4.5281	0.	0.	0.73781	-3.3969	-25.537	26.275	24.471
Peak (Inside)	0.	5.3497	-1.0619	6.0588	0.	0.	9.2978	-1.0619	-3.9481	13.246	12.065
Peak (Center)	7.2354	-3.4469	-0.42107	-0.19683	0.	0.	7.239	-0.42107	-3.4505	10.689	9.5425
Peak (Outside)	-5.8208e-017	2.7978	0.23019	3.8769	0.	0.	5.5205	0.23019	-2.7227	8.2432	7.2338
Total (Inside)	-3.4099	53.092	13.822	1.5307	0.	0.	53.133	13.822	-3.4513	56.585	50.227
Total (Center)	5.4968	8.0583	5.3225	-4.725	0.	0.	11.673	5.3225	1.8821	9.791	8.6031
Total (Outside)	-6.7219e-002	-21.934	-3.1667	-0.65122	0.	0.	-4.7842e-002	-3.1667	-21.954	21.906	20.525

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.07	36.417	0.	10.424	38.05	45.574	12.065	50.227
6.2527e-002	42.114	36.372	0.	10.424	36.647	44.191	8.3053	47.87
0.12505	42.158	36.328	0.	10.424	35.244	42.809	5.5186	45.969
0.18758	42.201	36.283	0.	10.424	33.842	41.43	4.958	44.508
0.25011	42.245	36.238	0.	10.424	32.441	40.052	6.8306	43.464
0.31264	42.288	36.193	0.	10.424	31.041	38.677	9.6222	42.809
0.37516	42.332	36.148	0.	10.424	29.641	37.305	9.8367	39.806
0.43769	42.376	36.104	0.	10.424	28.242	35.935	10.134	36.561
0.50022	42.419	36.059	0.	10.424	26.845	34.569	10.904	33.546
0.56275	42.463	36.014	0.	10.424	25.449	33.206	11.995	30.776
0.62527	42.507	35.969	0.	10.424	24.054	31.847	13.28	28.276
0.6878	42.55	35.925	0.	10.424	22.661	30.493	13.726	26.218
0.75033	42.594	35.88	0.	10.424	21.27	29.144	13.535	24.361
0.81286	42.638	35.835	0.	10.424	19.882	27.801	13.428	22.538
0.87538	42.681	35.79	0.	10.424	18.497	26.465	13.399	20.758
0.93791	42.725	35.745	0.	10.424	17.116	25.136	13.441	19.03
1.0004	42.769	35.701	0.	10.424	15.74	23.818	13.49	17.399
1.063	42.812	35.656	0.	10.424	14.371	22.51	12.952	16.141
1.1255	42.856	35.611	0.	10.424	13.01	21.215	12.45	14.899
1.188	42.899	35.566	0.	10.424	11.661	19.936	11.985	13.678
1.2505	42.943	35.522	0.	10.424	10.328	18.675	11.56	12.486
1.3131	42.987	35.477	0.	10.424	9.0177	17.437	11.175	11.333
1.3756	43.03	35.432	0.	10.424	7.7425	16.228	10.774	10.265
1.4381	43.074	35.387	0.	10.424	6.5229	15.053	10.118	9.4164
1.5007	43.118	35.342	0.	10.424	5.3965	13.921	9.5425	8.6031
1.5632	43.161	35.298	0.	10.424	4.435	12.845	9.0271	7.826
1.6257	43.205	35.253	0.	10.424	3.7667	11.839	8.5475	7.1311
1.6882	43.249	35.208	0.	10.424	3.5608	10.922	8.1063	6.546
1.7508	43.292	35.163	0.	10.424	3.8915	10.119	7.5384	6.1469
1.8133	43.336	35.119	0.	10.424	4.6454	9.4596	7.0382	5.8845
1.8758	43.38	35.074	0.	10.424	5.6559	8.9743	6.6121	5.7825
1.9384	43.423	35.029	0.	10.424	6.8096	8.6929	6.2655	5.8551
2.0009	43.467	34.984	0.	10.424	8.0452	8.6351	5.9918	6.1017
2.0634	43.511	34.94	0.	10.424	9.3302	8.8056	5.7038	6.4703
2.1259	43.554	34.895	0.	10.424	10.647	9.1914	5.5137	6.9321
2.1885	43.598	34.85	0.	10.424	11.984	9.7673	5.4303	7.4658
2.251	43.641	34.805	0.	10.424	13.337	10.502	5.4454	8.0594
2.3135	43.685	34.76	0.	10.424	14.7	11.364	5.5309	8.809
2.376	43.729	34.716	0.	10.424	16.071	12.328	5.6351	9.5905
2.4386	43.772	34.671	0.	10.424	17.448	13.371	5.7912	10.381
2.5011	43.816	34.626	0.	10.424	18.83	14.477	6.0088	11.188
2.5636	43.86	34.581	0.	10.424	20.216	15.631	6.1813	12.184
2.6262	43.903	34.537	0.	10.424	21.605	16.824	6.3746	13.192
2.6887	43.947	34.492	0.	10.424	22.996	18.049	6.5893	14.207
2.7512	43.991	34.447	0.	10.424	24.389	19.298	6.8153	15.243
2.8137	44.034	34.402	0.	10.424	25.784	20.568	6.921	16.559
2.8763	44.078	34.357	0.	10.424	27.181	21.856	7.0261	17.878
2.9388	44.122	34.313	0.	10.424	28.579	23.157	7.1304	19.2
3.0013	44.165	34.268	0.	10.424	29.978	24.471	7.2338	20.525
