	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.98164	11.112	28.258	8.5441e-003	0.	0.	28.258	11.112	-0.98165	29.24	25.448
Bending (Inside)	-1.0107	-1.4721	-0.69063	0.	0.	0.	-0.69063	-1.0107	-1.4721	0.78148	0.68047
Bending (Outside)	0.98208	1.439	0.69063	0.	0.	0.	1.439	0.98208	0.69063	0.74833	0.65333
Membrane+Bending (Inside)	-1.9923	9.6401	27.568	8.5441e-003	0.	0.	27.568	9.6402	-1.9923	29.56	25.793
Membrane+Bending (Center)	-0.99594	11.096	28.258	8.5441e-003	0.	0.	28.258	11.096	-0.99594	29.254	25.462
Membrane+Bending (Outside)	4.364e-004	12.551	28.949	8.5441e-003	0.	0.	28.949	12.551	4.3058e-004	28.949	25.144
Peak (Inside)	0.	-1.8383e-002	-4.8511e-003	-8.1567e-003	0.	0.	3.0973e-003	-4.8511e-003	-2.1481e-002	2.4578e-002	2.1723e-002
Peak (Center)	2.1484e-002	9.1083e-003	2.3568e-003	4.0577e-003	0.	0.	2.2695e-002	7.8965e-003	2.3568e-003	2.0339e-002	1.8212e-002
Peak (Outside)	3.5811e-017	-1.7998e-002	-4.6431e-003	-8.1764e-003	0.	0.	3.1598e-003	-4.6431e-003	-2.1158e-002	2.4318e-002	2.1505e-002
Total (Inside)	-1.9923	9.6218	27.563	3.8732e-004	0.	0.	27.563	9.6218	-1.9923	29.555	25.79
Total (Center)	-0.97445	11.105	28.261	1.2602e-002	0.	0.	28.261	11.105	-0.97447	29.235	25.445
Total (Outside)	4.364e-004	12.533	28.944	3.6763e-004	0.	0.	28.944	12.533	4.3638e-004	28.944	25.141

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	81.72	0.	25.448	0.68047	25.793	2.1723e-002	25.79
6.25e-002	42.462	81.72	0.	25.448	0.65268	25.779	2.042e-002	25.775
0.125	42.525	81.72	0.	25.448	0.6249	25.765	1.9223e-002	25.76
0.1875	42.587	81.72	0.	25.448	0.59712	25.751	1.8153e-002	25.745
0.25	42.65	81.72	0.	25.448	0.56933	25.737	1.7235e-002	25.73
0.3125	42.712	81.72	0.	25.448	0.54155	25.723	1.6495e-002	25.715
0.375	42.775	81.72	0.	25.448	0.51377	25.709	1.5957e-002	25.7
0.4375	42.837	81.72	0.	25.448	0.48598	25.695	1.5643e-002	25.685
0.5	42.9	81.72	0.	25.448	0.4582	25.681	1.5566e-002	25.67
0.5625	42.962	81.72	0.	25.448	0.43042	25.667	1.5731e-002	25.655
0.625	43.025	81.72	0.	25.448	0.40264	25.653	1.5926e-002	25.641
0.6875	43.087	81.72	0.	25.448	0.37486	25.639	1.6028e-002	25.626
0.75	43.15	81.72	0.	25.448	0.34708	25.625	1.6187e-002	25.612
0.8125	43.212	81.72	0.	25.448	0.3193	25.612	1.6402e-002	25.598
0.875	43.275	81.72	0.	25.448	0.29153	25.598	1.667e-002	25.584
0.9375	43.337	81.72	0.	25.448	0.26375	25.584	1.6989e-002	25.569
1.	43.4	81.72	0.	25.448	0.23598	25.57	1.7356e-002	25.555
1.0625	43.462	81.72	0.	25.448	0.20821	25.557	1.7769e-002	25.541
1.125	43.525	81.72	0.	25.448	0.18044	25.543	1.8224e-002	25.527
1.1875	43.587	81.72	0.	25.448	0.15269	25.529	1.8693e-002	25.513
1.25	43.65	81.72	0.	25.448	0.12495	25.516	1.8594e-002	25.499
1.3125	43.712	81.72	0.	25.448	9.7226e-002	25.502	1.8496e-002	25.486
1.375	43.775	81.72	0.	25.448	6.956e-002	25.489	1.84e-002	25.472
1.4375	43.837	81.72	0.	25.448	4.2052e-002	25.475	1.8305e-002	25.459
1.5	43.9	81.72	0.	25.448	1.5562e-002	25.462	1.8212e-002	25.445
1.5625	43.962	81.72	0.	25.448	1.6127e-002	25.448	1.812e-002	25.432
1.625	44.025	81.72	0.	25.448	4.2686e-002	25.435	1.803e-002	25.419
1.6875	44.087	81.72	0.	25.448	7.02e-002	25.421	1.7941e-002	25.405
1.75	44.15	81.72	0.	25.448	9.7868e-002	25.408	1.7854e-002	25.392
1.8125	44.212	81.72	0.	25.448	0.12559	25.394	1.7388e-002	25.379
1.875	44.275	81.72	0.	25.448	0.15333	25.381	1.6731e-002	25.366
1.9375	44.337	81.72	0.	25.448	0.18109	25.368	1.6101e-002	25.353
2.	44.4	81.72	0.	25.448	0.20885	25.354	1.5501e-002	25.34
2.0625	44.462	81.72	0.	25.448	0.23662	25.341	1.4935e-002	25.327
2.125	44.525	81.72	0.	25.448	0.26439	25.328	1.4405e-002	25.315
2.1875	44.587	81.72	0.	25.448	0.29217	25.314	1.3917e-002	25.302
2.25	44.65	81.72	0.	25.448	0.31995	25.301	1.3476e-002	25.289
2.3125	44.712	81.72	0.	25.448	0.34772	25.288	1.3084e-002	25.276
2.375	44.775	81.72	0.	25.448	0.3755	25.275	1.2749e-002	25.264
2.4375	44.837	81.72	0.	25.448	0.40328	25.261	1.2561e-002	25.251
2.5	44.9	81.72	0.	25.448	0.43107	25.248	1.2684e-002	25.239
2.5625	44.962	81.72	0.	25.448	0.45885	25.235	1.3102e-002	25.227
2.625	45.025	81.72	0.	25.448	0.48663	25.222	1.3789e-002	25.214
2.6875	45.087	81.72	0.	25.448	0.51441	25.209	1.4707e-002	25.202
2.75	45.15	81.72	0.	25.448	0.54219	25.196	1.5816e-002	25.19
2.8125	45.212	81.72	0.	25.448	0.56998	25.183	1.7079e-002	25.178
2.875	45.275	81.72	0.	25.448	0.59776	25.17	1.8464e-002	25.165
2.9375	45.337	81.72	0.	25.448	0.62554	25.157	1.9946e-002	25.153
3.	45.4	81.72	0.	25.448	0.65333	25.144	2.1505e-002	25.141
