	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.17791	-1.1937	-3.5131	-0.29664	0.	0.	-9.7627e-002	-1.274	-3.5131	3.4155	3.0052
Bending (Inside)	-0.86638	-6.1853	-5.3311	0.	0.	0.	-0.86638	-5.3311	-6.1853	5.3189	4.9474
Bending (Outside)	0.44211	5.819	5.3311	0.	0.	0.	5.819	5.3311	0.44211	5.3769	5.1503
Membrane+Bending (Inside)	-1.0443	-7.379	-8.8442	-0.29664	0.	0.	-1.0304	-7.3929	-8.8442	7.8138	7.1987
Membrane+Bending (Center)	-0.39004	-1.3769	-3.5131	-0.29664	0.	0.	-0.30774	-1.4592	-3.5131	3.2054	2.8124
Membrane+Bending (Outside)	0.2642	4.6253	1.818	-0.29664	0.	0.	4.6453	1.818	0.24412	4.4012	3.8627
Peak (Inside)	0.	0.52219	3.7047	0.88823	0.	0.	3.7047	1.1869	-0.66471	4.3694	3.7986
Peak (Center)	0.2003	-0.30822	-3.9034e-002	-5.464e-002	0.	0.	0.2061	-3.9034e-002	-0.31402	0.52013	0.45069
Peak (Outside)	0.	1.3019	3.974e-002	-0.75985	0.	0.	1.6515	3.974e-002	-0.3496	2.0011	1.8376
Total (Inside)	-1.0443	-6.8568	-5.1396	0.59159	0.	0.	-0.98469	-5.1396	-6.9164	5.9317	5.2728
Total (Center)	-0.18974	-1.6851	-3.5521	-0.35128	0.	0.	-0.11133	-1.7635	-3.5521	3.4408	2.9806
Total (Outside)	0.2642	5.9272	1.8578	-1.0565	0.	0.	6.1178	1.8578	7.3524e-002	6.0443	5.3789

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.	2.099e-013	0.	3.0052	4.9474	7.1987	3.7986	5.2728
6.298e-002	15.063	-8.3639e-004	0.	3.0052	4.7373	6.9982	2.9079	5.4301
0.12596	15.126	-1.6728e-003	0.	3.0052	4.5272	6.7983	2.1332	5.6763
0.18894	15.189	-2.5092e-003	0.	3.0052	4.3171	6.5991	1.5235	5.9724
0.25192	15.252	-3.3456e-003	0.	3.0052	4.107	6.4005	1.189	6.2874
0.3149	15.315	-4.1819e-003	0.	3.0052	3.897	6.2027	1.2304	6.5986
0.37788	15.378	-5.0183e-003	0.	3.0052	3.687	6.0058	1.3507	6.6606
0.44086	15.441	-5.8547e-003	0.	3.0052	3.477	5.8098	1.3856	6.5667
0.50384	15.504	-6.6911e-003	0.	3.0052	3.267	5.6148	1.3943	6.4411
0.56682	15.567	-7.5275e-003	0.	3.0052	3.057	5.421	1.3731	6.2845
0.6298	15.63	-8.3639e-003	0.	3.0052	2.8471	5.2284	1.3207	6.0979
0.69278	15.693	-9.2003e-003	0.	3.0052	2.6373	5.0372	1.2406	5.8861
0.75576	15.756	-1.0037e-002	0.	3.0052	2.4275	4.8477	1.1955	5.7091
0.81874	15.819	-1.0873e-002	0.	3.0052	2.2179	4.6599	1.1273	5.5082
0.88172	15.882	-1.1709e-002	0.	3.0052	2.0083	4.4741	1.038	5.2859
0.9447	15.945	-1.2546e-002	0.	3.0052	1.7989	4.2905	0.92989	5.0441
1.0077	16.008	-1.3382e-002	0.	3.0052	1.5898	4.1096	0.80601	4.7849
1.0707	16.071	-1.4219e-002	0.	3.0052	1.3809	3.9315	0.67071	4.51
1.1336	16.134	-1.5055e-002	0.	3.0052	1.1726	3.7568	0.62979	4.3236
1.1966	16.197	-1.5891e-002	0.	3.0052	0.96509	3.5858	0.57484	4.1156
1.2596	16.259	-1.6728e-002	0.	3.0052	0.75911	3.4193	0.5129	3.8898
1.3226	16.322	-1.7564e-002	0.	3.0052	0.55632	3.2578	0.45991	3.656
1.3856	16.385	-1.8401e-002	0.	3.0052	0.36214	3.1022	0.42764	3.4158
1.4485	16.448	-1.9237e-002	0.	3.0052	0.20302	2.9534	0.42839	3.1753
1.5115	16.511	-2.0073e-002	0.	3.0052	0.19922	2.8124	0.45069	2.9806
1.5745	16.574	-2.091e-002	0.	3.0052	0.35577	2.6805	0.48233	2.7958
1.6375	16.637	-2.1746e-002	0.	3.0052	0.54942	2.559	0.52	2.622
1.7005	16.7	-2.2582e-002	0.	3.0052	0.75204	2.4497	0.56111	2.4608
1.7634	16.763	-2.3419e-002	0.	3.0052	0.95795	2.3541	0.60383	2.3138
1.8264	16.826	-2.4255e-002	0.	3.0052	1.1654	2.2739	0.64688	2.183
1.8894	16.889	-2.5092e-002	0.	3.0052	1.3737	2.2109	0.67204	2.0767
1.9524	16.952	-2.5928e-002	0.	3.0052	1.5825	2.1666	0.68991	1.9934
2.0154	17.015	-2.6764e-002	0.	3.0052	1.7917	2.142	0.70822	1.9325
2.0783	17.078	-2.7601e-002	0.	3.0052	2.0011	2.138	0.72674	1.8936
2.1413	17.141	-2.8437e-002	0.	3.0052	2.2106	2.1546	0.74528	1.8788
2.2043	17.204	-2.9274e-002	0.	3.0052	2.4203	2.1913	0.76374	1.8907
2.2673	17.267	-3.011e-002	0.	3.0052	2.6301	2.2471	0.77061	1.9451
2.3303	17.33	-3.0946e-002	0.	3.0052	2.8399	2.3208	0.75739	2.0574
2.3932	17.393	-3.1783e-002	0.	3.0052	3.0498	2.4106	0.74964	2.1901
2.4562	17.456	-3.2619e-002	0.	3.0052	3.2597	2.5147	0.74754	2.3395
2.5192	17.519	-3.3456e-002	0.	3.0052	3.4697	2.6316	0.75114	2.5029
2.5822	17.582	-3.4292e-002	0.	3.0052	3.6797	2.7596	0.76036	2.6775
2.6452	17.645	-3.5128e-002	0.	3.0052	3.8897	2.8972	0.77193	2.8903
2.7081	17.708	-3.5965e-002	0.	3.0052	4.0998	3.0431	0.82028	3.2866
2.7711	17.771	-3.6801e-002	0.	3.0052	4.3099	3.1962	0.94832	3.6926
2.8341	17.834	-3.7637e-002	0.	3.0052	4.52	3.3555	1.1308	4.1061
2.8971	17.897	-3.8474e-002	0.	3.0052	4.7301	3.5202	1.3472	4.5256
2.9601	17.96	-3.931e-002	0.	3.0052	4.9402	3.6894	1.5851	4.95
3.023	18.023	-4.0147e-002	0.	3.0052	5.1503	3.8627	1.8376	5.3789
