	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.45575	-1.1318	-7.2179	0.24694	0.	0.	-0.37515	-1.2123	-7.2179	6.8428	6.465
Bending (Inside)	-2.8113e-003	-6.2967	-12.283	0.	0.	0.	-2.8113e-003	-6.2967	-12.283	12.28	10.636
Bending (Outside)	0.74147	5.9205	12.283	0.	0.	0.	12.283	5.9205	0.74147	11.542	10.013
Membrane+Bending (Inside)	-0.45856	-7.4284	-19.501	0.24694	0.	0.	-0.44982	-7.4372	-19.501	19.051	16.693
Membrane+Bending (Center)	-8.6415e-002	-1.3199	-7.2179	0.24694	0.	0.	-3.8814e-002	-1.3675	-7.2179	7.1791	6.6156
Membrane+Bending (Outside)	0.28573	4.7887	5.0654	0.24694	0.	0.	5.0654	4.8022	0.27223	4.7931	4.6671
Peak (Inside)	0.	-0.1435	-7.8606	1.4036	0.	0.	1.3337	-1.4772	-7.8606	9.1943	8.1604
Peak (Center)	-0.44588	9.0046e-003	2.2586	8.4915e-002	0.	0.	2.2586	2.4339e-002	-0.46122	2.7199	2.5125
Peak (Outside)	0.	-2.8522e-002	-3.678	-1.4118	0.	0.	1.3976	-1.4261	-3.678	5.0757	4.4049
Total (Inside)	-0.45856	-7.5719	-27.362	1.6505	0.	0.	-9.4233e-002	-7.9362	-27.362	27.268	24.314
Total (Center)	-0.5323	-1.3108	-4.9593	0.33185	0.	0.	-0.41004	-1.4331	-4.9593	4.5493	4.1338
Total (Outside)	0.28573	4.7602	1.3873	-1.1649	0.	0.	5.0453	1.3873	6.3814e-004	5.0447	4.514

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.178	-1.0635	0.	6.465	10.636	16.693	8.1604	24.314
6.4378e-002	15.243	-1.0623	0.	6.465	10.207	16.267	6.9854	22.712
0.12876	15.307	-1.0612	0.	6.465	9.7771	15.842	5.794	21.087
0.19313	15.371	-1.06	0.	6.465	9.3475	15.416	4.5964	19.442
0.25751	15.436	-1.0588	0.	6.465	8.918	14.991	3.4137	17.78
0.32189	15.5	-1.0577	0.	6.465	8.4885	14.566	2.3069	16.102
0.38627	15.564	-1.0565	0.	6.465	8.0591	14.141	1.5145	14.416
0.45065	15.629	-1.0553	0.	6.465	7.6297	13.717	1.3888	13.586
0.51502	15.693	-1.0542	0.	6.465	7.2003	13.293	1.3918	12.759
0.5794	15.758	-1.053	0.	6.465	6.7711	12.87	1.5216	11.932
0.64378	15.822	-1.0518	0.	6.465	6.3419	12.446	1.7492	11.107
0.70816	15.886	-1.0507	0.	6.465	5.9128	12.024	2.0416	10.284
0.77253	15.951	-1.0495	0.	6.465	5.4839	11.602	2.3314	9.5085
0.83691	16.015	-1.0483	0.	6.465	5.0551	11.18	2.4337	8.9516
0.90129	16.079	-1.0472	0.	6.465	4.6265	10.759	2.5375	8.3982
0.96567	16.144	-1.046	0.	6.465	4.1982	10.339	2.6419	7.8483
1.03	16.208	-1.0448	0.	6.465	3.7702	9.9201	2.7463	7.3022
1.0944	16.272	-1.0437	0.	6.465	3.3428	9.5018	2.85	6.7599
1.1588	16.337	-1.0425	0.	6.465	2.9161	9.0846	2.8433	6.3364
1.2232	16.401	-1.0413	0.	6.465	2.4905	8.6686	2.8162	5.9361
1.2876	16.466	-1.0402	0.	6.465	2.0666	8.2541	2.7897	5.5371
1.3519	16.53	-1.039	0.	6.465	1.6459	7.8412	2.7641	5.1394
1.4163	16.594	-1.0378	0.	6.465	1.2316	7.4303	2.7392	4.7436
1.4807	16.659	-1.0367	0.	6.465	0.83319	7.0216	2.6374	4.4251
1.5451	16.723	-1.0355	0.	6.465	0.49118	6.6156	2.5125	4.1338
1.6094	16.787	-1.0343	0.	6.465	0.39741	6.2129	2.3857	3.8502
1.6738	16.852	-1.0331	0.	6.465	0.66652	5.814	2.2573	3.5752
1.7382	16.916	-1.032	0.	6.465	1.0489	5.4199	2.1275	3.3101
1.8026	16.981	-1.0308	0.	6.465	1.458	5.0316	1.9753	3.0781
1.867	17.045	-1.0296	0.	6.465	1.8764	4.6507	1.7677	2.9168
1.9313	17.109	-1.0285	0.	6.465	2.2991	4.2791	1.5644	2.771
1.9957	17.174	-1.0273	0.	6.465	2.724	3.9194	1.3675	2.6435
2.0601	17.238	-1.0261	0.	6.465	3.1503	3.5752	1.1803	2.537
2.1245	17.302	-1.025	0.	6.465	3.5775	3.2515	1.0083	2.4541
2.1888	17.367	-1.0238	0.	6.465	4.0052	2.955	0.86057	2.3972
2.2532	17.431	-1.0226	0.	6.465	4.4334	2.6947	0.74661	2.4241
2.3176	17.495	-1.0215	0.	6.465	4.8618	2.4821	0.74286	2.4834
2.382	17.56	-1.0203	0.	6.465	5.2905	2.3301	0.85474	2.5644
2.4464	17.624	-1.0191	0.	6.465	5.7194	2.2512	1.0458	2.665
2.5107	17.689	-1.018	0.	6.465	6.1484	2.253	1.2811	2.7829
2.5751	17.753	-1.0168	0.	6.465	6.5776	2.3353	1.5405	2.9159
2.6395	17.817	-1.0156	0.	6.465	7.0068	2.4902	1.8207	3.0654
2.7039	17.882	-1.0145	0.	6.465	7.4361	2.7052	2.1817	3.2604
2.7682	17.946	-1.0133	0.	6.465	7.8655	2.9673	2.5474	3.4614
2.8326	18.01	-1.0121	0.	6.465	8.2949	3.2651	2.916	3.667
2.897	18.075	-1.011	0.	6.465	8.7244	3.5898	3.2866	3.8758
2.9614	18.139	-1.0098	0.	6.465	9.1539	3.9347	3.6585	4.0871
3.0258	18.203	-1.0086	0.	6.465	9.5834	4.295	4.0314	4.3
3.0901	18.268	-1.0075	0.	6.465	10.013	4.6671	4.4049	4.514
