	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.28289	-1.1595	-6.7667	-7.029e-002	0.	0.	-0.27729	-1.1651	-6.7667	6.4894	6.0942
Bending (Inside)	-0.46566	-6.3359	-11.349	0.	0.	0.	-0.46566	-6.3359	-11.349	10.883	9.435
Bending (Outside)	0.58072	5.9582	11.349	0.	0.	0.	11.349	5.9582	0.58072	10.768	9.3257
Membrane+Bending (Inside)	-0.74855	-7.4954	-18.116	-7.029e-002	0.	0.	-0.74782	-7.4961	-18.116	17.368	15.165
Membrane+Bending (Center)	-0.22536	-1.3484	-6.7667	-7.029e-002	0.	0.	-0.22098	-1.3528	-6.7667	6.5457	6.0596
Membrane+Bending (Outside)	0.29783	4.7986	4.5824	-7.029e-002	0.	0.	4.7997	4.5824	0.29673	4.503	4.3983
Peak (Inside)	0.	0.41553	-6.0502	0.96175	0.	0.	1.1917	-0.77617	-6.0502	7.2419	6.4859
Peak (Center)	-0.10941	-0.20296	1.9768	1.1557e-002	0.	0.	1.9768	-0.108	-0.20436	2.1812	2.1346
Peak (Outside)	0.	0.53058	-3.1244	-1.1416	0.	0.	1.4373	-0.90672	-3.1244	4.5617	3.9511
Total (Inside)	-0.74855	-7.0799	-24.166	0.89146	0.	0.	-0.62543	-7.203	-24.166	23.541	21.038
Total (Center)	-0.33477	-1.5513	-4.7899	-5.8733e-002	0.	0.	-0.33194	-1.5542	-4.7899	4.4579	3.9898
Total (Outside)	0.29783	5.3292	1.458	-1.2119	0.	0.	5.6059	1.458	2.1143e-002	5.5847	5.0229

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.064	-0.53596	0.	6.0942	9.435	15.165	6.4859	21.038
6.3738e-002	15.128	-0.53442	0.	6.0942	9.0444	14.779	5.6239	19.829
0.12748	15.191	-0.53288	0.	6.0942	8.6538	14.393	4.7576	18.614
0.19122	15.255	-0.53133	0.	6.0942	8.2632	14.007	3.8909	17.392
0.25495	15.319	-0.52979	0.	6.0942	7.8726	13.622	3.0309	16.164
0.31869	15.383	-0.52825	0.	6.0942	7.482	13.237	2.1959	14.932
0.38243	15.446	-0.52671	0.	6.0942	7.0914	12.852	1.454	13.711
0.44617	15.51	-0.52517	0.	6.0942	6.7008	12.468	1.1529	12.942
0.50991	15.574	-0.52363	0.	6.0942	6.3103	12.084	0.94463	12.169
0.57365	15.638	-0.52209	0.	6.0942	5.9198	11.7	0.90347	11.391
0.63738	15.701	-0.52054	0.	6.0942	5.5294	11.317	1.055	10.609
0.70112	15.765	-0.519	0.	6.0942	5.1389	10.935	1.3396	9.8222
0.76486	15.829	-0.51746	0.	6.0942	4.7486	10.553	1.6596	9.0691
0.8286	15.892	-0.51592	0.	6.0942	4.3583	10.172	1.7642	8.5653
0.89234	15.956	-0.51438	0.	6.0942	3.968	9.7913	1.8784	8.0569
0.95608	16.02	-0.51284	0.	6.0942	3.5779	9.4117	2.0016	7.544
1.0198	16.084	-0.5113	0.	6.0942	3.188	9.0331	2.133	7.0269
1.0836	16.147	-0.50976	0.	6.0942	2.7983	8.6555	2.2721	6.5058
1.1473	16.211	-0.50821	0.	6.0942	2.4089	8.2792	2.3379	6.0582
1.211	16.275	-0.50667	0.	6.0942	2.02	7.9042	2.3082	5.7043
1.2748	16.338	-0.50513	0.	6.0942	1.6321	7.5309	2.2815	5.3491
1.3385	16.402	-0.50359	0.	6.0942	1.2459	7.1594	2.2578	4.9931
1.4022	16.466	-0.50205	0.	6.0942	0.86374	6.7901	2.2368	4.6366
1.466	16.53	-0.50051	0.	6.0942	0.49524	6.4234	2.2185	4.2801
