	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	-0.39965	-1.1318	-7.5784	0.12905	0.	0.	-0.37757	-1.1539	-7.5784	7.2008	6.8458
Bending (Inside)	-0.61737	-6.2608	-12.957	0.	0.	0.	-0.61737	-6.2608	-12.957	12.34	10.7
Bending (Outside)	0.7544	5.8839	12.957	0.	0.	0.	12.957	5.8839	0.7544	12.203	10.613
Membrane+Bending (Inside)	-1.017	-7.3926	-20.536	0.12905	0.	0.	-1.0144	-7.3952	-20.536	19.521	17.241
Membrane+Bending (Center)	-0.33113	-1.3202	-7.5784	0.12905	0.	0.	-0.31457	-1.3368	-7.5784	7.2638	6.8105
Membrane+Bending (Outside)	0.35475	4.7521	5.3789	0.12905	0.	0.	5.3789	4.7559	0.35097	5.028	4.7472
Peak (Inside)	0.	8.2481e-002	-9.5803	1.4234	0.	0.	1.4652	-1.3827	-9.5803	11.046	9.9326
Peak (Center)	-0.12569	-8.2356e-002	2.5139	6.9334e-002	0.	0.	2.5139	-3.138e-002	-0.17666	2.6905	2.6209
Peak (Outside)	0.	8.9638e-002	-4.0165	-1.4387	0.	0.	1.4842	-1.3946	-4.0165	5.5007	4.7655
Total (Inside)	-1.017	-7.3101	-30.116	1.5524	0.	0.	-0.65488	-7.6722	-30.116	29.461	26.655
Total (Center)	-0.45682	-1.4026	-5.0645	0.19838	0.	0.	-0.41689	-1.4425	-5.0645	4.6476	4.2292
Total (Outside)	0.35475	4.8417	1.3624	-1.3097	0.	0.	5.196	1.3624	4.5313e-004	5.1956	4.6661

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	15.115	-0.80108	0.	6.8458	10.7	17.241	9.9326	26.655
6.4647e-002	15.18	-0.80147	0.	6.8458	10.256	16.8	8.3934	24.709
0.12929	15.244	-0.80187	0.	6.8458	9.8121	16.36	6.8756	22.78
0.19394	15.309	-0.80226	0.	6.8458	9.3683	15.921	5.3839	20.867
0.25859	15.373	-0.80265	0.	6.8458	8.9245	15.481	3.9308	18.971
0.32324	15.438	-0.80305	0.	6.8458	8.4808	15.042	2.5587	17.091
0.38788	15.503	-0.80344	0.	6.8458	8.037	14.603	1.5153	15.313
0.45253	15.567	-0.80383	0.	6.8458	7.5933	14.164	1.2959	14.408
0.51718	15.632	-0.80423	0.	6.8458	7.1496	13.726	1.2388	13.498
0.58182	15.697	-0.80462	0.	6.8458	6.706	13.288	1.3695	12.584
0.64647	15.761	-0.80501	0.	6.8458	6.2623	12.85	1.6676	11.641
0.71112	15.826	-0.80541	0.	6.8458	5.8187	12.413	2.0546	10.702
0.77577	15.891	-0.8058	0.	6.8458	5.3752	11.976	2.3915	9.8677
0.84041	15.955	-0.80619	0.	6.8458	4.9317	11.54	2.5216	9.2694
0.90506	16.02	-0.80659	0.	6.8458	4.4883	11.105	2.6538	8.6746
0.96971	16.085	-0.80698	0.	6.8458	4.045	10.67	2.787	8.0832
1.0344	16.149	-0.80737	0.	6.8458	3.6019	10.236	2.9202	7.4954
1.099	16.214	-0.80776	0.	6.8458	3.159	9.803	3.0528	6.9112
1.1636	16.279	-0.80816	0.	6.8458	2.7164	9.3709	3.0432	6.4704
1.2283	16.343	-0.80855	0.	6.8458	2.2744	8.94	2.9942	6.0705
1.2929	16.408	-0.80894	0.	6.8458	1.8332	8.5104	2.946	5.6715
1.3576	16.472	-0.80934	0.	6.8458	1.3937	8.0824	2.8986	5.2737
1.4222	16.537	-0.80973	0.	6.8458	0.95844	7.6562	2.8521	4.8774
1.4869	16.602	-0.81012	0.	6.8458	0.53741	7.2321	2.7827	4.5061
1.5515	16.666	-0.81052	0.	6.8458	0.23045	6.8105	2.6209	4.2292
1.6162	16.731	-0.81091	0.	6.8458	0.45991	6.392	2.4584	3.9583
1.6808	16.796	-0.8113	0.	6.8458	0.87409	5.9771	2.2954	3.6945
1.7455	16.86	-0.8117	0.	6.8458	1.3079	5.5667	2.1322	3.4389
1.8101	16.925	-0.81209	0.	6.8458	1.7468	5.1618	1.9692	3.193
1.8748	16.99	-0.81248	0.	6.8458	2.1877	4.7639	1.7716	2.9952
1.9394	17.054	-0.81288	0.	6.8458	2.6297	4.3749	1.5392	2.8514
2.0041	17.119	-0.81327	0.	6.8458	3.0722	3.9973	1.3136	2.7252
2.0687	17.184	-0.81366	0.	6.8458	3.515	3.6347	1.0992	2.6189
2.1334	17.248	-0.81406	0.	6.8458	3.9581	3.2921	0.90404	2.5352
2.198	17.313	-0.81445	0.	6.8458	4.4014	2.9764	0.74344	2.4762
2.2626	17.378	-0.81484	0.	6.8458	4.8447	2.6971	0.6465	2.466
2.3273	17.442	-0.81524	0.	6.8458	5.2882	2.4665	0.68973	2.5318
2.3919	17.507	-0.81563	0.	6.8458	5.7317	2.2994	0.86564	2.6209
2.4566	17.571	-0.81602	0.	6.8458	6.1753	2.2101	1.1129	2.7307
2.5212	17.636	-0.81641	0.	6.8458	6.619	2.2082	1.3939	2.8587
2.5859	17.701	-0.81681	0.	6.8458	7.0626	2.2939	1.6918	3.0022
2.6505	17.765	-0.8172	0.	6.8458	7.5063	2.458	1.999	3.1589
2.7152	17.83	-0.81759	0.	6.8458	7.95	2.6862	2.3789	3.3565
