Node Number	Normal Stress (MPa)
1	-1.5413
2	4.1437
3	-0.17225
4	0.6357
5	1.3601
6	2.0505
7	2.6533
8	3.1861
9	3.6768
10	4.18
11	3.8066
12	3.6884
13	3.6853
14	3.7528
15	3.8806
16	4.052
17	4.2468
18	4.4482
19	4.6378
20	4.8059
21	4.9449
22	5.0485
23	5.1167
24	5.1501
25	5.1528
26	5.1276
27	5.08
28	5.0128
29	4.9305
30	4.8377
31	4.737
32	4.6314
33	4.524
34	4.4158
35	4.3098
36	4.2062
37	4.1066
38	4.0117
39	3.9226
40	3.8396
41	3.7622
42	3.6917
43	3.6275
44	3.5701
45	3.5191
46	3.4743
47	3.4358
48	3.4027
49	3.3751
50	3.3525
51	3.3345
52	3.3206
53	3.3106
54	3.3038
55	3.2996
56	3.2975
57	3.2973
58	3.2985
59	3.3001
60	3.3024
61	3.3051
62	3.3079
63	3.3109
64	3.3132
65	3.3156
66	3.3177
67	3.3195
68	3.3208
69	3.3216
70	3.3221
71	3.3212
72	3.3197
73	3.3172
74	3.3138
75	3.309
76	3.3023
77	3.2942
78	3.2849
79	3.2738
80	3.2614
81	3.2475
82	3.232
83	3.2152
84	3.1977
85	3.179
86	3.1594
87	3.139
88	3.1176
89	3.0956
90	3.0725
91	3.0488
92	3.0242
93	2.9993
94	2.9736
95	2.9472
96	2.9211
97	2.8949
98	2.8687
99	2.8433
100	2.8186
101	2.7951
102	2.772
103	2.7504
104	2.7311
105	2.7133
106	2.6977
107	2.6845
108	2.6743
109	2.6675
110	2.6641
111	2.665
112	2.6703
113	2.6811
114	2.6978
115	2.7211
116	2.752
117	2.7908
118	2.839
119	2.8976
120	2.9682
121	3.0511
122	3.1493
123	3.2627
124	3.3949
125	3.5446
126	3.7241
127	3.9279
128	16.29
129	16.173
130	16.
131	15.799
132	15.581
133	15.348
134	15.105
135	14.853
136	14.593
137	14.328
138	14.058
139	13.784
140	13.507
141	13.229
142	12.948
143	12.667
144	12.386
145	12.105
146	11.826
147	11.548
148	11.273
149	10.999
150	10.729
151	10.462
152	10.199
153	9.9392
154	9.6832
155	9.4309
156	9.1824
157	8.9377
158	8.6959
159	8.4573
160	8.221
161	7.9867
162	7.7537
163	7.5215
164	7.2895
165	7.0569
166	6.8235
167	6.5885
168	6.3521
169	6.114
170	5.8743
171	5.633
172	5.3927
173	5.1559
174	4.9247
175	4.7015
176	4.4941
177	4.3079
178	4.145
179	4.1345
180	17.717
181	17.809
182	17.908
183	18.013
184	18.12
185	18.222
186	18.312
187	18.386
188	18.443
189	18.48
190	18.498
191	18.496
192	18.474
193	18.433
194	18.373
195	18.294
196	18.196
197	18.081
198	17.949
199	17.798
200	17.63
201	17.445
202	17.246
203	17.039
204	16.836
205	16.638
206	16.448
207	6.6238
208	17.633
209	17.545
210	17.453
211	17.356
212	17.254
213	17.149
214	17.039
215	16.924
216	16.805
217	16.682
218	16.554
219	16.421
220	16.285
221	16.143
222	15.998
223	15.848
224	15.693
225	15.534
226	15.371
227	15.203
228	15.031
229	14.855
230	14.674
231	14.49
232	14.301
233	14.107
234	13.91
235	13.709
236	13.503
237	13.294
238	13.08
239	12.863
240	12.642
241	12.417
242	12.188
243	11.955
244	11.719
245	11.479
246	11.235
247	10.987
248	10.736
249	10.482
250	10.225
251	9.964
252	9.6996
253	9.4333
254	9.1626
255	8.8896
256	8.6141
257	8.3368
258	8.0581
259	7.7788
260	7.4995
261	7.2213
262	6.946
263	6.675
264	6.4097
265	6.1525
266	5.9056
267	5.6721
268	5.4543
269	5.255
270	5.0774
271	4.925
272	4.8005
273	4.7065
274	4.6459
275	4.6207
276	4.6335
277	4.6867
278	4.7817
279	4.9226
280	5.112
281	5.3561
282	5.6733
283	6.1007
284	16.75
285	16.631
286	16.508
287	16.382
288	16.253
289	16.121
290	15.986
291	15.847
292	15.706
293	15.561
294	15.414
295	15.262
296	15.108
297	14.951
298	14.79
299	14.626
300	14.459
301	14.289
302	14.115
303	13.938
304	13.758
305	13.575
306	13.389
307	13.199
308	13.007
309	12.811
310	12.612
311	12.411
312	12.206
313	11.998
314	11.788
315	11.575
316	11.358
317	11.14
318	10.918
319	10.694
320	10.468
321	10.238
322	10.007
323	9.7726
324	9.5364
325	9.298
326	9.0575
327	8.8152
328	8.5708
329	8.3247
330	8.0773
331	7.8283
332	7.5785
333	7.3277
334	7.0768
335	6.8265
336	6.5779
337	6.3312
338	6.0879
339	5.848
340	5.6159
341	5.3909
342	5.1761
343	4.9737
344	4.786
345	4.6157
346	4.4661
347	4.3422
348	4.2392
349	4.1675
350	4.1288
351	4.1237
352	4.1537
353	4.2221
354	4.3304
355	4.4808
356	4.6742
357	4.9168
358	5.2145
359	5.5795
360	6.0435
361	18.886
362	18.886
363	18.885
364	18.884
365	18.883
366	18.882
367	18.881
368	18.881
369	18.881
370	18.881
371	18.881
372	18.882
373	18.882
374	18.883
375	18.884
376	18.885
377	18.886
378	18.887
379	18.888
380	18.889
381	18.889
382	18.889
383	18.889
384	18.889
385	18.889
386	18.889
387	18.888
388	18.888
389	18.887
390	18.886
391	18.885
392	18.883
393	18.882
394	18.881
395	18.88
396	18.878
397	18.877
398	18.875
399	18.874
400	18.872
401	18.871
402	18.869
403	18.868
404	18.867
405	18.866
406	18.865
407	18.864
408	18.863
409	18.862
410	18.862
411	18.861
412	18.861
413	18.862
414	18.862
415	18.862
416	18.863
417	18.865
418	18.866
419	18.868
420	18.87
421	18.872
422	18.875
423	18.878
424	18.882
425	18.886
426	18.89
427	18.895
428	18.9
429	18.906
430	18.913
431	18.919
432	18.927
433	18.934
434	18.943
435	18.952
436	18.961
437	18.972
438	18.983
439	18.994
440	19.006
441	19.019
442	19.033
443	19.047
444	19.061
445	19.077
446	19.093
447	19.11
448	19.127
449	19.145
450	19.164
451	19.183
452	19.203
453	19.224
454	19.245
455	19.266
456	19.288
457	19.311
458	19.334
459	19.358
460	19.381
461	19.405
462	19.429
463	19.454
464	19.478
465	19.502
466	19.526
467	19.549
468	19.572
469	19.595
470	19.617
471	19.638
472	19.659
473	19.678
474	19.696
475	19.712
476	19.727
477	19.739
478	19.75
479	19.758
480	19.763
481	19.766
482	19.766
483	19.762
484	19.754
485	19.743
486	19.727
487	19.706
488	19.68
489	19.648
490	19.612
491	19.568
492	19.519
493	19.462
494	19.398
495	19.326
496	19.246
497	19.157
498	19.059
499	18.952
500	18.834
501	18.706
502	18.568
503	18.417
504	18.255
505	18.08
506	17.893
507	17.698
508	17.502
509	17.317
510	17.155
511	17.015
512	16.884
513	14.9
514	15.3
515	15.836
516	16.409
517	16.984
518	17.531
519	18.01
520	18.452
521	9.7028
522	14.804
523	14.724
524	14.656
525	14.682
526	14.657
527	14.659
528	14.668
529	14.687
530	14.691
531	14.698
532	14.718
533	14.722
534	14.728
535	14.746
536	14.748
537	14.753
538	14.768
539	14.769
540	14.773
541	14.785
542	14.785
543	14.788
544	14.798
545	14.798
546	14.8
547	14.808
548	14.808
549	14.809
550	14.815
551	14.815
552	14.816
553	14.821
554	14.82
555	14.821
556	14.826
557	14.825
558	14.826
559	14.83
560	14.83
561	14.831
562	14.835
563	14.835
564	14.836
565	14.84
566	14.84
567	14.842
568	14.846
569	14.847
570	14.849
571	14.854
572	14.855
573	14.858
574	14.863
575	14.866
576	14.869
577	14.875
578	14.878
579	14.883
580	14.889
581	14.893
582	14.899
583	14.905
584	14.91
585	14.918
586	14.924
587	14.93
588	14.938
589	14.946
590	14.952
591	14.961
592	14.969
593	14.976
594	14.986
595	14.995
596	15.002
597	15.013
598	15.021
599	15.03
600	15.04
601	15.048
602	15.057
603	15.066
604	15.075
605	15.083
606	15.092
607	15.1
608	15.107
609	15.115
610	15.121
611	15.126
612	15.132
613	15.137
614	15.14
615	15.143
616	15.144
617	15.144
618	15.144
619	15.141
620	15.137
621	15.132
622	15.125
623	15.115
624	15.105
625	15.09
626	15.074
627	15.056
628	15.035
629	15.01
630	14.984
631	14.953
632	14.919
633	14.882
634	14.841
635	14.796
636	14.747
637	14.693
638	14.635
639	14.573
640	14.505
641	14.432
642	14.355
643	14.271
644	14.182
645	14.087
646	13.986
647	13.879
648	13.766
649	13.646
650	13.52
651	13.388
652	13.248
653	13.102
654	12.95
655	12.79
656	12.623
657	12.45
658	12.269
659	12.082
660	11.889
661	11.688
662	11.482
663	11.271
664	11.053
665	10.833
666	10.619
667	10.416
668	10.232
669	10.076
670	9.9444
671	9.8239
672	22.935
673	9.5936
674	9.4847
675	9.3754
676	9.2656
677	9.1559
678	9.0459
679	8.9355
680	8.8253
681	8.7158
682	8.6058
683	8.4963
684	8.3874
685	8.2787
686	8.1703
687	8.0633
688	7.9568
689	7.8513
690	7.7467
691	7.6432
692	7.5411
693	7.4402
694	7.3413
695	7.2436
696	7.1475
697	7.0535
698	6.9619
699	6.872
700	6.7851
701	6.7006
702	6.6188
703	6.5396
704	6.4637
705	6.3907
706	6.3209
707	6.2546
708	6.1917
709	6.1328
710	6.0779
711	6.027
712	5.9799
713	5.9379
714	5.9
715	5.8666
716	5.838
717	5.8141
718	5.7954
719	5.7821
720	5.7744
721	5.7722
722	5.776
723	5.7858
724	5.8036
725	5.8282
726	5.8613
727	5.9052
728	5.9609
729	6.0306
