Node Number	Total Deformation (mm)
1	1.7033
2	1.7112
3	1.7041
4	1.705
5	1.7059
6	1.707
7	1.7081
8	1.7091
9	1.7101
10	1.1786
11	1.1818
12	1.1854
13	1.1893
14	1.1935
15	1.1978
16	1.2023
17	1.2068
18	1.2113
19	1.2159
20	1.2204
21	1.225
22	1.2295
23	1.2341
24	1.2386
25	1.2432
26	1.2477
27	1.2523
28	1.2568
29	1.2614
30	1.2659
31	1.2705
32	1.275
33	1.2796
34	1.2841
35	1.2886
36	1.2932
37	1.2977
38	1.3023
39	1.3068
40	1.3113
41	1.3159
42	1.3204
43	1.3249
44	1.3295
45	1.334
46	1.3386
47	1.3431
48	1.3476
49	1.3522
50	1.3567
51	1.3612
52	1.3658
53	1.3703
54	1.3748
55	1.3794
56	1.3839
57	1.3884
58	1.393
59	1.3975
60	1.402
61	1.4066
62	1.4111
63	1.4156
64	1.4202
65	1.4247
66	1.4292
67	1.4338
68	1.4383
69	1.4428
70	1.4474
71	1.4519
72	1.4564
73	1.461
74	1.4655
75	1.47
76	1.4746
77	1.4791
78	1.4836
79	1.4882
80	1.4927
81	1.4972
82	1.5018
83	1.5063
84	1.5108
85	1.5154
86	1.5199
87	1.5244
88	1.5289
89	1.5335
90	1.538
91	1.5425
92	1.5471
93	1.5516
94	1.5561
95	1.5606
96	1.5652
97	1.5697
98	1.5742
99	1.5788
100	1.5833
101	1.5878
102	1.5923
103	1.5969
104	1.6014
105	1.6059
106	1.6104
107	1.615
108	1.6195
109	1.624
110	1.6286
111	1.6331
112	1.6376
113	1.6421
114	1.6466
115	1.6512
116	1.6557
117	1.6602
118	1.6647
119	1.6692
120	1.6737
121	1.6783
122	1.6828
123	1.6873
124	1.6918
125	1.6963
126	1.7012
127	1.7062
128	1.0603
129	1.0617
130	1.0631
131	1.0646
132	1.0661
133	1.0677
134	1.0693
135	1.0709
136	1.0726
137	1.0743
138	1.0761
139	1.0779
140	1.0798
141	1.0817
142	1.0836
143	1.0856
144	1.0876
145	1.0896
146	1.0917
147	1.0938
148	1.0959
149	1.0981
150	1.1003
151	1.1026
152	1.1048
153	1.1071
154	1.1095
155	1.1118
156	1.1142
157	1.1166
158	1.1191
159	1.1215
160	1.124
161	1.1265
162	1.129
163	1.1316
164	1.1342
165	1.1368
166	1.1394
167	1.142
168	1.1446
169	1.1473
170	1.15
171	1.1527
172	1.1554
173	1.1581
174	1.1608
175	1.1635
176	1.1663
177	1.169
178	1.1721
179	1.1753
180	1.0085
181	1.0095
182	1.0107
183	1.0121
184	1.0136
185	1.0153
186	1.0172
187	1.0191
188	1.021
189	1.023
190	1.0251
191	1.0271
192	1.0292
193	1.0313
194	1.0333
195	1.0354
196	1.0376
197	1.0397
198	1.0418
199	1.044
200	1.0461
201	1.0483
202	1.0505
203	1.0526
204	1.0546
205	1.0565
206	1.0584
207	0.95276
208	1.0077
209	1.0068
210	1.006
211	1.0051
212	1.0043
213	1.0034
214	1.0026
215	1.0017
216	1.0009
217	1.0001
218	0.99922
219	0.99839
220	0.99757
221	0.99674
222	0.99592
223	0.9951
224	0.99429
225	0.99348
226	0.99267
227	0.99186
228	0.99106
229	0.99026
230	0.98947
231	0.98867
232	0.98788
233	0.9871
234	0.98632
235	0.98554
236	0.98476
237	0.98399
238	0.98322
239	0.98246
240	0.98169
241	0.98094
242	0.98018
243	0.97943
244	0.97869
245	0.97794
246	0.9772
247	0.97647
248	0.97574
249	0.97501
250	0.97429
251	0.97357
252	0.97286
253	0.97215
254	0.97145
255	0.97075
256	0.97005
257	0.96936
258	0.96867
259	0.96799
260	0.96732
261	0.96664
262	0.96598
263	0.96532
264	0.96466
265	0.96401
266	0.96337
267	0.96273
268	0.9621
269	0.96147
270	0.96085
271	0.96023
272	0.95962
273	0.95902
274	0.95842
275	0.95783
276	0.95724
277	0.95666
278	0.95609
279	0.95552
280	0.95496
281	0.9544
282	0.95385
283	0.9533
284	0.81691
285	0.81863
286	0.82036
287	0.82208
288	0.8238
289	0.82553
290	0.82726
291	0.82899
292	0.83072
293	0.83245
294	0.83418
295	0.83591
296	0.83765
297	0.83938
298	0.84112
299	0.84286
300	0.8446
301	0.84634
302	0.84808
303	0.84982
304	0.85157
305	0.85331
306	0.85506
307	0.85681
308	0.85856
309	0.8603
310	0.86205
311	0.86381
312	0.86556
313	0.86731
314	0.86907
315	0.87082
316	0.87258
317	0.87434
318	0.8761
319	0.87786
320	0.87962
321	0.88138
322	0.88314
323	0.8849
324	0.88667
325	0.88843
326	0.8902
327	0.89197
328	0.89374
329	0.89551
330	0.89728
331	0.89905
332	0.90082
333	0.90259
334	0.90437
335	0.90614
336	0.90792
337	0.9097
338	0.91148
339	0.91325
340	0.91503
341	0.91682
342	0.9186
343	0.92038
344	0.92217
345	0.92395
346	0.92574
347	0.92753
348	0.92932
349	0.93111
350	0.9329
351	0.9347
352	0.9365
353	0.93829
354	0.94009
355	0.9419
356	0.9437
357	0.94551
358	0.94732
359	0.94913
360	0.95094
361	0.43922
362	0.43925
363	0.43932
364	0.43944
365	0.43961
366	0.43982
367	0.44009
368	0.4404
369	0.44076
370	0.44116
371	0.44162
372	0.44212
373	0.44267
374	0.44326
375	0.4439
376	0.44459
377	0.44533
378	0.44611
379	0.44693
380	0.44781
381	0.44872
382	0.44969
383	0.45069
384	0.45175
385	0.45284
386	0.45398
387	0.45516
388	0.45639
389	0.45766
390	0.45897
391	0.46033
392	0.46172
393	0.46316
394	0.46464
395	0.46616
396	0.46771
397	0.46931
398	0.47095
399	0.47263
400	0.47434
401	0.4761
402	0.47789
403	0.47972
404	0.48158
405	0.48349
406	0.48542
407	0.4874
408	0.48941
409	0.49145
410	0.49353
411	0.49564
412	0.49779
413	0.49997
414	0.50218
415	0.50442
416	0.5067
417	0.509
418	0.51134
419	0.51371
420	0.51611
421	0.51854
422	0.52099
423	0.52348
424	0.52599
425	0.52854
426	0.53111
427	0.5337
428	0.53633
429	0.53898
430	0.54166
431	0.54436
432	0.54709
433	0.54984
434	0.55262
435	0.55542
436	0.55824
437	0.56109
438	0.56396
439	0.56686
440	0.56978
441	0.57271
442	0.57568
443	0.57866
444	0.58166
445	0.58468
446	0.58773
447	0.59079
448	0.59388
449	0.59698
450	0.6001
451	0.60325
452	0.60641
453	0.60959
454	0.61278
455	0.616
456	0.61923
457	0.62248
458	0.62574
459	0.62903
460	0.63232
461	0.63564
462	0.63897
463	0.64232
464	0.64568
465	0.64905
466	0.65244
467	0.65585
468	0.65927
469	0.6627
470	0.66615
471	0.66961
472	0.67309
473	0.67658
474	0.68008
475	0.68359
476	0.68712
477	0.69066
478	0.69421
479	0.69777
480	0.70134
481	0.70493
482	0.70853
483	0.71214
484	0.71575
485	0.71938
486	0.72302
487	0.72668
488	0.73034
489	0.73401
490	0.73769
491	0.74138
492	0.74508
493	0.74878
494	0.7525
495	0.75623
496	0.75996
497	0.76371
498	0.76746
499	0.77122
500	0.77499
501	0.77877
502	0.78255
503	0.78634
504	0.79014
505	0.79395
506	0.79775
507	0.80148
508	0.80499
509	0.80814
510	0.81076
511	0.81295
512	0.81493
513	0.39358
514	0.3989
515	0.4048
516	0.41107
517	0.4174
518	0.42353
519	0.42899
520	0.43411
521	0.79277
522	0.39361
523	0.39369
524	0.39382
525	0.39402
526	0.39426
527	0.39456
528	0.39491
529	0.39532
530	0.39578
531	0.39629
532	0.39686
533	0.39748
534	0.39816
535	0.39888
536	0.39966
537	0.40049
