Node Number	Equivalent (von-Mises) Stress (MPa)
1	1.501
2	4.1427
3	0.1546
4	0.71514
5	1.4685
6	2.171
7	2.7602
8	3.2661
9	3.7173
10	5.79
11	4.8878
12	4.5195
13	4.243
14	4.0248
15	3.8604
16	3.7711
17	3.7727
18	3.8635
19	4.0267
20	4.2368
21	4.4652
22	4.6875
23	4.8857
24	5.0506
25	5.1779
26	5.2673
27	5.315
28	5.329
29	5.3103
30	5.2612
31	5.1881
32	5.0952
33	4.9847
34	4.8608
35	4.7258
36	4.5839
37	4.438
38	4.2896
39	4.1419
40	3.9966
41	3.8562
42	3.7219
43	3.5953
44	3.4776
45	3.3698
46	3.2726
47	3.1866
48	3.1114
49	3.0472
50	2.9939
51	2.9506
52	2.9164
53	2.8912
54	2.8737
55	2.8623
56	2.8569
57	2.8558
58	2.859
59	2.8647
60	2.8723
61	2.882
62	2.8926
63	2.9042
64	2.9157
65	2.9274
66	2.9389
67	2.9498
68	2.9603
69	2.9692
70	2.9778
71	2.9847
72	2.9899
73	2.9939
74	2.9962
75	2.9967
76	2.9949
77	2.9911
78	2.9858
79	2.9781
80	2.9688
81	2.9574
82	2.9436
83	2.9283
84	2.9116
85	2.8928
86	2.8725
87	2.8508
88	2.8274
89	2.8027
90	2.7763
91	2.7491
92	2.7202
93	2.6906
94	2.6598
95	2.6282
96	2.5966
97	2.5646
98	2.5329
99	2.5017
100	2.4718
101	2.4429
102	2.4154
103	2.3909
104	2.3694
105	2.3511
106	2.3366
107	2.3268
108	2.3226
109	2.3242
110	2.3323
111	2.3473
112	2.37
113	2.4012
114	2.4411
115	2.4903
116	2.549
117	2.6174
118	2.6962
119	2.7851
120	2.8851
121	2.9955
122	3.117
123	3.2496
124	3.3945
125	3.5508
126	3.7306
127	3.9303
128	14.228
129	14.119
130	13.96
131	13.772
132	13.563
133	13.343
134	13.114
135	12.881
136	12.645
137	12.409
138	12.174
139	11.94
140	11.708
141	11.479
142	11.254
143	11.032
144	10.813
145	10.597
146	10.384
147	10.173
148	9.9632
149	9.7544
150	9.5461
151	9.3373
152	9.1272
153	8.9155
154	8.7013
155	8.4841
156	8.2637
157	8.0397
158	7.8119
159	7.5805
160	7.3457
161	7.1081
162	6.8688
163	6.629
164	6.3904
165	6.1555
166	5.9272
167	5.7086
168	5.5041
169	5.3175
170	5.1543
171	5.017
172	4.9103
173	4.836
174	4.8051
175	4.8102
176	4.8459
177	4.9312
178	5.0564
179	5.4644
180	16.913
181	16.972
182	17.029
183	17.085
184	17.133
185	17.168
186	17.186
187	17.183
188	17.16
189	17.117
190	17.056
191	16.976
192	16.878
193	16.766
194	16.637
195	16.494
196	16.339
197	16.171
198	15.991
199	15.802
200	15.599
201	15.389
202	15.171
203	14.953
204	14.747
205	14.554
206	14.372
207	6.6269
208	16.857
209	16.795
210	16.728
211	16.654
212	16.575
213	16.49
214	16.398
215	16.3
216	16.195
217	16.085
218	15.967
219	15.843
220	15.713
221	15.575
222	15.431
223	15.281
224	15.124
225	14.958
226	14.787
227	14.608
228	14.423
229	14.232
230	14.032
231	13.826
232	13.614
233	13.394
234	13.168
235	12.936
236	12.697
237	12.452
238	12.201
239	11.945
240	11.684
241	11.419
242	11.148
243	10.874
244	10.596
245	10.316
246	10.035
247	9.754
248	9.4738
249	9.1974
250	8.925
251	8.6627
252	8.4094
253	8.1681
254	7.9433
255	7.7392
256	7.5609
257	7.4129
258	7.2997
259	7.2255
260	7.1933
261	7.2054
262	7.2622
263	7.3622
264	7.502
265	7.6758
266	7.8759
267	8.094
268	8.3199
269	8.5449
270	8.7572
271	8.9465
272	9.1037
273	9.2192
274	9.2836
275	9.2945
276	9.2443
277	9.1265
278	8.9428
279	8.6901
280	8.3729
281	7.99
282	7.5507
283	7.0519
284	15.35
285	15.257
286	15.159
287	15.059
288	14.954
289	14.847
290	14.735
291	14.62
292	14.501
293	14.377
294	14.25
295	14.118
296	13.982
297	13.842
298	13.697
299	13.548
300	13.394
301	13.236
302	13.073
303	12.905
304	12.733
305	12.555
306	12.374
307	12.187
308	11.995
309	11.798
310	11.597
311	11.39
312	11.179
313	10.964
314	10.743
315	10.519
316	10.291
317	10.058
318	9.8223
319	9.5828
320	9.3404
321	9.0965
322	8.8517
323	8.6064
324	8.3619
325	8.1198
326	7.8808
327	7.6479
328	7.4235
329	7.2089
330	7.0087
331	6.826
332	6.6653
333	6.5307
334	6.4268
335	6.3579
336	6.3274
337	6.3389
338	6.3933
339	6.4912
340	6.6283
341	6.8029
342	7.0084
343	7.2372
344	7.4805
345	7.7285
346	7.9725
347	8.2042
348	8.4237
349	8.6037
350	8.7398
351	8.8297
352	8.8685
353	8.8507
354	8.7726
355	8.6288
356	8.4241
357	8.1574
358	7.8274
359	7.4417
360	7.0172
361	16.356
362	16.356
363	16.355
364	16.355
365	16.354
366	16.353
367	16.352
368	16.352
369	16.351
370	16.351
371	16.352
372	16.352
373	16.353
374	16.353
375	16.354
376	16.355
377	16.356
378	16.357
379	16.357
380	16.358
381	16.358
382	16.359
383	16.359
384	16.359
385	16.358
386	16.358
387	16.358
388	16.357
389	16.356
390	16.356
391	16.355
392	16.354
393	16.353
394	16.351
395	16.35
396	16.349
397	16.348
398	16.346
399	16.345
400	16.344
401	16.342
402	16.341
403	16.34
404	16.339
405	16.338
406	16.337
407	16.337
408	16.336
409	16.336
410	16.335
411	16.335
412	16.335
413	16.335
414	16.335
415	16.336
416	16.337
417	16.338
418	16.339
419	16.341
420	16.342
421	16.345
422	16.347
423	16.35
424	16.353
425	16.357
426	16.36
427	16.365
428	16.369
429	16.374
430	16.38
431	16.386
432	16.392
433	16.399
434	16.406
435	16.414
436	16.423
437	16.431
438	16.441
439	16.451
440	16.461
441	16.472
442	16.484
443	16.496
444	16.509
445	16.522
446	16.536
447	16.55
448	16.565
449	16.581
450	16.597
451	16.614
452	16.631
453	16.649
454	16.667
455	16.685
456	16.704
457	16.724
458	16.744
459	16.765
460	16.785
461	16.806
462	16.828
463	16.849
464	16.871
465	16.892
466	16.914
467	16.935
468	16.957
469	16.978
470	17.
471	17.02
472	17.041
473	17.061
474	17.08
475	17.099
476	17.116
477	17.133
478	17.149
479	17.163
480	17.176
481	17.187
482	17.197
483	17.205
484	17.21
485	17.214
486	17.215
487	17.212
488	17.207
489	17.199
490	17.187
491	17.171
492	17.151
493	17.127
494	17.097
495	17.062
496	17.022
