	SX	SY	SZ	SXY	SYZ	SXZ	S1	S2	S3	SINT	SEQV
Membrane	0.803	6.5207	6.1326	2.6141	0.	0.	7.5356	6.1326	-0.21196	7.7476	7.1501
Bending (Inside)	-2.9483	13.319	1.7271	0.	0.	0.	13.319	1.7271	-2.9483	16.268	14.507
Bending (Outside)	-0.81267	-12.834	-1.7271	0.	0.	0.	-0.81267	-1.7271	-12.834	12.021	11.591
Membrane+Bending (Inside)	-2.1453	19.84	7.8597	2.6141	0.	0.	20.147	7.8597	-2.4518	22.599	19.596
Membrane+Bending (Center)	-1.0775	6.7634	6.1326	2.6141	0.	0.	7.555	6.1326	-1.8691	9.424	8.7995
Membrane+Bending (Outside)	-9.6728e-003	-6.3134	4.4055	2.6141	0.	0.	4.4055	0.93329	-7.2564	11.662	10.371
Peak (Inside)	0.	1.7293	-0.56803	-2.5934	0.	0.	3.5984	-0.56803	-1.8691	5.4675	4.947
Peak (Center)	2.7204	-1.2979	-3.444e-002	0.44458	0.	0.	2.769	-3.444e-002	-1.3465	4.1155	3.6413
Peak (Outside)	-3.638e-018	1.0688	-0.10055	-2.6008	0.	0.	3.1895	-0.10055	-2.1207	5.3102	4.6424
Total (Inside)	-2.1453	21.57	7.2917	2.0683e-002	0.	0.	21.57	7.2917	-2.1453	23.715	20.68
Total (Center)	1.6429	5.4654	6.0982	3.0586	0.	0.	7.1609	6.0982	-5.2514e-002	7.2134	6.7451
Total (Outside)	-9.6728e-003	-5.2446	4.3049	1.3307e-002	0.	0.	4.3049	-9.639e-003	-5.2447	9.5496	8.283

S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Membrane (MPa)	Bending (MPa)	Membrane+Bending (MPa)	Peak (MPa)	Total (MPa)
0.	42.4	37.57	0.	7.5356	13.319	20.147	3.5984	21.57
0.10417	42.504	37.57	0.	7.5356	12.775	19.61	2.9963	21.327
0.20833	42.608	37.57	0.	7.5356	12.23	19.074	2.5429	21.167
0.3125	42.712	37.57	0.	7.5356	11.685	18.538	2.5541	21.085
0.41667	42.817	37.57	0.	7.5356	11.14	18.003	2.5872	20.427
0.52083	42.921	37.57	0.	7.5356	10.595	17.468	2.955	19.707
0.625	43.025	37.57	0.	7.5356	10.05	16.934	3.5334	19.07
0.72917	43.129	37.57	0.	7.5356	9.5054	16.401	3.8252	18.283
0.83333	43.233	37.57	0.	7.5356	8.9606	15.868	3.9934	17.419
0.9375	43.337	37.57	0.	7.5356	8.4157	15.336	4.2051	16.586
1.0417	43.442	37.57	0.	7.5356	7.8708	14.806	4.278	15.761
1.1458	43.546	37.57	0.	7.5356	7.326	14.276	4.2412	14.952
1.25	43.65	37.57	0.	7.5356	6.7811	13.747	4.2413	14.18
1.3542	43.754	37.57	0.	7.5356	6.2362	13.219	4.251	13.459
1.4583	43.858	37.57	0.	7.5356	5.6914	12.693	4.1722	12.82
1.5625	43.962	37.57	0.	7.5356	5.1465	12.168	4.0736	12.178
1.6667	44.067	37.57	0.	7.5356	4.6016	11.645	3.9627	11.536
1.7708	44.171	37.57	0.	7.5356	4.0568	11.124	3.8389	10.904
1.875	44.275	37.57	0.	7.5356	3.5119	10.604	3.692	10.336
1.9792	44.379	37.57	0.	7.5356	2.967	10.088	3.5418	9.7696
2.0833	44.483	37.57	0.	7.5356	2.4222	9.5739	3.3896	9.2042
2.1875	44.587	37.57	0.	7.5356	1.8773	9.0631	3.2365	8.6403
2.2917	44.692	37.57	0.	7.5356	1.3324	8.556	3.0783	8.1397
2.3958	44.796	37.57	0.	7.5356	0.78757	8.053	2.9219	7.6495
2.5	44.9	37.57	0.	7.5356	0.2427	7.555	2.769	7.1609
2.6042	45.004	37.57	0.	7.5356	-7.1963e-002	7.0626	2.6209	6.674
2.7083	45.108	37.57	0.	7.5356	-0.14393	6.5769	2.4768	6.1939
2.8125	45.212	37.57	0.	7.5356	-0.21589	6.099	2.3231	5.8913
2.9167	45.317	37.57	0.	7.5356	-0.28785	5.8447	2.1825	5.8239
3.0208	45.421	37.57	0.	7.5356	-0.35981	5.7728	2.0573	5.757
3.125	45.525	37.57	0.	7.5356	-0.43178	5.7008	1.9528	5.6925
3.2292	45.629	37.57	0.	7.5356	-0.50374	5.6289	1.8715	5.6296
3.3333	45.733	37.57	0.	7.5356	-0.5757	5.5569	1.824	5.568
3.4375	45.837	37.57	0.	7.5356	-0.64767	5.4849	1.787	5.5023
3.5417	45.942	37.57	0.	7.5356	-0.71963	5.413	1.773	5.4347
3.6458	46.046	37.57	0.	7.5356	-0.79159	5.341	1.7912	5.3672
3.75	46.15	37.57	0.	7.5356	-0.86355	5.269	1.8404	5.2996
3.8542	46.254	37.57	0.	7.5356	-0.93552	5.1971	1.9218	5.2286
3.9583	46.358	37.57	0.	7.5356	-1.0075	5.1251	2.019	5.1565
4.0625	46.462	37.57	0.	7.5356	-1.0794	5.0531	2.1268	5.0834
4.1667	46.567	37.57	0.	7.5356	-1.1514	4.9812	2.2413	5.009
4.2708	46.671	37.57	0.	7.5356	-1.1241	4.9092	2.3631	4.9299
4.375	46.775	37.57	0.	7.5356	-1.0796	4.8373	2.4865	4.8477
4.4792	46.879	37.57	0.	7.5356	-1.0351	4.7653	2.607	4.7649
4.5833	46.983	37.57	0.	7.5356	-0.99064	4.6933	2.7251	4.6812
4.6875	47.087	37.57	0.	7.5356	-0.94615	4.6214	2.8445	4.5903
4.7917	47.192	37.57	0.	7.5356	-0.90165	4.5494	2.9628	4.4959
4.8958	47.296	37.57	0.	7.5356	-0.85716	4.4774	3.0778	4.4008
5.	47.4	37.57	0.	7.5356	-0.81267	4.4055	3.1895	4.3049
